"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","taxa","length","width","mass","eggs","metadataID","updateID"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"cyclopoid",0.385,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"cyclopoid",0.267,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"cyclopoid",0.167,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"daphnia",0.817,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"daphnia",1.336,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"daphnia",0.982,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"daphnia",0.647,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"daphnia",1.416,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"daphnia",0.867,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"daphnia",0.526,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"daphnia",0.619,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"daphnia",1.851,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"daphnia",0.792,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"daphnia",0.831,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"daphnia",1.085,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"daphnia",1.289,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"daphnia",0.766,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"daphnia",1.702,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"daphnia",1.027,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"daphnia",1.279,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"daphnia",0.806,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"daphnia",0.912,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"daphnia",0.81,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"daphnia",0.588,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"daphnia",0.773,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"holopedium",0.324,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"holopedium",0.135,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"holopedium",0.345,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"holopedium",0.145,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"holopedium",0.236,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"holopedium",0.283,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"holopedium",0.37,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.146,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.27,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.131,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.242,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
