"docID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","replicate","comments","sampleID","DOC_mgL"
"D209",3,"WL","DeepHole","7/21/2020","9:57","PML",0,2,1,"","WL_DeepHole_20200721_0957_PML_2_Limno.Sample.20160505",7.03926819105261
"D211",3,"WL","DeepHole","7/21/2020","9:57","Hypo",8,8,1,"","WL_DeepHole_20200721_0957_Hypo_8_Limno.Sample.20160505",6.72351339965799
"D214",3,"FE","DeepHole","7/22/2020","11:45","PML",0,2,2,"","FE_DeepHole_20200722_1145_PML_2_Limno.Sample.20160505",12.861739062446
"D215",3,"FE","DeepHole","7/22/2020","11:45","Hypo",8,8,1,"","FE_DeepHole_20200722_1145_Hypo_8_Limno.Sample.20160505",17.4093202873814
"D218",3,"FE","Inlet1","7/22/2020","11:45","Surface",0,0,2,"","FE_PML_20200722_1145_Surface_0_Limno.Sample.20160505",75.1022314579138
"D219",15,"CR","DeepHole","7/23/2020","10:30","PML",0,3.5,1,"","CR_DeepHole_20200723_1030_PML_3.5_Limno.Sample.20160505",5.20527889517029
"D221",15,"CR","DeepHole","7/23/2020","10:30","Hypo",8,8,1,"","CR_DeepHole_20200723_1030_Hypo_8_Limno.Sample.20160505",5.10794095195841
"D223",15,"CR","Outlet","7/23/2020","10:30","Surface",0,0,1,"","CR_PML_20200723_1030_Surface_0_Limno.Sample.20160505",5.06045902844042
"D226",17,"BA","DeepHole","7/27/2020","11:30","PML",0,2.5,2,"","BA_DeepHole_20200727_1130_PML_2.5_Limno.Sample.20160505",6.37333421371282
"D228",17,"BA","DeepHole","7/27/2020","11:30","Hypo",7,7,2,"","BA_DeepHole_20200727_1130_Hypo_7_Limno.Sample.20160505",5.99347882556891
"D229",17,"BR","DeepHole","7/27/2020","9:25","PML",0,2,1,"","BR_DeepHole_20200727_0925_PML_2_Limno.Sample.20160505",11.396921721916
"D23",35,"PR","DeepHole","6/7/2020","15:00","point",2.5,2.5,1,"","PR_DeepHole_20200607_1500_point_2.5_Limno.Sample.20160505",9.94872305461738
"D232",17,"BR","DeepHole","7/27/2020","9:25","Hypo",4,4,2,"","BR_DeepHole_20200727_0925_Hypo_4_Limno.Sample.20160505",9.4501628576785
"D246",17,"PA","DeepHole","7/29/2020","10:15","Hypo",7,7,2,"","PA_DeepHole_20200729_1015_Hypo_7_Limno.Sample.20160505",5.21596232796184
"D28",3,"FE","DeepHole","6/9/2020","11:48","PML",0,0.5,2,"","FE_DeepHole_20200609_1148_PML_0.5_Limno.Sample.20160505",12.9602640537458
"D283",15,"CR","DeepHole","8/6/2020","9:22","Hypo",8,8,1,"","CR_DeepHole_20200806_0922_Hypo_8_Limno.Sample.20160505",5.36196924277965
"D298",17,"BO","DeepHole","8/12/2020","10:55","PML",0,0,2,"","BO_DeepHole_20200812_1055_PML_0_Limno.Sample.20160505",18.9085620224619
"D3",3,"WL","DeepHole","6/4/2020","9:15","PML",0,1,1,"","WL_DeepHole_20200604_0915_PML_1_Limno.Sample.20160505",6.78049170787957
"D306",17,"NG","DeepHole","8/14/2020","10:00","PML",0,0,2,"","NG_DeepHole_20200814_1000_PML_0_Limno.Sample.20160505",28.7622482005325
"D308",17,"NG","DeepHole","8/14/2020","10:00","Hypo",3.5,3.5,2,"","NG_DeepHole_20200814_1000_Hypo_3.5_Limno.Sample.20160505",42.5415024054529
"D34",3,"WL","DeepHole","6/9/2020","10:20","PML",0,1,2,"","WL_DeepHole_20200609_1020_PML_1_Limno.Sample.20160505",6.70689472642669
"D346",3,"WL","DeepHole","8/20/2020","9:10","PML",0,2,2,"","WL_DeepHole_20200820_0910_PML_2_Limno.Sample.20160505",7.05351276810801
"D40",15,"HB","DeepHole","6/10/2020","11:40","Hypo",4,4,2,"","HB_DeepHole_20200610_1140_Hypo_4_Limno.Sample.20160505",26.8024318073275
