"docID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","replicate","comments","sampleID","DOC_mgL"
"D56",15,"MO","DeepHole","6/12/2020","9:25","PML",0,1.5,2,"","MO_DeepHole_20200612_0925_PML_1.5_Limno.Sample.20160505",14.775593005479
"D57",15,"MO","DeepHole","6/12/2020","9:25","Hypo",4.5,4.5,1,"","MO_DeepHole_20200612_0925_Hypo_4.5_Limno.Sample.20160505",10.3628200443743
"D59",15,"MO","Inlet1","6/12/2020","9:25","Surface",0,0,1,"","MO_PML_20200612_0925_Surface_0_Limno.Sample.20160505",11.2656548224077
"D6",3,"WL","DeepHole","6/4/2020","9:15","Hypo",8,8,2,"","WL_DeepHole_20200604_0915_Hypo_8_Limno.Sample.20160505",6.83699978807642
"D61",15,"MO","Inlet2","6/12/2020","9:25","Surface",0,0,1,"","MO_PML_20200612_0925_Surface_0_Limno.Sample.20160505",26.6150677469146
"D63",15,"MO","Inlet3","6/12/2020","9:25","Surface",0,0,1,"","MO_PML_20200612_0925_Surface_0_Limno.Sample.20160505",65.1083264563514
"D66",17,"BR","DeepHole","6/15/2020","11:42","PML",0,2,2,"","BR_DeepHole_20200615_1142_PML_2_Limno.Sample.20160505",10.0439568819025
"D67",17,"BR","DeepHole","6/15/2020","11:42","Hypo",3.5,3.5,1,"","BR_DeepHole_20200615_1142_Hypo_3.5_Limno.Sample.20160505",10.7134473532993
"D72",17,"BA","DeepHole","6/15/2020","14:00","Hypo",6.5,6.5,2,"","BA_DeepHole_20200615_1400_Hypo_6.5_Limno.Sample.20160505",5.49557544940175
"D74",3,"FE","DeepHole","6/16/2020","10:35","PML",0,1.5,2,"","FE_DeepHole_20200616_1035_PML_1.5_Limno.Sample.20160505",13.4799823395733
"D75",3,"FE","DeepHole","6/16/2020","10:35","Hypo",8,8,1,"","FE_DeepHole_20200616_1035_Hypo_8_Limno.Sample.20160505",18.4186962640654
"D76",3,"FE","DeepHole","6/16/2020","10:35","Hypo",8,8,2,"","FE_DeepHole_20200616_1035_Hypo_8_Limno.Sample.20160505",17.8176208773369
"D77",3,"FE","Inlet1","6/16/2020","10:35","Surface",0,0,1,"","FE_PML_20200616_1035_Surface_0_Limno.Sample.20160505",69.9462503007518
"D78",3,"FE","Inlet1","6/16/2020","10:35","Surface",0,0,2,"","FE_PML_20200616_1035_Surface_0_Limno.Sample.20160505",66.3911092938818
"D8",3,"FE","DeepHole","6/4/2020","10:45","PML",0,0.5,2,"","FE_DeepHole_20200604_1045_PML_0.5_Limno.Sample.20160505",14.1109893258442
"D80",3,"WL","DeepHole","6/16/2020","8:56","PML",0,2,2,"","WL_DeepHole_20200616_0856_PML_2_Limno.Sample.20160505",6.89380874230991
"D82",3,"WL","DeepHole","6/16/2020","8:56","Hypo",8,8,2,"","WL_DeepHole_20200616_0856_Hypo_8_Limno.Sample.20160505",7.00192901004462
"D84",17,"PA","DeepHole","6/17/2020","9:20","PML",0,2,2,"","PA_DeepHole_20200617_0920_PML_2_Limno.Sample.20160505",4.55242463933176
"D86",17,"PA","DeepHole","6/17/2020","9:20","Hypo",5.5,5.5,2,"","PA_DeepHole_20200617_0920_Hypo_5.5_Limno.Sample.20160505",3.57995307868964
"D87",17,"PE","DeepHole","6/17/2020","10:38","PML",0,2,1,"","PE_DeepHole_20200617_1038_PML_2_Limno.Sample.20160505",5.2720047262893
"D89",17,"PE","DeepHole","6/17/2020","10:38","Hypo",9,9,1,"","PE_DeepHole_20200617_1038_Hypo_9_Limno.Sample.20160505",6.0526697102721
"D92",15,"MO","DeepHole","6/22/2020","9:05","PML",0,3.5,2,"","MO_DeepHole_20200622_0905_PML_3.5_Limno.Sample.20160505",14.0804468773316
"D93",15,"MO","DeepHole","6/22/2020","9:05","Hypo",7,7,1,"","MO_DeepHole_20200622_0905_Hypo_7_Limno.Sample.20160505",12.3505225935762
"D95",15,"MO","Inlet1","6/22/2020","9:05","Surface",0,0,1,"","MO_PML_20200622_0905_Surface_0_Limno.Sample.20160505",11.7201264562756
"D97",15,"MO","Inlet2","6/22/2020","9:05","Surface",0,0,1,"","MO_PML_20200622_0905_Surface_0_Limno.Sample.20160505",24.9511151519465
