"pocID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID"
"P15",15,"CR","DeepHole","5/20/2019","9:37","PML",0,3.5,140,"1","","CR_DeepHole_20190520_937_PML_3.5_Limno.Sample.20160505"
"P38",15,"ME","Outlet","5/24/2019","8:40","Surface",0,0,140,"1","","ME_Outlet_20190524_840_Surface_0_Limno.Sample.20160505"
"P81",3,"FE","DeepHole","6/11/2019","10:58","Hypo",8,8,140,"1","","FE_DeepHole_20190611_1058_Hypo_8_Limno.Sample.20160505"
"P88",34,"PE","DeepHole","6/12/2019","9:34","Hypo",9,9,140,"1","","PE_DeepHole_20190612_934_Hypo_9_Limno.Sample.20160505"
"P168",3,"CR","DeepHole","7/18/2019","8:33","PML",0,3,140,"1","","CR_DeepHole_20190718_833_PML_3_Limno.Sample.20160505"
"P220",33,"BR","DeepHole","7/31/2019","12:05","PML",0,2.5,140,"1","","BR_DeepHole_20190731_1205_PML_2.5_Limno.Sample.20160505"
"P252",3,"FE","DeepHole","8/13/2019","9:54","PML",0,2,140,"1","","FE_DeepHole_20190813_954_PML_2_Limno.Sample.20160505"
"P311",3,"FE","DeepHole","10/6/2019","10:40","PML",0,4,140,"1","","FE_DeepHole_20191006_1040_PML_4_Limno.Sample.20160505"
"P332",17,"ME","Outlet","7/3/2019","9:15","Surface",0,0,140,"1","","ME_Outlet_20190703_915_Surface_0_Limno.Sample.20160505"
