"","projectID","lakeID","sampleID","dateSample","parameter","parameterValue","QCcode","flag","comments","metadataID","updateID","depthClass","siteName","check","plotNum"
"63","15","MO","MO_DeepHole_20200720_0900_Hypo_4_Limno.Sample.20160505",2020-07-20,"POC",2636.773,NA,0,"","Iso.POC.CEST.20111214","tableNutrients.20210217","Hypo","DeepHole","1",63
"56","17","MO","MO_DeepHole_20190617_930_PML_1_Limno.Sample.20160505",2019-06-17,"PON",217,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312","PML","DeepHole","1",65
"62","15","MO","MO_DeepHole_20200612_0925_PML_1.5_Limno.Sample.20160505",2020-06-12,"PON",227.133,NA,0,"","Iso.POC.CEST.20111214","tableNutrients.20210217","PML","DeepHole","1",65
"48","17","MO","MO_Outlet_20190731_938_Surface_0_Limno.Sample.20160505",2019-07-31,"particulateP",27.6534046816254,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Surface","Outlet","1",68
"55","17","MO","MO_Inlet2_20190731_938_Surface_0_Limno.Sample.20160505",2019-07-31,"particulateP",42.2676481865224,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Surface","Inlet2","1",70
"66","15","MO","MO_Inlet1_20200612_0925_Surface_0_Limno.Sample.20160505",2020-06-12,"PON",182.916,NA,0,"","Iso.POC.CEST.20111214","tableNutrients.20210217","Surface","Inlet1","1",71
"57","17","MO","MO_Inlet2_20190731_938_Surface_0_Limno.Sample.20160505",2019-07-31,"PON",341,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312","Surface","Inlet2","1",72
"601","15","MO","MO_Inlet2_20200819_1015_Surface_0_Limno.Sample.20160505",2020-08-19,"PON",265.274,NA,0,"","Iso.POC.CEST.20111214","tableNutrients.20210217","Surface","Inlet2","1",72
"13","17","NG","NG_DeepHole_20190729_836_Hypo_4.5_Limno.Sample.20160505",2019-07-29,"particulateP",17.5523451820669,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Hypo","DeepHole","1",79
"15","17","NG","NG_DeepHole_20190729_836_PML_0.75_Limno.Sample.20160505",2019-07-29,"particulateP",29.1861921674929,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","PML","DeepHole","1",82
"36","13","PA","PA_DeepHole_20191007_1000_PML_6_Limno.Sample.20160505",2019-10-07,"particulateP",13.4917149903816,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","PML","DeepHole","1",88
"24","34","PA","PA_DeepHole_20190401_1030_PML_2_Limno.Methane.Sample.20180416",2019-04-01,"PON",229.166838,NA,0,NA,"Iso.POC.CEST.20121206","waterChemCreate.20201120","PML","DeepHole","1",89
"241","34","PA","PA_DeepHole_20190401_1030_PML_2_Limno.Methane.Sample.20180416",2019-04-01,"POC",1096.260321,NA,0,NA,"Iso.POC.CEST.20121206","waterChemCreate.20201120","PML","DeepHole","1",90
"20","34","PE","PE_DeepHole_20190401_0945_Hypo_13_Limno.Methane.Sample.20180416",2019-04-01,"PON",233.749095,NA,0,NA,"Iso.POC.CEST.20121206","waterChemCreate.20201120","Hypo","DeepHole","1",92
"29","34","PE","PE_DeepHole_20190801_948_PML_2_Limno.Sample.20160505",2019-08-01,"particulateP",20.0478229342278,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","PML","DeepHole","1",94
"22","34","PE","PE_DeepHole_20190401_0945_PML_2_Limno.Methane.Sample.20180416",2019-04-01,"PON",335.948462,NA,0,NA,"Iso.POC.CEST.20121206","waterChemCreate.20201120","PML","DeepHole","1",95
"34","34","PE","PE_DeepHole_20190808_1000_PML_2_Limno.Sample.20160505",2019-08-08,"PON",193,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312","PML","DeepHole","1",95
"221","34","PE","PE_DeepHole_20190401_0945_PML_2_Limno.Methane.Sample.20180416",2019-04-01,"POC",2091.613461,NA,0,NA,"Iso.POC.CEST.20121206","waterChemCreate.20201120","PML","DeepHole","1",96
"133","3","WL","WL_DeepHole_20190709_910_Hypo_8_Limno.Sample.20160505",2019-07-09,"particulateP",6.73141039610232,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Hypo","DeepHole","1",109
"136","3","WL","WL_DeepHole_20190730_842_Hypo_8_Limno.Sample.20160505",2019-07-30,"particulateP",7.84453792487134,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Hypo","DeepHole","1",109
"1462","3","WL","WL_DeepHole_20190611_910_Hypo_8_Limno.Sample.20160505",2019-06-11,"particulateP",31.0569446085495,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Hypo","DeepHole","1",109
"1431","3","WL","WL_DeepHole_20190722_830_Hypo_8_Limno.Sample.20160505",2019-07-22,"PON",216,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312","Hypo","DeepHole","1",110
"160","3","WL","WL_DeepHole_20200707_1000_Hypo_8_Limno.Sample.20160505",2020-07-07,"PON",35.948,NA,0,"","Iso.POC.CEST.20111214","tableNutrients.20210217","Hypo","DeepHole","1",110
"1601","3","WL","WL_DeepHole_20200715_0907_Hypo_8_Limno.Sample.20160505",2020-07-15,"POC",274.178,NA,0,"","Iso.POC.CEST.20111214","tableNutrients.20210217","Hypo","DeepHole","1",111
"161","3","WL","WL_DeepHole_20200707_1000_Hypo_8_Limno.Sample.20160505",2020-07-07,"POC",224.572,NA,0,"","Iso.POC.CEST.20111214","tableNutrients.20210217","Hypo","DeepHole","1",111
"1361","3","WL","WL_DeepHole_20190709_910_PML_1.5_Limno.Sample.20160505",2019-07-09,"particulateP",22.7190385562591,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","PML","DeepHole","1",112
"127","3","WL","WL_DeepHole_20190611_910_PML_1.5_Limno.Sample.20160505",2019-06-11,"PON",138,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312","PML","DeepHole","1",113
"129","3","WL","WL_DeepHole_20190625_835_PML_2_Limno.Sample.20160505",2019-06-25,"PON",138,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312","PML","DeepHole","1",113
"148","3","WL","WL_DeepHole_20200715_0907_PML_2_Limno.Sample.20160505",2020-07-15,"PON",145.334,NA,0,"","Iso.POC.CEST.20111214","tableNutrients.20210217","PML","DeepHole","1",113
"147","3","WL","WL_DeepHole_20200630_0958_PML_1_Limno.Sample.20160505",2020-06-30,"POC",223.185,NA,0,"","Iso.POC.CEST.20111214","tableNutrients.20210217","PML","DeepHole","1",114
"149","3","WL","WL_DeepHole_20200811_0948_PML_1.5_Limno.Sample.20160505",2020-08-11,"POC",195.331,NA,0,"","Iso.POC.CEST.20111214","tableNutrients.20210217","PML","DeepHole","1",114
