"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","runID","chl","replicate","metadataID","comments","flag","updateID"
"17","BR_DeepHole_20200615_1142_Hypo_3.5_Limno.Sample.20160505","BR","DeepHole",2020-06-15,"2020-06-15 11:42:00","Hypo",3.5,3.5,"1",26.5292008057957,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"17","BR_DeepHole_20200727_0925_PML_2_Limno.Sample.20160505","BR","DeepHole",2020-07-27,"2020-07-27 09:25:00","PML",0,2,"3",12.484756000087,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"17","BR_DeepHole_20200727_0925_PML_2_Limno.Sample.20160505","BR","DeepHole",2020-07-27,"2020-07-27 09:25:00","PML",0,2,"2",24.8764562153027,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"17","BR_DeepHole_20200727_0925_Hypo_4_Limno.Sample.20160505","BR","DeepHole",2020-07-27,"2020-07-27 09:25:00","Hypo",4,4,"1",37.1771264546616,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"17","BR_DeepHole_20200727_0925_Hypo_4_Limno.Sample.20160505","BR","DeepHole",2020-07-27,"2020-07-27 09:25:00","Hypo",4,4,"3",35.7568159990383,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"35","CB_DeepHole_20200606_1010_point_5.5_Limno.Sample.20160505","CB","DeepHole",2020-06-06,"2020-06-06 10:10:00","point",5.5,5.5,"2",16.3793679072749,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"35","CB_DeepHole_20200606_1010_point_5.5_Limno.Sample.20160505","CB","DeepHole",2020-06-06,"2020-06-06 10:10:00","point",5.5,5.5,"1",19.8424202040183,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"17","CB_DeepHole_20200701_0909_PML_0.5_Limno.Sample.20160505","CB","DeepHole",2020-07-01,"2020-07-01 09:09:00","PML",0,0.5,"1",3.16952355745009,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"17","CB_DeepHole_20200701_0909_PML_0.5_Limno.Sample.20160505","CB","DeepHole",2020-07-01,"2020-07-01 09:09:00","PML",0,0.5,"3",1.72606647253586,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"17","CB_DeepHole_20200701_0909_Hypo_3_Limno.Sample.20160505","CB","DeepHole",2020-07-01,"2020-07-01 09:09:00","Hypo",3,3,"3",5.18694681353084,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"17","CB_DeepHole_20200701_0909_Hypo_3_Limno.Sample.20160505","CB","DeepHole",2020-07-01,"2020-07-01 09:09:00","Hypo",3,3,"1",3.58623569136138,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"17","CB_DeepHole_20200812_0915_PML_0.5_Limno.Sample.20160505","CB","DeepHole",2020-08-12,"2020-08-12 09:15:00","PML",0,0.5,"3",2.78387473831347,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"17","CB_DeepHole_20200812_0915_PML_0.5_Limno.Sample.20160505","CB","DeepHole",2020-08-12,"2020-08-12 09:15:00","PML",0,0.5,"2",3.84572316619542,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"17","CB_DeepHole_20200812_0915_Hypo_3_Limno.Sample.20160505","CB","DeepHole",2020-08-12,"2020-08-12 09:15:00","Hypo",3,3,"3",8.38815482379241,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"17","CB_DeepHole_20200812_0915_Hypo_3_Limno.Sample.20160505","CB","DeepHole",2020-08-12,"2020-08-12 09:15:00","Hypo",3,3,"2",11.3477617937559,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"15","CR_DeepHole_20200611_0930_PML_2.5_Limno.Sample.20160505","CR","DeepHole",2020-06-11,"2020-06-11 09:30:00","PML",0,2.5,"3",2.16666538780761,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"15","CR_DeepHole_20200611_0930_PML_2.5_Limno.Sample.20160505","CR","DeepHole",2020-06-11,"2020-06-11 09:30:00","PML",0,2.5,"1",3.59463262079389,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"15","CR_DeepHole_20200611_0930_Hypo_8_Limno.Sample.20160505","CR","DeepHole",2020-06-11,"2020-06-11 09:30:00","Hypo",8,8,"1",10.6994023088847,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"15","CR_DeepHole_20200611_0930_Hypo_8_Limno.Sample.20160505","CR","DeepHole",2020-06-11,"2020-06-11 09:30:00","Hypo",8,8,"2",8.59919695801313,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"15","CR_DeepHole_20200625_1006_PML_2.5_Limno.Sample.20160505","CR","DeepHole",2020-06-25,"2020-06-25 10:06:00","PML",0,2.5,"2",3.88549856261984,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"15","CR_DeepHole_20200625_1006_PML_2.5_Limno.Sample.20160505","CR","DeepHole",2020-06-25,"2020-06-25 10:06:00","PML",0,2.5,"1",3.28057972091238,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"15","CR_DeepHole_20200625_1006_Hypo_11_Limno.Sample.20160505","CR","DeepHole",2020-06-25,"2020-06-25 10:06:00","Hypo",11,11,"1",5.84454536237974,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"15","CR_DeepHole_20200625_1006_Hypo_11_Limno.Sample.20160505","CR","DeepHole",2020-06-25,"2020-06-25 10:06:00","Hypo",11,11,"3",5.46334022638363,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"15","CR_DeepHole_20200710_1025_PML_2.5_Limno.Sample.20160505","CR","DeepHole",2020-07-10,"2020-07-10 10:25:00","PML",0,2.5,"1",3.4942564228771,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"15","CR_DeepHole_20200710_1025_PML_2.5_Limno.Sample.20160505","CR","DeepHole",2020-07-10,"2020-07-10 10:25:00","PML",0,2.5,"2",5.12680854332674,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"15","CR_DeepHole_20200710_1025_Hypo_7.5_Limno.Sample.20160505","CR","DeepHole",2020-07-10,"2020-07-10 10:25:00","Hypo",7.5,7.5,"1",16.6744947718473,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"15","CR_DeepHole_20200710_1025_Hypo_7.5_Limno.Sample.20160505","CR","DeepHole",2020-07-10,"2020-07-10 10:25:00","Hypo",7.5,7.5,"3",10.2288806018822,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"15","CR_DeepHole_20200723_1030_PML_3.5_Limno.Sample.20160505","CR","DeepHole",2020-07-23,"2020-07-23 10:30:00","PML",0,3.5,"3",3.90984619162168,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"15","CR_DeepHole_20200723_1030_PML_3.5_Limno.Sample.20160505","CR","DeepHole",2020-07-23,"2020-07-23 10:30:00","PML",0,3.5,"2",4.35567550958303,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"15","CR_DeepHole_20200723_1030_Hypo_8_Limno.Sample.20160505","CR","DeepHole",2020-07-23,"2020-07-23 10:30:00","Hypo",8,8,"3",8.1744574760182,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"15","CR_DeepHole_20200723_1030_Hypo_8_Limno.Sample.20160505","CR","DeepHole",2020-07-23,"2020-07-23 10:30:00","Hypo",8,8,"2",11.5658432384042,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"15","CR_DeepHole_20200806_0922_PML_3.5_Limno.Sample.20160505","CR","DeepHole",2020-08-06,"2020-08-06 09:22:00","PML",0,3.5,"3",1.75970046563258,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"15","CR_DeepHole_20200806_0922_PML_3.5_Limno.Sample.20160505","CR","DeepHole",2020-08-06,"2020-08-06 09:22:00","PML",0,3.5,"2",6.67088426209069,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"15","CR_DeepHole_20200806_0922_Hypo_8_Limno.Sample.20160505","CR","DeepHole",2020-08-06,"2020-08-06 09:22:00","Hypo",8,8,"2",6.40216951335892,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"15","CR_DeepHole_20200806_0922_Hypo_8_Limno.Sample.20160505","CR","DeepHole",2020-08-06,"2020-08-06 09:22:00","Hypo",8,8,"3",7.34351880626181,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"15","CR_DeepHole_20200817_0930_PML_3_Limno.Sample.20160505","CR","DeepHole",2020-08-17,"2020-08-17 09:30:00","PML",0,3,"1",5.26117159222034,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"15","CR_DeepHole_20200817_0930_PML_3_Limno.Sample.20160505","CR","DeepHole",2020-08-17,"2020-08-17 09:30:00","PML",0,3,"3",6.01216258902458,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"15","CR_DeepHole_20200817_0930_Hypo_8_Limno.Sample.20160505","CR","DeepHole",2020-08-17,"2020-08-17 09:30:00","Hypo",8,8,"3",5.84977946075629,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"15","CR_DeepHole_20200817_0930_Hypo_8_Limno.Sample.20160505","CR","DeepHole",2020-08-17,"2020-08-17 09:30:00","Hypo",8,8,"2",5.53242895087499,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"35","CYB_DeepHole_20200827_1015_PML_0.5_Limno.Sample.20160505","CYB","DeepHole",2020-08-27,"2020-08-27 10:15:00","PML",0,0.5,"1",28.0101947236327,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"35","CYB_DeepHole_20200827_1015_PML_0.5_Limno.Sample.20160505","CYB","DeepHole",2020-08-27,"2020-08-27 10:15:00","PML",0,0.5,"3",15.3200504637782,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"35","CYB_DeepHole_20200827_1015_Hypo_2_Limno.Sample.20160505","CYB","DeepHole",2020-08-27,"2020-08-27 10:15:00","Hypo",2,2,"1",11.3493323860668,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"35","CYB_DeepHole_20200827_1015_Hypo_2_Limno.Sample.20160505","CYB","DeepHole",2020-08-27,"2020-08-27 10:15:00","Hypo",2,2,"3",17.1301795390225,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200604_1045_PML_0.5_Limno.Sample.20160505","FE","DeepHole",2020-06-04,"2020-06-04 10:45:00","PML",0,0.5,"1",5.04607911764911,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
