"projectID","lakeID","sampleID","dateSample","QCcode","flag","comments","metadataID","updateID","parameter","parameterValue"
3,"FE","FE_DeepHole_20190611_1058_Hypo_8_Limno.Sample.20160505",2019-06-11,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.821
17,"MO","MO_Inlet2_20190703_1040_Surface_0_Limno.Sample.20160505",2019-07-03,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.756
15,"PA","PA_DeepHole_20190522_1050_PML_3_Limno.Sample.20160505",2019-05-22,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.463
37,"ER","ER_DeepHole_20190823_1130_Surface_0_fishScapesLimno.20190319",2019-08-23,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.714
15,"CR","CR_Outlet_20191006_845_Surface_0_Limno.Sample.20160505",2019-10-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.576
3,"FE","FE_DeepHole_20191006_1040_PML_4_Limno.Sample.20160505",2019-10-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.359
3,"FE","FE_DeepHole_20191006_1040_Hypo_8_Limno.Sample.20160505",2019-10-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.575
33,"HB","HB_DeepHole_20190531_1150_Hypo_3.5_Limno.Sample.20160505",2019-05-31,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.834
15,"MO","MO_DeepHole_20190603_1010_PML_1_Limno.Sample.20160505",2019-06-03,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.086
15,"MO","MO_DeepHole_20190603_1010_Hypo_6.5_Limno.Sample.20160505",2019-06-03,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",2.567
15,"MO","MO_Outlet_20190603_1010_Surface_0_Limno.Sample.20160505",2019-06-03,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.819
17,"CR","CR_DeepHole_20190620_934_PML_3_Limno.Sample.20160505",2019-06-20,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.902
17,"CR","CR_DeepHole_20190620_934_Hypo_11_Limno.Sample.20160505",2019-06-20,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.942
17,"CR","CR_Outlet_20190620_934_Surface_0_Limno.Sample.20160505",2019-06-20,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.507
34,"PA","PA_DeepHole_20190620_838_PML_2_Limno.Sample.20160505",2019-06-20,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.736
34,"PA","PA_DeepHole_20190620_838_Hypo_8_Limno.Sample.20160505",2019-06-20,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.53
34,"PE","PE_DeepHole_20190620_1000_PML_1_Limno.Sample.20160505",2019-06-20,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.797
34,"PE","PE_DeepHole_20190620_1000_Hypo_9_Limno.Sample.20160505",2019-06-20,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.377
17,"HB","HB_DeepHole_20190621_940_PML_0.5_Limno.Sample.20160505",2019-06-21,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.978
17,"HB","HB_Outlet_20190621_940_Surface_0_Limno.Sample.20160505",2019-06-21,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.017
17,"ME","ME_DeepHole_20190703_847_PML_1.5_Limno.Sample.20160505",2019-07-03,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.738
17,"ME","ME_DeepHole_20190703_847_Hypo_3_Limno.Sample.20160505",2019-07-03,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.886
17,"MO","MO_DeepHole_20190703_1040_PML_1_Limno.Sample.20160505",2019-07-03,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.954
17,"MO","MO_Inlet3_20190703_1040_Surface_0_Limno.Sample.20160505",2019-07-03,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.943
34,"PE","PE_DeepHole_20190801_948_PML_2_Limno.Sample.20160505",2019-08-01,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.802
