"sample","abs","df","runID","POPinBottle","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID"
"P1",0.628,1,"Run3_POP_2019.xlsx",106.404815851777,3,"FE","DeepHole","5/8/2019","12:20","PML",0,0.5,140,"1","","FE_DeepHole_20190508_1220_PML_0.5_Limno.Sample.20160505"
"P10",0.52,1,"Run2_POP_2019.xlsx",73.3975743796385,3,"WL","DeepHole","5/13/2019","9:25","Hypo",8,8,140,"1","","WL_DeepHole_20190513_925_Hypo_8_Limno.Sample.20160505"
"P100",0.318,1,"Run3_POP_2019.xlsx",52.335333756591,17,"MO","Inlet3","6/17/2019","9:30","Surface",0,0,140,"1","","MO_Inlet3_20190617_930_Surface_0_Limno.Sample.20160505"
"P101",0.261,1,"Run4_POP_2019.xlsx",44.9600968731333,3,"FE","DeepHole","6/18/2019","9:52","PML",0,1.5,140,"1","","FE_DeepHole_20190618_952_PML_1.5_Limno.Sample.20160505"
"P102",0.225,1,"Run3_POP_2019.xlsx",36.1144891280352,3,"FE","DeepHole","6/18/2019","9:52","Hypo",8,8,140,"1","","FE_DeepHole_20190618_952_Hypo_8_Limno.Sample.20160505"
"P103",0.126,1,"Run4_POP_2019.xlsx",21.8104192993543,3,"FE","Inlet1","6/18/2019","9:52","Surface",0,0,140,"1","","FE_Inlet1_20190618_952_Surface_0_Limno.Sample.20160505"
"P104",0.257,1,"Run3_POP_2019.xlsx",41.6958550217318,3,"WL","DeepHole","6/18/2019","8:50","PML",0,1.5,140,"1","","WL_DeepHole_20190618_850_PML_1.5_Limno.Sample.20160505"
"P105",0.661,1,"Run4_POP_2019.xlsx",113.551734128775,3,"WL","DeepHole","6/18/2019","8:50","Hypo",8,8,140,"1","","WL_DeepHole_20190618_850_Hypo_8_Limno.Sample.20160505"
"P106",0.162,1,"Run2_POP_2019.xlsx",24.5932556622661,17,"ME","DeepHole","6/19/2019","13:33","PML",0,1,140,"1","","ME_DeepHole_20190619_1333_PML_1_Limno.Sample.20160505"
"P107",0.156,1,"Run2_POP_2019.xlsx",23.775306186556,17,"ME","DeepHole","6/19/2019","13:33","Hypo",2.5,2.5,140,"1","","ME_DeepHole_20190619_1333_Hypo_2.5_Limno.Sample.20160505"
"P108",0.37,1,"Run3_POP_2019.xlsx",61.405053333848,17,"ME","Outlet","6/19/2019","13:33","Surface",0,0,140,"1","","ME_Outlet_20190619_1333_Surface_0_Limno.Sample.20160505"
"P109",0.233,1,"Run2_POP_2019.xlsx",34.2723244581696,17,"CR","DeepHole","6/20/2019","9:34","PML",0,3,140,"1","","CR_DeepHole_20190620_934_PML_3_Limno.Sample.20160505"
"P11",0.189,1,"Run3_POP_2019.xlsx",29.8354524976265,34,"PA","DeepHole","5/15/2019","8:45","PML",0,1,140,"1","","PA_DeepHole_20190515_845_PML_1_Limno.Sample.20160505"
"P110",0.259,1,"Run5_POP_2019.xlsx",44.0573761125223,17,"CR","DeepHole","6/20/2019","9:34","Hypo",0.34,11,140,"1","","CR_DeepHole_20190620_934_Hypo_11_Limno.Sample.20160505"
"P111",0.467,1,"Run5_POP_2019.xlsx",80.0923238411158,17,"CR","Outlet","6/20/2019","9:34","Surface",0,0,140,"1","","CR_Outlet_20190620_934_Surface_0_Limno.Sample.20160505"
"P112",0.142,1,"Run4_POP_2019.xlsx",24.55408478958,34,"PA","DeepHole","6/20/2019","8:38","PML",0,2,140,"1","","PA_DeepHole_20190620_838_PML_2_Limno.Sample.20160505"
"P113",0.262,1,"Run4_POP_2019.xlsx",45.1315759662725,34,"PA","DeepHole","6/20/2019","8:38","Hypo",8,8,140,"1","","PA_DeepHole_20190620_838_Hypo_8_Limno.Sample.20160505"
"P114",0.136,1,"Run2_POP_2019.xlsx",21.0488079341888,34,"PE","DeepHole","6/20/2019","10:00","PML",0,1,140,"1","","PE_DeepHole_20190620_1000_PML_1_Limno.Sample.20160505"
"P115",0.404,1,"Run2_POP_2019.xlsx",57.5838845159089,34,"PE","DeepHole","6/20/2019","10:00","Hypo",9,9,140,"1","","PE_DeepHole_20190620_1000_Hypo_9_Limno.Sample.20160505"
"P116",0.259,1,"Run3_POP_2019.xlsx",42.0446903900879,17,"HB","DeepHole","6/21/2019","9:40","PML",0,0.5,140,"1","","HB_DeepHole_20190621_940_PML_0.5_Limno.Sample.20160505"
"P117",0.703,1,"Run6_POP_2019.xlsx",116.519588689473,17,"HB","DeepHole","6/21/2019","9:40","Hypo",4.5,4.5,140,"1","","HB_DeepHole_20190621_940_Hypo_4.5_Limno.Sample.20160505"
"P118",0.225,1,"Run5_POP_2019.xlsx",38.1670481184253,17,"HB","Outlet","6/21/2019","9:40","Surface",0,0,140,"1","","HB_Outlet_20190621_940_Surface_0_Limno.Sample.20160505"
