"pocID","runID","trayLoc","PON.mg","POC.mg","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID","POC","PON","ID"
"P63","RN_20210201_run1b_039","p1c1",0.009115395547443,0.06584338722952,15,"CR","DeepHole","6/25/2020","10:06","Hypo",11,11,100,"1","","CR_DeepHole_20200625_1006_Hypo_11_Limno.Sample.20160505",658.434,91.154,63
"P66","RN_20210201_run1b_050","p1c12",0.01806109316348,0.1364071642458,17,"TU","DeepHole","6/25/2020","12:31","Hypo",7,7,100,"1","","TU_DeepHole_20200625_1231_Hypo_7_Limno.Sample.20160505",1364.072,180.611,66
"P67","RN_20210201_run1b_049","p1c11",0.008373426853494,0.05493019973574,17,"WA","DeepHole","6/29/2020","8:54","PML",0,1,120,"1","","WA_DeepHole_20200629_0854_PML_1_Limno.Sample.20160505",457.752,69.779,67
"P69","RN_20210201_run1b_047","p1c9",0.007835409467721,0.03524748192759,3,"FE","DeepHole","6/30/2020","11:30","PML",0,1,120,"1","","FE_DeepHole_20200630_1130_PML_1_Limno.Sample.20160505",293.729,65.295,69
"P70","RN_20210201_run1b_046","p1c8",0.008129068525521,0.06246308261102,3,"FE","DeepHole","6/30/2020","11:30","Hypo",8,8,120,"1","","FE_DeepHole_20200630_1130_Hypo_8_Limno.Sample.20160505",520.526,67.742,70
"P8","RN_20210201_run1b_018","p1a6",0.02423091183285,0.2199742140345,35,"CB","DeepHole","6/6/2020","10:10","point",5.5,5.5,140,"1","","CB_DeepHole_20200606_1010_point_5.5_Limno.Sample.20160505",1571.244,173.078,8
"P81","RN_20210201_run1b_045","p1c7",0.01692432289207,0.164458421064,15,"MO","Inlet1","7/6/2020","9:01","Surface",0,0,100,"1","","MO_Inlet1_20200706_0901_Surface_0_Limno.Sample.20160505",1644.584,169.243,81
"P82","RN_20210201_run1b_044","p1c6",0.02142672714396,0.1780856410097,15,"MO","Inlet2","7/6/2020","9:01","Surface",0,0,120,"1","","MO_Inlet2_20200706_0901_Surface_0_Limno.Sample.20160505",1484.047,178.556,82
"P9","RN_20210201_run1b_019","p1a7",0.01405871536742,0.08996119149573,35,"NG","DeepHole","6/6/2020","11:35","point",5.5,5.5,140,"1","","NG_DeepHole_20200606_1135_point_5.5_Limno.Sample.20160505",642.58,100.419,9
"P113","RN_20210203_run2_050","P1F12",0.005648967415921,0.05021310508292,15,"CR","Outlet","7/23/2020","10:30","Surface",0,0,120,"1","","CR_Outlet_20200723_1030_Surface_0_Limno.Sample.20160505",418.443,47.075,113
"P28","RN_20210203_run2_049","P1F11",0.01425456013212,0.1121980169383,17,"BA","DeepHole","7/27/2020","11:30","PML",0,2.5,120,"1","","BA_DeepHole_20200727_1130_PML_2.5_Limno.Sample.20160505",934.983,118.788,28
"P154","RN_20210203_run2_034","P1E9",0.01591683514557,0.1341072798104,17,"NG","DeepHole","8/14/2020","10:00","Hypo",3.5,3.5,120,"1","","NG_DeepHole_20200814_1000_Hypo_3.5_Limno.Sample.20160505",1117.561,132.64,154
"P155","RN_20210203_run2_033","P1E8",0.008414495494048,0.05420077218172,17,"WA","DeepHole","8/14/2020","11:15","PML",0,0.5,120,"1","","WA_DeepHole_20200814_1115_PML_0.5_Limno.Sample.20160505",451.673,70.121,155
"P156","RN_20210203_run2_032","P1E7",0.0451877882449,0.352001090817,17,"WA","DeepHole","8/14/2020","11:15","Hypo",4,4,120,"1","","WA_DeepHole_20200814_1115_Hypo_4_Limno.Sample.20160505",2933.342,376.565,156
"P157","RN_20210203_run2_031","P1E6",0.007092493795523,0.05805282804643,15,"CR","DeepHole","8/17/2020","9:30","PML",0,3,100,"1","","CR_DeepHole_20200817_0930_PML_3_Limno.Sample.20160505",580.528,70.925,157
"P158","RN_20210203_run2_030","P1E5",0.009390437989955,0.07808776309415,15,"CR","DeepHole","8/17/2020","9:30","Hypo",8,8,120,"1","","CR_DeepHole_20200817_0930_Hypo_8_Limno.Sample.20160505",650.731,78.254,158
"P159","RN_20210203_run2_029","P1E4",0.01335183541497,0.1557292398309,15,"CR","Outlet","8/17/2020","9:30","Surface",0,0,120,"1","","CR_Outlet_20200817_0930_Surface_0_Limno.Sample.20160505",1297.744,111.265,159
