"sample","abs","dilution","runID","TN","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","comments","sampleID","flag"
"U125",0.00795392798411289,1,"TN_run1_20201028.csv",1448.85158826413,17,"PE","DeepHole","7/29/2020","8:45","Hypo",10,10,NA,"PE_DeepHole_20200729_0845_Hypo_10_Limno.Sample.20160505",NA
"U126",0.00463381763259594,1,"TN_run1_20201028.csv",250.423818223516,17,"TU","DeepHole","7/29/2020","11:30","PML",0,1.5,NA,"TU_DeepHole_20200729_1130_PML_1.5_Limno.Sample.20160505",NA
"U127",0.00530498365891304,1,"TN_run1_20201028.csv",492.688056181366,17,"TU","DeepHole","7/29/2020","11:30","Hypo",6,6,NA,"TU_DeepHole_20200729_1130_Hypo_6_Limno.Sample.20160505",NA
"U128",0.00553403655689805,1,"TN_run1_20201028.csv",575.36704112176,15,"MO","DeepHole","8/3/2020","8:50","PML",0,1,NA,"MO_DeepHole_20200803_0850_PML_1_Limno.Sample.20160505",NA
"U129",0.00590436635185982,1,"TN_run1_20201028.csv",709.041366179316,15,"MO","DeepHole","8/3/2020","8:50","Hypo",4,4,NA,"MO_DeepHole_20200803_0850_Hypo_4_Limno.Sample.20160505",NA
"U13",0.004609215,1,"TN_run2_202011102.csv",435.996330335442,35,"TF","DeepHole","6/7/2020","11:45","point",7,7,NA,"TF_DeepHole_20200607_1145_point_7_Limno.Sample.20160505",NA
"U130",0.0054269290078781,1,"TN_run1_20201028.csv",536.705476433753,15,"MO","Inlet1","8/3/2020","8:50","Surface",0,0,NA,"MO_Inlet1_20200803_0850_Surface_0_Limno.Sample.20160505",NA
"U131",0.00619020058171545,1,"TN_run1_20201028.csv",812.216153285608,15,"MO","Inlet2","8/3/2020","8:50","Surface",0,0,NA,"MO_Inlet2_20200803_0850_Surface_0_Limno.Sample.20160505",NA
"U132",0.00817520433855005,1,"TN_run1_20201028.csv",1528.72355031795,15,"MO","Inlet3","8/3/2020","8:50","Surface",0,0,NA,"MO_Inlet3_20200803_0850_Surface_0_Limno.Sample.20160505",NA
"U133",0.00520772246668372,1,"TN_run1_20201028.csv",457.580634627857,3,"FE","DeepHole","8/4/2020","10:45","PML",0,2,NA,"FE_DeepHole_20200804_1045_PML_2_Limno.Sample.20160505",NA
"U134",0.00563050282378209,1,"TN_run1_20201028.csv",610.187526246046,3,"FE","DeepHole","8/4/2020","10:45","Hypo",8,8,NA,"FE_DeepHole_20200804_1045_Hypo_8_Limno.Sample.20160505",NA
"U135",0.00775313931381685,1,"TN_run1_20201028.csv",1376.3748652292,3,"FE","Inlet1","8/4/2020","10:45","Surface",0,0,NA,"FE_Inlet1_20200804_1045_Surface_0_Limno.Sample.20160505",NA
"U136",0.00494717386420747,1,"TN_run1_20201028.csv",363.532953197586,3,"WL","DeepHole","8/4/2020","8:45","PML",0,2.5,NA,"WL_DeepHole_20200804_0845_PML_2.5_Limno.Sample.20160505",NA
"U137",0.00563588730026219,1,"TN_run1_20201028.csv",612.131108072455,3,"WL","DeepHole","8/4/2020","8:45","Hypo",8,8,NA,"WL_DeepHole_20200804_0845_Hypo_8_Limno.Sample.20160505",NA
"U138",0.00611027163857781,1,"TN_reruns_20210419.csv",612.373089903192,15,"HB","DeepHole","8/5/2020","8:55","PML",0,1,NA,"HB_DeepHole_20200805_0855_PML_1_Limno.Sample.20160505",NA
"U139",0.00610083467434015,1,"TN_run1_20201028.csv",779.95861550693,15,"HB","DeepHole","8/5/2020","8:55","Hypo",4,4,NA,"HB_DeepHole_20200805_0855_Hypo_4_Limno.Sample.20160505",NA
"U14",0.004531261,1,"TN_run2_202011102.csv",408.564448521212,3,"FE","DeepHole","6/9/2020","11:48","PML",0,0.5,NA,"FE_DeepHole_20200609_1148_PML_0.5_Limno.Sample.20160505",NA
"U140",0.00578621366211268,1,"TN_run1_20201028.csv",666.392945040762,15,"HB","Outlet","8/5/2020","8:55","Surface",0,0,NA,"HB_Outlet_20200805_0855_Surface_0_Limno.Sample.20160505",NA
"U141",0.00485041080167183,1,"TN_run1_20201028.csv",328.605336648966,15,"CR","DeepHole","8/6/2020","9:22","PML",0,3.5,NA,"CR_DeepHole_20200806_0922_PML_3.5_Limno.Sample.20160505",NA
"U142",0.004904562,1,"TN_run3_202011112.csv",408.6507423009,15,"CR","DeepHole","8/6/2020","9:22","Hypo",8,8,NA,"CR_DeepHole_20200806_0922_Hypo_8_Limno.Sample.20160505",NA
"U143",0.00467062997244514,1,"TN_run1_20201028.csv",263.711608593284,15,"CR","Outlet","8/6/2020","9:22","Surface",0,0,NA,"CR_Outlet_20200806_0922_Surface_0_Limno.Sample.20160505",NA
"U144",0.00556826916619551,1,"TN_run1_20201028.csv",587.723651378489,3,"FE","DeepHole","8/11/2020","10:45","PML",0,1,NA,"FE_DeepHole_20200811_1045_PML_1_Limno.Sample.20160505",NA
"U145",0.00562331445082134,1,"TN_run1_20201028.csv",607.592809545248,3,"FE","DeepHole","8/11/2020","10:45","Hypo",8,8,NA,"FE_DeepHole_20200811_1045_Hypo_8_Limno.Sample.20160505",NA
"U146",0.007618686,1,"TN_run3_202011112.csv",1339.60121299571,3,"FE","Inlet1","8/11/2020","10:45","Surface",0,0,NA,"FE_Inlet1_20200811_1045_Surface_0_Limno.Sample.20160505",NA
"U147",0.00462093291928507,1,"TN_run1_20201028.csv",245.772949244507,3,"WL","DeepHole","8/11/2020","9:48","PML",0,1.5,NA,"WL_DeepHole_20200811_0948_PML_1.5_Limno.Sample.20160505",NA
