"projectID","lakeID","sampleID","dateSample","parameter","parameterValue","QCcode","flag","comments","metadataID","updateID"
3,"CR","CR_DeepHole_20190718_833_PML_3_Limno.Sample.20160505",2019-07-18,"PON",79,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"CR","CR_DeepHole_20190731_1050_Hypo_9_Limno.Sample.20160505",2019-07-31,"PON",114,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"CR","CR_DeepHole_20190731_1050_PML_4_Limno.Sample.20160505",2019-07-31,"PON",71,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"CR","CR_DeepHole_20190814_1150_Hypo_8_Limno.Sample.20160505",2019-08-14,"PON",71,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"CR","CR_DeepHole_20190814_1150_PML_4_Limno.Sample.20160505",2019-08-14,"PON",82,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"CR","CR_DeepHole_20191006_845_Hypo_10_Limno.Sample.20160505",2019-10-06,"PON",92,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"CR","CR_DeepHole_20191006_845_PML_7_Limno.Sample.20160505",2019-10-06,"PON",98,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"CR","CR_Outlet_20190520_937_Surface_0_Limno.Sample.20160505",2019-05-20,"PON",73,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"CR","CR_Outlet_20190607_933_Surface_0_Limno.Sample.20160505",2019-06-07,"PON",77,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"CR","CR_Outlet_20190620_934_Surface_0_Limno.Sample.20160505",2019-06-20,"PON",133,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"CR","CR_Outlet_20190701_955_Surface_0_Limno.Sample.20160505",2019-07-01,"PON",294,NA,1,"C: much higher than normal, N and C elevated, maybe ok N: much higher than normal, N and C elevated, maybe ok ","Iso.POC.CEST.20111214","pocForBella.20200312"
17,"CR","CR_Outlet_20190731_1050_Surface_0_Limno.Sample.20160505",2019-07-31,"PON",76,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"CR","CR_Outlet_20190814_1150_Surface_0_Limno.Sample.20160505",2019-08-14,"PON",393,NA,1,"C: much higher than normal, N and C elevated, maybe ok N: much higher than normal, N and C elevated, maybe ok ","Iso.POC.CEST.20111214","pocForBella.20200312"
15,"CR","CR_Outlet_20191006_845_Surface_0_Limno.Sample.20160505",2019-10-06,"PON",80,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
37,"DS","DS_DeepHole_20190830_950_Surface_0_fishScapesLimno.20190319",2019-08-30,"PON",133,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
37,"DY","DY_DeepHole_20190828_1345_Surface_0_fishScapesLimno.20190319",2019-08-28,"PON",161,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
37,"ER","ER_DeepHole_20190823_1130_Surface_0_fishScapesLimno.20190319",2019-08-23,"PON",152,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
3,"FE","FE_DeepHole_20190508_1220_Hypo_8_Limno.Sample.20160505",2019-05-08,"PON",82,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
3,"FE","FE_DeepHole_20190508_1220_PML_0.5_Limno.Sample.20160505",2019-05-08,"PON",210,NA,1,"C: slightly higher than normal; ok","Iso.POC.CEST.20111214","pocForBella.20200312"
3,"FE","FE_DeepHole_20190513_1020_Hypo_8_Limno.Sample.20160505",2019-05-13,"PON",114,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
3,"FE","FE_DeepHole_20190513_1020_PML_0.5_Limno.Sample.20160505",2019-05-13,"PON",156,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
3,"FE","FE_DeepHole_20190521_1008_Hypo_8_Limno.Sample.20160505",2019-05-21,"PON",85,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
