"sample","abs","df","runID","POPinBottle","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID","POP"
"P16",0.259,1,"Run6_POP_2019.xlsx",43.6938154151447,15,"CR","DeepHole","5/20/2019","9:37","Hypo",8,8,140,"1","","CR_DeepHole_20190520_937_Hypo_8_Limno.Sample.20160505",9.36296044610244
"P160",0.322,1,"Run3_POP_2019.xlsx",53.0330044933031,17,"MO","Inlet1","7/15/2019","9:44","Surface",0,0,140,"1","","MO_Inlet1_20190715_944_Surface_0_Limno.Sample.20160505",11.364215248565
"P161",0.402,1,"Run5_POP_2019.xlsx",68.8314026759303,17,"MO","Inlet2","7/15/2019","9:44","Surface",0,0,140,"1","","MO_Inlet2_20190715_944_Surface_0_Limno.Sample.20160505",14.7495862876994
"P162",0.52,1,"Run6_POP_2019.xlsx",86.5035605155943,17,"MO","Inlet3","7/15/2019","9:44","Surface",0,0,140,"1","","MO_Inlet3_20190715_944_Surface_0_Limno.Sample.20160505",18.5364772533416
"P163",0.284,1,"Run3_POP_2019.xlsx",46.4051324945384,3,"FE","DeepHole","7/16/2019","9:32","PML",0,1,140,"1","","FE_DeepHole_20190716_932_PML_1_Limno.Sample.20160505",9.94395696311536
"P164",0.658,1,"Run4_POP_2019.xlsx",113.037296849358,3,"FE","DeepHole","7/16/2019","9:32","Hypo",8,8,140,"1","","FE_DeepHole_20190716_932_Hypo_8_Limno.Sample.20160505",24.2222778962909
"P165",0.447,1,"Run4_POP_2019.xlsx",76.8552081970066,3,"FE","Inlet1","7/16/2019","9:32","Surface",0,0,140,"1","","FE_Inlet1_20190716_932_Surface_0_Limno.Sample.20160505",16.4689731850728
"P166",0.13,1,"Run4_POP_2019.xlsx",22.4963356719107,3,"WL","DeepHole","7/16/2019","8:35","PML",0,2,140,"1","","WL_DeepHole_20190716_835_PML_2_Limno.Sample.20160505",4.82064335826659
"P167",0.705,1,"Run6_POP_2019.xlsx",116.847632713231,3,"WL","DeepHole","7/16/2019","8:35","Hypo",8,8,140,"1","","WL_DeepHole_20190716_835_Hypo_8_Limno.Sample.20160505",25.0387784385495
"P168",0.181,1,"reruns_POP_2019_20210505.xlsx",29.3023921306189,3,"CR","DeepHole","7/18/2019","8:33","PML",0,3,140,"1","","CR_DeepHole_20190718_833_PML_3_Limno.Sample.20160505",6.27908402798976
"P169",0.17,1,"Run4_POP_2019.xlsx",29.3554993974749,3,"CR","DeepHole","7/18/2019","8:33","Hypo",10,10,140,"1","","CR_DeepHole_20190718_833_Hypo_10_Limno.Sample.20160505",6.29046415660176
"P17",0.28,1,"Run6_POP_2019.xlsx",47.1382776646062,15,"CR","Outlet","5/20/2019","9:37","Surface",0,0,140,"1","","CR_Outlet_20190520_937_Surface_0_Limno.Sample.20160505",10.1010594995585
"P170",0.166,1,"Run6_POP_2019.xlsx",28.4397683103868,34,"PA","DeepHole","7/18/2019","8:27","PML",0,2,140,"1","","PA_DeepHole_20190718_827_PML_2_Limno.Sample.20160505",6.09423606651146
"P171",0.683,1,"Run6_POP_2019.xlsx",113.23914845189,34,"PA","DeepHole","7/18/2019","8:27","Hypo",8,8,140,"1","","PA_DeepHole_20190718_827_Hypo_8_Limno.Sample.20160505",24.2655318111194
"P172",0.203,1,"Run3_POP_2019.xlsx",32.2773000761188,3,"ME","DeepHole","7/18/2019","14:00","PML",0,2,140,"1","","ME_DeepHole_20190718_1400_PML_2_Limno.Sample.20160505",6.91656430202546
"P173",0.323,1,"Run3_POP_2019.xlsx",53.2074221774811,3,"ME","DeepHole","7/18/2019","14:00","Hypo",4,4,140,"1","","ME_DeepHole_20190718_1400_Hypo_4_Limno.Sample.20160505",11.4015904666031
"P174",0.315,1,"Run3_POP_2019.xlsx",51.812080704057,3,"ME","Outlet","7/18/2019","14:00","Surface",0,0,140,"1","","ME_Outlet_20190718_1400_Surface_0_Limno.Sample.20160505",11.1025887222979
"P175",0.224,1,"Run6_POP_2019.xlsx",37.9530449993756,34,"PE","DeepHole","7/18/2019","14:15","PML",0,2,140,"1","","PE_DeepHole_20190718_1415_PML_2_Limno.Sample.20160505",8.13279535700905
"P176",0.573,1,"Run2_POP_2019.xlsx",80.6227947484115,34,"PE","DeepHole","7/18/2019","14:15","Hypo",9,9,140,"1","","PE_DeepHole_20190718_1415_Hypo_9_Limno.Sample.20160505",17.2763131603739
"P177",0.394,1,"Run1_POP_2019.xlsx",61.9076111189107,17,"BO","DeepHole","7/19/2019","9:30","PML",0,0.5,140,"1","","BO_DeepHole_20190719_930_PML_0.5_Limno.Sample.20160505",13.265916668338
"P178",0.561,1,"Run1_POP_2019.xlsx",87.0464909731003,17,"BO","DeepHole","7/19/2019","9:30","Hypo",2,2,140,"1","","BO_DeepHole_20190719_930_Hypo_2_Limno.Sample.20160505",18.6528194942358
"P179",0.223,1,"Run1_POP_2019.xlsx",36.1666024059381,17,"HB","DeepHole","7/19/2019","10:44","PML",0,0.5,140,"1","","HB_DeepHole_20190719_1044_PML_0.5_Limno.Sample.20160505",7.74998622984389
"P18",0.299,1,"Run6_POP_2019.xlsx",50.2546958903094,15,"HB","DeepHole","5/20/2019","12:40","PML",0,0.5,140,"1","","HB_DeepHole_20190520_1240_PML_0.5_Limno.Sample.20160505",10.7688634050663
"P180",0.516,1,"Run1_POP_2019.xlsx",80.2725413117917,17,"HB","DeepHole","7/19/2019","10:44","Hypo",4,4,140,"1","","HB_DeepHole_20190719_1044_Hypo_4_Limno.Sample.20160505",17.2012588525268
"P181",0.391,1,"Run1_POP_2019.xlsx",61.4560144748235,17,"HB","Outlet","7/19/2019","10:44","Surface",0,0,140,"1","","HB_Outlet_20190719_1044_Surface_0_Limno.Sample.20160505",13.1691459588907
"P182",0.209,1,"Run5_POP_2019.xlsx",35.3951290623796,3,"FE","DeepHole","7/22/2019","9:10","PML",0,2,140,"1","","FE_DeepHole_20190722_910_PML_2_Limno.Sample.20160505",7.58467051336706
"P183",0.589,1,"Run5_POP_2019.xlsx",101.228206643464,3,"FE","DeepHole","7/22/2019","9:10","Hypo",8,8,140,"1","","FE_DeepHole_20190722_910_Hypo_8_Limno.Sample.20160505",21.6917585664566
"P184",0.093,1,"Run4_POP_2019.xlsx",16.1516092257639,3,"FE","Inlet1","7/22/2019","9:10","Surface",0,0,140,"1","","FE_Inlet1_20190722_910_Surface_0_Limno.Sample.20160505",3.46105911980655
"P185",0.23,1,"Run5_POP_2019.xlsx",39.0332728234395,3,"WL","DeepHole","7/22/2019","8:30","PML",0,2.5,140,"1","","WL_DeepHole_20190722_830_PML_2.5_Limno.Sample.20160505",8.3642727478799
"P186",0.741,1,"Run6_POP_2019.xlsx",122.752425140879,3,"WL","DeepHole","7/22/2019","8:30","Hypo",8,8,140,"1","","WL_DeepHole_20190722_830_Hypo_8_Limno.Sample.20160505",26.304091101617
"P187",0.304,1,"Run3_POP_2019.xlsx",49.8934861780988,17,"BR","DeepHole","7/22/2019","10:20","PML",0,2.5,140,"1","","BR_DeepHole_20190722_1020_PML_2.5_Limno.Sample.20160505",10.6914613238783
"P188",0.866,1,"Run1_POP_2019.xlsx",132.958816455303,17,"BR","DeepHole","7/22/2019","10:20","Hypo",4.5,4.5,140,"1","","BR_DeepHole_20190722_1020_Hypo_4.5_Limno.Sample.20160505",28.4911749547077
"P189",0.178,1,"Run5_POP_2019.xlsx",30.0245358912911,17,"WA","DeepHole","7/22/2019","8:36","PML",0,1,140,"1","","WA_DeepHole_20190722_836_PML_1_Limno.Sample.20160505",6.43382911956239
"P19",0.374,1,"Run2_POP_2019.xlsx",53.4941371373582,15,"HB","DeepHole","5/20/2019","12:40","Hypo",3,3,140,"1","","HB_DeepHole_20190520_1240_Hypo_3_Limno.Sample.20160505",11.4630293865767
"P190",1.783,1,"Run4_POP_2019.xlsx",305.951276630849,17,"WA","DeepHole","7/22/2019","8:36","Hypo",4.5,4.5,140,"1","","WA_DeepHole_20190722_836_Hypo_4.5_Limno.Sample.20160505",65.5609878494677
"P191",0.168,1,"Run3_POP_2019.xlsx",26.1726811298881,17,"BA","DeepHole","7/25/2019","9:25","PML",0,3,140,"1","","BA_DeepHole_20190725_925_PML_3_Limno.Sample.20160505",5.60843167069031
"P192",0.252,1,"Run3_POP_2019.xlsx",40.8237666008418,17,"BA","DeepHole","7/25/2019","9:25","Hypo",6.5,6.5,140,"1","","BA_DeepHole_20190725_925_Hypo_6.5_Limno.Sample.20160505",8.74794998589466
"P193",0.285,1,"Run1_POP_2019.xlsx",45.4995997170744,17,"TU","DeepHole","7/25/2019","8:40","PML",0,2,140,"1","","TU_DeepHole_20190725_840_PML_2_Limno.Sample.20160505",9.74991422508737
"P194",0.496,1,"Run3_POP_2019.xlsx",83.3816815402785,17,"TU","DeepHole","7/25/2019","8:40","Hypo",5,5,140,"1","","TU_DeepHole_20190725_840_Hypo_5_Limno.Sample.20160505",17.8675031872025
"P195",0.124,1,"Run4_POP_2019.xlsx",21.4674611130761,34,"PA","DeepHole","7/25/2019","8:38","PML",0,2.5,140,"1","","PA_DeepHole_20190725_838_PML_2.5_Limno.Sample.20160505",4.60017023851631
