"pocID","runID","trayLoc","PON.mg","POC.mg","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID","POC","PON"
"P27","RN_20210203_run2_021","P1D9",0.01043387549571,0.07865511587451,15,"CR","Outlet","6/11/2020","9:30","Surface",0,0,120,"1","","CR_Outlet_20200611_0930_Surface_0_Limno.Sample.20160505",0.655,0.087
"P28","RN_20210203_run2_049","P1F11",0.01425456013212,0.1121980169383,15,"MO","DeepHole","6/12/2020","9:25","PML",0,1.5,120,"1","","MO_DeepHole_20200612_0925_PML_1.5_Limno.Sample.20160505",0.935,0.119
"P29","RN_20210203_run2_048","P1F10",0.02725601783984,0.1813437329412,15,"MO","DeepHole","6/12/2020","9:25","Hypo",4.5,4.5,90,"1","","MO_DeepHole_20200612_0925_Hypo_4.5_Limno.Sample.20160505",2.015,0.303
"P30","RN_20210203_run2_047","P1F9",0.01022739294376,0.07715454808863,15,"MO","Inlet1","6/12/2020","9:25","Surface",0,0,120,"1","","MO_Inlet1_20200612_0925_Surface_0_Limno.Sample.20160505",0.643,0.085
"P31","RN_20210203_run2_027","P1E2",0.006194860659547,0.05613750361933,15,"MO","Inlet2","6/12/2020","9:25","Surface",0,0,120,"1","","MO_Inlet2_20200612_0925_Surface_0_Limno.Sample.20160505",0.468,0.052
"P32","RN_20210203_run2_026","P1E1",0.01770461132291,0.1874434495336,15,"MO","Inlet3","6/12/2020","9:25","Surface",0,0,120,"1","","MO_Inlet3_20200612_0925_Surface_0_Limno.Sample.20160505",1.562,0.148
"P33","RN_20210203_run2_024","P1D12",0.02421903695091,0.1631212664926,17,"BR","DeepHole","6/15/2020","11:42","PML",0,2,120,"1","","BR_DeepHole_20200615_1142_PML_2_Limno.Sample.20160505",1.359,0.202
"P34","RN_20210203_run2_046","P1F8",0.02194989595737,0.1507160630255,17,"BR","DeepHole","6/15/2020","11:42","Hypo",3.5,3.5,120,"1","","BR_DeepHole_20200615_1142_Hypo_3.5_Limno.Sample.20160505",1.256,0.183
"P35","RN_20210203_run2_045","P1F7",0.00701614111761,0.05486934762606,17,"BA","DeepHole","6/15/2020","14:00","PML",0,2.5,120,"1","","BA_DeepHole_20200615_1400_PML_2.5_Limno.Sample.20160505",0.457,0.058
"P36","RN_20210203_run2_044","P1F6",0.009394098878893,0.07819506615314,17,"BA","DeepHole","6/15/2020","14:00","Hypo",6.5,6.5,120,"1","","BA_DeepHole_20200615_1400_Hypo_6.5_Limno.Sample.20160505",0.652,0.078
"P37","RN_20210203_run2_043","P1F5",0.006381439757846,0.04635398054963,3,"FE","DeepHole","6/16/2020","10:35","PML",0,1.5,120,"1","","FE_DeepHole_20200616_1035_PML_1.5_Limno.Sample.20160505",0.386,0.053
"P38","RN_20210203_run2_042","P1F4",0.008899205605304,0.08238949180777,3,"FE","DeepHole","6/16/2020","10:35","Hypo",8,8,100,"1","","FE_DeepHole_20200616_1035_Hypo_8_Limno.Sample.20160505",0.824,0.089
"P39","RN_20210204_run3_050","P2A12",0.001563039762889,0.05547538967539,3,"FE","Inlet1","6/16/2020","10:35","Surface",0,0,120,"1","","FE_Inlet1_20200616_1035_Surface_0_Limno.Sample.20160505",0.462,0.013
"P40","RN_20210204_run3_049","P2A11",0.01081729088611,0.05042342212658,3,"WL","DeepHole","6/16/2020","8:56","PML",0,2,120,"1","","WL_DeepHole_20200616_0856_PML_2_Limno.Sample.20160505",0.42,0.09
"P41","RN_20210204_run3_048","P2A10",0.02035719026473,0.1161438098506,3,"WL","DeepHole","6/16/2020","8:56","Hypo",8,8,120,"1","","WL_DeepHole_20200616_0856_Hypo_8_Limno.Sample.20160505",0.968,0.17
"P42","RN_20210204_run3_047","P2A9",0.008661721929934,0.04036613287264,17,"PA","DeepHole","6/17/2020","9:20","PML",0,2,120,"1","","PA_DeepHole_20200617_0920_PML_2_Limno.Sample.20160505",0.336,0.072
"P43","RN_20210204_run3_046","P2A8",0.01146962874276,0.05700587852613,17,"PA","DeepHole","6/17/2020","9:20","Hypo",5.5,5.5,120,"1","","PA_DeepHole_20200617_0920_Hypo_5.5_Limno.Sample.20160505",0.475,0.096
"P44","RN_20210204_run3_045","P2A7",0.00674968589805,0.04240686776205,17,"PE","DeepHole","6/17/2020","10:38","PML",0,2,120,"1","","PE_DeepHole_20200617_1038_PML_2_Limno.Sample.20160505",0.353,0.056
"P45","RN_20210204_run3_044","P2A6",0.01772113853599,0.09585133901755,17,"PE","DeepHole","6/17/2020","10:38","Hypo",9,9,100,"1","","PE_DeepHole_20200617_1038_Hypo_9_Limno.Sample.20160505",0.959,0.177
"P46","RN_20210205_run4_029","P2C3",0.01501110542932,0.08437166452726,15,"MO","DeepHole","6/22/2020","9:05","PML",0,3.5,100,"1","","MO_DeepHole_20200622_0905_PML_3.5_Limno.Sample.20160505",0.844,0.15
"P47","RN_20210205_run4_028","P2C2",0.02207184815533,0.1131919128437,15,"MO","DeepHole","6/22/2020","9:05","Hypo",7,7,60,"1","","MO_DeepHole_20200622_0905_Hypo_7_Limno.Sample.20160505",1.887,0.368
"P48","RN_20210205_run4_027","P2C1",0.003785885695431,0.02823807421388,15,"MO","Inlet1","6/22/2020","9:05","Surface",0,0,120,"1","","MO_Inlet1_20200622_0905_Surface_0_Limno.Sample.20160505",0.235,0.032
"P49","RN_20210205_run4_025","P2B12",0.01130826294757,0.08873747495146,15,"MO","Inlet2","6/22/2020","9:05","Surface",0,0,100,"1","","MO_Inlet2_20200622_0905_Surface_0_Limno.Sample.20160505",0.887,0.113
"P50",NA,NA,NA,NA,15,"MO","Inlet3","6/22/2020","9:05","Surface",0,0,100,"1","","MO_Inlet3_20200622_0905_Surface_0_Limno.Sample.20160505",NA,NA
"P51","RN_20210205_run4_021","P2B8",0.007158393433425,0.0467127636751,3,"FE","DeepHole","6/23/2020","11:25","PML",0,1.5,120,"1","","FE_DeepHole_20200623_1125_PML_1.5_Limno.Sample.20160505",0.389,0.06
"P52","RN_20210205_run4_020","P2B7",0.007474225471777,0.06063124463517,3,"FE","DeepHole","6/23/2020","11:25","Hypo",8,8,100,"1","","FE_DeepHole_20200623_1125_Hypo_8_Limno.Sample.20160505",0.606,0.075
"P53","RN_20210205_run4_019","P2B6",0.004157926196083,0.04072569547338,3,"FE","Inlet1","6/23/2020","11:25","Surface",0,0,120,"1","","FE_Inlet1_20200623_1125_Surface_0_Limno.Sample.20160505",0.339,0.035
"P54","RN_20210205_run4_018","P2B5",0.008611681878512,0.04284903405548,3,"WL","DeepHole","6/23/2020","9:45","PML",0,1.5,120,"1","","WL_DeepHole_20200623_0945_PML_1.5_Limno.Sample.20160505",0.357,0.072
"P55","RN_20210205_run4_017","P2B4",0.01549097312555,0.08214258845381,3,"WL","DeepHole","6/23/2020","9:45","Hypo",8,8,100,"1","","WL_DeepHole_20200623_0945_Hypo_8_Limno.Sample.20160505",0.821,0.155
"P56","RN_20210205_run4_024","P2B11",0.007413112915451,0.04277148314385,15,"HB","DeepHole","6/24/2020","10:53","PML",0,0.5,120,"1","","HB_DeepHole_20200624_1053_PML_0.5_Limno.Sample.20160505",0.356,0.062
"P57","RN_20210205_run4_023","P2B10",0.01647015723277,0.1050723206301,15,"HB","DeepHole","6/24/2020","10:53","Hypo",4,4,120,"1","","HB_DeepHole_20200624_1053_Hypo_4_Limno.Sample.20160505",0.876,0.137
"P58","RN_20210205_run4_022","P2B9",0.009151048390723,0.06436217630228,15,"HB","Outlet","6/24/2020","10:53","Surface",0,0,120,"1","","HB_Outlet_20200624_1053_Surface_0_Limno.Sample.20160505",0.536,0.076
"P59","RN_20210201_run1b_043","p1c5",0.005188999611288,0.02845120008755,17,"ME","DeepHole","6/24/2020","8:52","PML",0,1.5,120,"1","","ME_DeepHole_20200624_0852_PML_1.5_Limno.Sample.20160505",0.237,0.043
"P60","RN_20210201_run1b_042","p1c4",0.007712480482749,0.04311678928363,17,"ME","DeepHole","6/24/2020","8:52","Hypo",3,3,120,"1","","ME_DeepHole_20200624_0852_Hypo_3_Limno.Sample.20160505",0.359,0.064
"P61","RN_20210201_run1b_041","p1c3",0.007160320640047,0.04715701605977,17,"ME","Outlet","6/24/2020","8:52","Surface",0,0,120,"1","","ME_Outlet_20200624_0852_Surface_0_Limno.Sample.20160505",0.393,0.06
"P62","RN_20210201_run1b_040","p1c2",0.01052143486625,0.07821808471386,15,"CR","DeepHole","6/25/2020","10:06","PML",0,2.5,120,"1","","CR_DeepHole_20200625_1006_PML_2.5_Limno.Sample.20160505",0.652,0.088
"P63","RN_20210201_run1b_039","p1c1",0.009115395547443,0.06584338722952,15,"CR","DeepHole","6/25/2020","10:06","Hypo",11,11,100,"1","","CR_DeepHole_20200625_1006_Hypo_11_Limno.Sample.20160505",0.658,0.091
"P64","RN_20210201_run1b_037","p1b12",0.007632999458239,0.05965640386485,15,"CR","Outlet","6/25/2020","10:06","Surface",0,0,120,"1","","CR_Outlet_20200625_1006_Surface_0_Limno.Sample.20160505",0.497,0.064
"P65","RN_20210201_run1b_036","p1b11",0.009979064353082,0.07023952528629,17,"TU","DeepHole","6/25/2020","12:31","PML",0,1.5,120,"1","","TU_DeepHole_20200625_1231_PML_1.5_Limno.Sample.20160505",0.585,0.083
"P66","RN_20210201_run1b_050","p1c12",0.01806109316348,0.1364071642458,17,"TU","DeepHole","6/25/2020","12:31","Hypo",7,7,100,"1","","TU_DeepHole_20200625_1231_Hypo_7_Limno.Sample.20160505",1.364,0.181
"P67","RN_20210201_run1b_049","p1c11",0.008373426853494,0.05493019973574,17,"WA","DeepHole","6/29/2020","8:54","PML",0,1,120,"1","","WA_DeepHole_20200629_0854_PML_1_Limno.Sample.20160505",0.458,0.07
"P68","RN_20210201_run1b_048","p1c10",0.02058676101282,0.115807357318,17,"WA","DeepHole","6/29/2020","8:54","Hypo",3.5,3.5,120,"1","","WA_DeepHole_20200629_0854_Hypo_3.5_Limno.Sample.20160505",0.965,0.172
"P69","RN_20210201_run1b_047","p1c9",0.007835409467721,0.03524748192759,3,"FE","DeepHole","6/30/2020","11:30","PML",0,1,120,"1","","FE_DeepHole_20200630_1130_PML_1_Limno.Sample.20160505",0.294,0.065
"P70","RN_20210201_run1b_046","p1c8",0.008129068525521,0.06246308261102,3,"FE","DeepHole","6/30/2020","11:30","Hypo",8,8,120,"1","","FE_DeepHole_20200630_1130_Hypo_8_Limno.Sample.20160505",0.521,0.068
"P71","RN_20210205_run4_016","P2B3",0.005979692338469,0.02678216257707,3,"WL","DeepHole","6/30/2020","9:58","PML",0,1,120,"1","","WL_DeepHole_20200630_0958_PML_1_Limno.Sample.20160505",0.223,0.05
"P72","RN_20210205_run4_015","P2B2",0.01320308751634,0.06255489046019,3,"WL","DeepHole","6/30/2020","9:58","Hypo",8,8,100,"1","","WL_DeepHole_20200630_0958_Hypo_8_Limno.Sample.20160505",0.626,0.132
"P73","RN_20210205_run4_041","P2D2",0.02842824561624,0.2038905192976,17,"BO","DeepHole","7/1/2020","10:41","PML",0,0.25,120,"1","","BO_DeepHole_20200701_1041_PML_0.25_Limno.Sample.20160505",1.699,0.237
"P74","RN_20210205_run4_040","P2D1",0.01416305344313,0.112617676412,17,"BO","DeepHole","7/1/2020","10:41","Hypo",2,2,100,"1","","BO_DeepHole_20200701_1041_Hypo_2_Limno.Sample.20160505",1.126,0.142
"P75","RN_20210205_run4_038","P2C12",0.006529139488401,0.04054834020256,17,"CB","DeepHole","7/1/2020","9:09","PML",0,0.5,120,"1","","CB_DeepHole_20200701_0909_PML_0.5_Limno.Sample.20160505",0.338,0.054
"P76","RN_20210205_run4_046","P2D7",0.009075558874987,0.04097887045864,17,"CB","DeepHole","7/1/2020","9:09","Hypo",3,3,120,"1","","CB_DeepHole_20200701_0909_Hypo_3_Limno.Sample.20160505",0.341,0.076
"P77","RN_20210205_run4_045","P2D6",0.01872057053378,0.08918792237926,17,"NG","DeepHole","7/3/2020","9:20","PML",0,0.25,120,"1","","NG_DeepHole_20200703_0920_PML_0.25_Limno.Sample.20160505",0.743,0.156
"P78","RN_20210205_run4_044","P2D5",0.01619257293629,0.09702100145566,17,"NG","DeepHole","7/3/2020","9:20","Hypo",4,4,120,"1","","NG_DeepHole_20200703_0920_Hypo_4_Limno.Sample.20160505",0.809,0.135
"P79","RN_20210205_run4_043","P2D4",0.01433031658169,0.07912092660032,15,"MO","DeepHole","7/6/2020","9:01","PML",0,0.5,120,"1","","MO_DeepHole_20200706_0901_PML_0.5_Limno.Sample.20160505",0.659,0.119
"P80","RN_20210205_run4_042","P2D3",0.01161650831054,0.0748838970788,15,"MO","DeepHole","7/6/2020","9:01","Hypo",3.5,3.5,100,"1","","MO_DeepHole_20200706_0901_Hypo_3.5_Limno.Sample.20160505",0.749,0.116
"P81","RN_20210201_run1b_045","p1c7",0.01692432289207,0.164458421064,15,"MO","Inlet1","7/6/2020","9:01","Surface",0,0,100,"1","","MO_Inlet1_20200706_0901_Surface_0_Limno.Sample.20160505",1.645,0.169
"P82","RN_20210201_run1b_044","p1c6",0.02142672714396,0.1780856410097,15,"MO","Inlet2","7/6/2020","9:01","Surface",0,0,120,"1","","MO_Inlet2_20200706_0901_Surface_0_Limno.Sample.20160505",1.484,0.179
"P83","RN_20210211_run5_014","P2E2",0.007927086027774,0.04938912117633,3,"FE","DeepHole","7/7/2020","11:30","PML",0,0.25,120,"1","","FE_DeepHole_20200707_1130_PML_0.25_Limno.Sample.20160505",0.412,0.066
"P84","RN_20210211_run5_013","P2E1",0.009340697027585,0.07500294548449,3,"FE","DeepHole","7/7/2020","11:30","Hypo",8,8,120,"1","","FE_DeepHole_20200707_1130_Hypo_8_Limno.Sample.20160505",0.625,0.078
"P85",NA,NA,NA,NA,3,"WL","DeepHole","7/7/2020","10:00","PML",0,1,120,"1","","WL_DeepHole_20200707_1000_PML_1_Limno.Sample.20160505",NA,NA
"P86","RN_20210205_run4_050","P2D11",0.004313725490914,0.02694866004796,3,"WL","DeepHole","7/7/2020","10:00","Hypo",8,8,120,"1","","WL_DeepHole_20200707_1000_Hypo_8_Limno.Sample.20160505",0.225,0.036
"P87","RN_20210211_run5_026","P2F1",0.01009561622709,0.06979236082321,15,"HB","DeepHole","7/8/2020","9:45","PML",0,0.25,120,"1","","HB_DeepHole_20200708_0945_PML_0.25_Limno.Sample.20160505",0.582,0.084
"P88","RN_20210211_run5_024","P2E12",0.01646110952678,0.1046384467105,15,"HB","DeepHole","7/8/2020","9:45","Hypo",3.5,3.5,100,"1","","HB_DeepHole_20200708_0945_Hypo_3.5_Limno.Sample.20160505",1.046,0.165
"P89","RN_20210211_run5_023","P2E11",0.01228846786524,0.1051350948582,15,"HB","Outlet","7/8/2020","9:45","Surface",0,0,120,"1","","HB_Outlet_20200708_0945_Surface_0_Limno.Sample.20160505",0.876,0.102
"P90","RN_20210211_run5_022","P2E10",0.009400213995647,0.06444841123677,15,"CR","DeepHole","7/10/2020","10:25","PML",0,2.5,120,"1","","CR_DeepHole_20200710_1025_PML_2.5_Limno.Sample.20160505",0.537,0.078
"P91","RN_20210211_run5_031","P2F6",0.009442070942852,0.07333744408892,15,"CR","DeepHole","7/10/2020","10:25","Hypo",7.5,7.5,120,"1","","CR_DeepHole_20200710_1025_Hypo_7.5_Limno.Sample.20160505",0.611,0.079
"P92","RN_20210211_run5_030","P2F5",0.008180531191982,0.05919991868763,15,"CR","Outlet","7/10/2020","10:25","Surface",0,0,120,"1","","CR_Outlet_20200710_1025_Surface_0_Limno.Sample.20160505",0.493,0.068
"P93","RN_20210211_run5_029","P2F4",0.01119834030272,0.06780231899418,3,"FE","DeepHole","7/15/2020","10:15","PML",0,1.5,120,"1","","FE_DeepHole_20200715_1015_PML_1.5_Limno.Sample.20160505",0.565,0.093
"P94","RN_20210211_run5_028","P2F3",0.00778242327172,0.07202067839496,3,"FE","DeepHole","7/15/2020","10:15","Hypo",8,8,120,"1","","FE_DeepHole_20200715_1015_Hypo_8_Limno.Sample.20160505",0.6,0.065
"P95","RN_20210211_run5_027","P2F2",0.01110470691364,0.0729436658892,3,"FE","Inlet1","7/15/2020","10:15","Surface",0,0,120,"1","","FE_Inlet1_20200715_1015_Surface_0_Limno.Sample.20160505",0.608,0.093
"P96","RN_20210205_run4_049","P2D10",0.01744009900895,0.1062747547423,3,"WL","DeepHole","7/15/2020","9:07","PML",0,2,120,"1","","WL_DeepHole_20200715_0907_PML_2_Limno.Sample.20160505",0.886,0.145
"P97","RN_20210205_run4_048","P2D9",0.007805733844879,0.03290139003717,3,"WL","DeepHole","7/15/2020","9:07","Hypo",8,8,120,"1","","WL_DeepHole_20200715_0907_Hypo_8_Limno.Sample.20160505",0.274,0.065
"P98","RN_20210205_run4_047","P2D8",0.02093344865359,0.1025103084419,41,"JO","DeepHole","7/16/2020","11:20","PML",0,2,120,"1","","JO_DeepHole_20200716_1120_PML_2_Limno.Sample.20160505",0.854,0.174
"P99","RN_20210211_run5_021","P2E9",0.01269836296746,0.1093560432961,41,"JO","DeepHole","7/16/2020","11:20","Hypo",4.5,4.5,120,"1","","JO_DeepHole_20200716_1120_Hypo_4.5_Limno.Sample.20160505",0.911,0.106
"P100","RN_20210211_run5_020","P2E8",0.01390760747442,0.1175020309461,15,"MO","DeepHole","7/20/2020","9:00","PML",0,1,120,"1","","MO_DeepHole_20200720_0900_PML_1_Limno.Sample.20160505",0.979,0.116
"P101","RN_20210211_run5_019","P2E7",0.02770083083958,0.2109418794781,15,"MO","DeepHole","7/20/2020","9:00","Hypo",4,4,80,"1","","MO_DeepHole_20200720_0900_Hypo_4_Limno.Sample.20160505",2.637,0.346
"P102","RN_20210211_run5_018","P2E6",0.007509118366076,0.04782052735349,15,"MO","Inlet1","7/20/2020","9:00","Surface",0,0,120,"1","","MO_Inlet1_20200720_0900_Surface_0_Limno.Sample.20160505",0.399,0.063
"P103","RN_20210211_run5_017","P2E5",0.008457654480514,0.08977025625829,15,"MO","Inlet2","7/20/2020","9:00","Surface",0,0,80,"1","","MO_Inlet2_20200720_0900_Surface_0_Limno.Sample.20160505",1.122,0.106
"P104","RN_20210211_run5_016","P2E4",0.007348891549336,0.07991563908396,15,"MO","Inlet3","7/20/2020","9:00","Surface",0,0,120,"1","","MO_Inlet3_20200720_0900_Surface_0_Limno.Sample.20160505",0.666,0.061
"P105","RN_20210211_run5_015","P2E3",0.008757065503947,0.06660034799866,3,"WL","DeepHole","7/21/2020","9:57","PML",0,2,120,"1","","WL_DeepHole_20200721_0957_PML_2_Limno.Sample.20160505",0.555,0.073
