"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","abs440","g440","metadataID","comments","flag","updateID"
"15","CR_DeepHole_20200806_0922_PML_3.5_Limno.Sample.20160505","CR","DeepHole",2020-08-06,2020-08-06 09:22:00,"PML",0,3.5,0.053,1.22,"Color.20110601",NA,0,"tableColor.20210221"
"15","CR_DeepHole_20200806_0922_Hypo_8_Limno.Sample.20160505","CR","DeepHole",2020-08-06,2020-08-06 09:22:00,"Hypo",8,8,0.105,2.42,"Color.20110601",NA,0,"tableColor.20210221"
"15","CR_Outlet_20200806_0922_Surface_0_Limno.Sample.20160505","CR","Outlet",2020-08-06,2020-08-06 09:22:00,"Surface",0,0,0.062,1.43,"Color.20110601",NA,0,"tableColor.20210221"
"15","CR_DeepHole_20200817_0930_PML_3_Limno.Sample.20160505","CR","DeepHole",2020-08-17,2020-08-17 09:30:00,"PML",0,3,0.054,1.24,"Color.20110601",NA,0,"tableColor.20210221"
"15","CR_DeepHole_20200817_0930_Hypo_8_Limno.Sample.20160505","CR","DeepHole",2020-08-17,2020-08-17 09:30:00,"Hypo",8,8,0.1,2.3,"Color.20110601",NA,0,"tableColor.20210221"
"15","CR_Outlet_20200817_0930_Surface_0_Limno.Sample.20160505","CR","Outlet",2020-08-17,2020-08-17 09:30:00,"Surface",0,0,0.061,1.4,"Color.20110601",NA,0,"tableColor.20210221"
"3","FE_DeepHole_20200604_1045_PML_0.5_Limno.Sample.20160505","FE","DeepHole",2020-06-04,2020-06-04 10:45:00,"PML",0,0.5,0.452,10.41,"Color.20110601",NA,0,"tableColor.20210221"
"3","FE_DeepHole_20200604_1045_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-06-04,2020-06-04 10:45:00,"Hypo",8,8,0.696,16.03,"Color.20110601",NA,0,"tableColor.20210221"
"3","FE_Inlet1_20200604_1045_Surface_0_Limno.Sample.20160505","FE","Inlet1",2020-06-04,2020-06-04 10:45:00,"Surface",0,0,2.256,51.96,"Color.20110601",NA,0,"tableColor.20210221"
"3","FE_DeepHole_20200609_1148_PML_0.5_Limno.Sample.20160505","FE","DeepHole",2020-06-09,2020-06-09 11:48:00,"PML",0,0.5,0.4,9.21,"Color.20110601",NA,0,"tableColor.20210221"
"3","FE_DeepHole_20200609_1148_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-06-09,2020-06-09 11:48:00,"Hypo",8,8,0.675,15.55,"Color.20110601",NA,0,"tableColor.20210221"
"3","FE_Inlet1_20200609_1148_Surface_0_Limno.Sample.20160505","FE","Inlet1",2020-06-09,2020-06-09 11:48:00,"Surface",0,0,2.293,52.81,"Color.20110601",NA,0,"tableColor.20210221"
"3","FE_DeepHole_20200616_1035_PML_1.5_Limno.Sample.20160505","FE","DeepHole",2020-06-16,2020-06-16 10:35:00,"PML",0,1.5,0.437,10.06,"Color.20110601",NA,0,"tableColor.20210221"
"3","FE_DeepHole_20200616_1035_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-06-16,2020-06-16 10:35:00,"Hypo",8,8,0.666,15.34,"Color.20110601",NA,0,"tableColor.20210221"
"3","FE_Inlet1_20200616_1035_Surface_0_Limno.Sample.20160505","FE","Inlet1",2020-06-16,2020-06-16 10:35:00,"Surface",0,0,2.15,49.51,"Color.20110601",NA,0,"tableColor.20210221"
