"sample","abs","conc","df","runID","SRP","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","comments","sampleID","ID","flag"
"F123",0.022,NA,1,"SRP_run2_20201111.xlsx",4.06945125028009,17,"PA","DeepHole","7/29/2020","10:15","Hypo",7,7,NA,"PA_DeepHole_20200729_1015_Hypo_7_Limno.Sample.20160505",123,NA
"F124",0.003,NA,1,"SRP_run2_20201111.xlsx",1.05815664979225,17,"PE","DeepHole","7/29/2020","8:45","PML",0,2,NA,"PE_DeepHole_20200729_0845_PML_2_Limno.Sample.20160505",124,NA
"F125",1.025,NA,1,"SRP_run2_20201111.xlsx",163.034108318138,17,"PE","DeepHole","7/29/2020","8:45","Hypo",10,10,NA,"PE_DeepHole_20200729_0845_Hypo_10_Limno.Sample.20160505",125,NA
"F126",0.007,NA,1,"SRP_run2_20201111.xlsx",1.69211340778969,17,"TU","DeepHole","7/29/2020","11:30","PML",0,1.5,NA,"TU_DeepHole_20200729_1130_PML_1.5_Limno.Sample.20160505",126,NA
"F127",0.012,NA,1,"SRP_run2_20201111.xlsx",2.48455935528649,17,"TU","DeepHole","7/29/2020","11:30","Hypo",6,6,NA,"TU_DeepHole_20200729_1130_Hypo_6_Limno.Sample.20160505",127,NA
"F128",0.02,NA,1,"SRP_run2_20201111.xlsx",3.75247287128137,15,"MO","DeepHole","8/3/2020","8:50","PML",0,1,NA,"MO_DeepHole_20200803_0850_PML_1_Limno.Sample.20160505",128,NA
"F129",0.131,NA,1,"SRP_run2_20201111.xlsx",21.3447729057103,15,"MO","DeepHole","8/3/2020","8:50","Hypo",4,4,NA,"MO_DeepHole_20200803_0850_Hypo_4_Limno.Sample.20160505",129,NA
"F13",0.056,NA,1,"SRP_run1_20201110.xlsx",8.96664514291892,35,"TF","DeepHole","6/7/2020","11:45","point",7,7,NA,"TF_DeepHole_20200607_1145_point_7_Limno.Sample.20160505",13,NA
"F130",0.085,NA,1,"SRP_run3_20201113.xlsx",14.1109893828961,15,"MO","Inlet1","8/3/2020","8:50","Surface",0,0,NA,"MO_Inlet1_20200803_0850_Surface_0_Limno.Sample.20160505",130,NA
"F131",0.129,NA,1,"SRP_run3_20201113.xlsx",21.1592926117564,15,"MO","Inlet2","8/3/2020","8:50","Surface",0,0,NA,"MO_Inlet2_20200803_0850_Surface_0_Limno.Sample.20160505",131,NA
"F132",NA,NA,1,NA,NA,15,"MO","Inlet3","8/3/2020","8:50","Surface",0,0,"failed QA/QC range check; reruns quite different; rerun reported","MO_Inlet3_20200803_0850_Surface_0_Limno.Sample.20160505",132,"1"
"F133",0.018,NA,1,"SRP_run3_20201113.xlsx",3.37834582985886,3,"FE","DeepHole","8/4/2020","10:45","PML",0,2,NA,"FE_DeepHole_20200804_1045_PML_2_Limno.Sample.20160505",133,NA
"F134",0.38,NA,1,"SRP_run3_20201113.xlsx",61.3666587582094,3,"FE","DeepHole","8/4/2020","10:45","Hypo",8,8,NA,"FE_DeepHole_20200804_1045_Hypo_8_Limno.Sample.20160505",134,NA
"F135",0.613,NA,1,"SRP_run3_20201113.xlsx",98.6906281292195,3,"FE","Inlet1","8/4/2020","10:45","Surface",0,0,NA,"FE_Inlet1_20200804_1045_Surface_0_Limno.Sample.20160505",135,NA
"F136",0.012,NA,1,"SRP_run3_20201113.xlsx",2.41721357137791,3,"WL","DeepHole","8/4/2020","8:45","PML",0,2.5,NA,"WL_DeepHole_20200804_0845_PML_2.5_Limno.Sample.20160505",136,NA
"F137",0.236,NA,1,"SRP_run3_20201113.xlsx",38.2994845546666,3,"WL","DeepHole","8/4/2020","8:45","Hypo",8,8,NA,"WL_DeepHole_20200804_0845_Hypo_8_Limno.Sample.20160505",137,NA
"F138",0.016,NA,1,"SRP_run3_20201113.xlsx",3.05796841036521,15,"HB","DeepHole","8/5/2020","8:55","PML",0,1,NA,"HB_DeepHole_20200805_0855_PML_1_Limno.Sample.20160505",138,NA
