projectID,41,,,,,,,,,,,,,,
lakeID,CR,,,,,,,,,,,,,,
siteName,FN6,,,,,,,,,,,,,,
dataTimeSet,6/4/2020 11:30,,,,,,,,,,,,,,
dateTimeSample,6/5/2020 10:15,,,,,,,,,,,,,,
crew,"CM,CD",,,,,,,,,,,,,,
gear,FN,,,,,,,,,,,,,,
distanceShocked,,,,,,,,,,,,,,,
effort,22.75,,,,,,,,,,,,,,
effortUnits,trap_hours,,,,,,,,,,,,,,
comments,cod end came loose,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,
dataRecorder,CD,,,,,,,,,,,,,,
dataEnteredBy,CM,,,,,,,,,,,,,,
metadataID,JoneslakeExperiment.20200607,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,
sampleGroup,2020_JonesLake_Experiment,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,comments,dietSampled
1,BLG,95,,AF,,,,,,,,,,,0
