projectID,41,,,,,,,,,,,,,,
lakeID,CR,,,,,,,,,,,,,,
siteName,FN8,,,,,,,,,,,,,,
dataTimeSet,6/5/2020 10:40,,,,,,,,,,,,,,
dateTimeSample,6/6/2020 9:15,,,,,,,,,,,,,,
crew,"CM,CD",,,,,,,,,,,,,,
gear,FN,,,,,,,,,,,,,,
distanceShocked,,,,,,,,,,,,,,,
effort,22.58,,,,,,,,,,,,,,
effortUnits,trap_hours,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,
dataRecorder,CD,,,,,,,,,,,,,,
dataEnteredBy,CD,,,,,,,,,,,,,,
metadataID,JoneslakeExperiment.20200607,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,
sampleGroup,2020_JonesLake_Experiment,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,comments,dietSampled
1,BLG,89,,,,1,,,,,,,,,0
