projectID,41,,,,,,,,,,,,,,,,
lakeID,CR,,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,,
dataTimeSet,7/20/2020 9:20,,,,,,,,,,,,,,,,
dateTimeSample,7/20/2020 11:09,,,,,,,,,,,,,,,,
crew,"CM, AL",,,,,,,,,,,,,,,,
gear,AN,,,,,,,,,,,,,,,,
distanceShocked,,,,,,,,,,,,,,,,,
effort,1.82,,,,,,,,,,,,,,,,
effortUnits,angler_hours,,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,,
dataRecorder,AL,,,,,,,,,,,,,,,,
dataEnteredBy,CM,,,,,,,,,,,,,,,,
metadataID,JoneslakeExperiment.20200607,,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,,
sampleGroup,2020_JonesLake_Experiment,,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,comments,dietSampled
1,LMB,245,199,,,,,,,900.226001622348,,pit,,,CM,way 012,1
2,LMB,385,736,,,,,,,900.226001622469,,pit,,,CM,way 013,1
3,LMB,315,342,,,,,,,900.226001622436,,pit,,,CM,way 014,1
4,LMB,325,434,,,,,,,900.067000152312,,,pit,,AL,way 015,1
5,LMB,365,663,,,,,,,900.226001622428,,pit,,,AL,way 016,1
6,LMB,400,692,,,,,,,900.226001622342,,pit,,,CM,way 017,1
7,LMB,351,588,,,,,,,900.226001622403,,pit,,,AL,way 018,1
8,LMB,393,688,,,,,,,900.226001622271,,pit,,,AL,way 019,1
9,LMB,375,681,,,,,,,900.226001622259,,pit,,,AL,way 020,1
10,LMB,356,578,,,,,,,900.226001622274,,pit,,,CM,way 021,1
