projectID,41,,,,,,,,,,,,,,,,
lakeID,CR,,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,,
dataTimeSet,6/29/20 9:00,,,,,,,,,,,,,,,,
dateTimeSample,6/29/20 10:18,,,,,,,,,,,,,,,,
crew,"CM, AL",,,,,,,,,,,,,,,,
gear,AN,,,,,,,,,,,,,,,,
distanceShocked,,,,,,,,,,,,,,,,,
effort,1.3,,,,,,,,,,,,,,,,
effortUnits,angler_hours,,,,,,,,,,,,,,,,
comments,"storm,scale slightly broken",,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,,
dataRecorder,CM,,,,,,,,,,,,,,,,
dataEnteredBy,AL,,,,,,,,,,,,,,,,
metadataID,JonesLakeExperiment.20200607,,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,,
sampleGroup,2020_JonesLake_Experiment,,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,comments,dietSampled
1,LMB,366,560,,,,,,,,900.226001622373,,pit,,AL,,0
2,LMB,390,715,,,,,,,900.226001622349,,pit,,,AL,,0
3,LMB,340,502,,,,,,,900.226001622499,,pit,,,CM,,0
4,LMB,365,650,,,,,,,900.226001622329,,pit,,,AL,,0
5,LMB,397,858,,,,,,,900.226001622429,,pit,,,CM,,0
6,LMB,375,615,,,,,,,900.226001622475,,pit,,,AL,,0
7,LMB,285,281,,,,,,,900.226001622470,,pit,,,CM,,0
8,LMB,292,322,,,,,,,900.226001622435,,pit,,,CM,,0
9,LMB,381,687,,,,,,,900.226001622362,,pit,,,CM,,0
10,LMB,375,706,,,,,,,900.226000162242,,pit,,,AL,,0
