projectID,41,,,,,,,,,,,,,,
lakeID,CR,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,
dataTimeSet,6/6/2020 13:50,,,,,,,,,,,,,,
dateTimeSample,6/6/2020 17:10,,,,,,,,,,,,,,
crew,"CM,CD",,,,,,,,,,,,,,
gear,AN,,,,,,,,,,,,,,
distanceShocked,,,,,,,,,,,,,,,
effort,3.33,,,,,,,,,,,,,,
effortUnits,angler_hours,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,
dataRecorder,CD,,,,,,,,,,,,,,
dataEnteredBy,CD,,,,,,,,,,,,,,
metadataID,JoneslakeExperiment.20200607,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,
sampleGroup,2020_JonesLake_Experiment,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,comments,dietSampled
1,LMB,300,,,,,,900.067000152276,,pit,,,CM,,1
2,LMB,375,,,,,,900.067000152349,,pit,,,CM,,1
3,LMB,368,,,,,,900.067000152376,,pit,,,CM,,1
4,LMB,417,,,,,,900.067000152092,,pit,,,CM,,0
5,LMB,390,,,,,,900.067000152377,,pit,,,CD,,0
6,LMB,324,,,,,,900.067000152204,,pit,,,CD,,1
7,LMB,393,,,,,,900.067000152304,,pit,,,CM,,1
8,LMB,365,,,,,,900.067000152321,,pit,,,CD,,0
9,LMB,290,,,,,,900.067000151909,,pit,,,CD,,1
10,LMB,369,,,,,,900.067000151926,,pit,,,CM,,1
11,LMB,343,,,,,,900.067000152021,,pit,,,CD,,1
12,LMB,281,,,,,,900.067000151978,,pit,,,CM,,1
13,LMB,385,,,,,,900.067000152140,,pit,,,CD,,1
14,LMB,379,,,,,,900.067000152026,,pit,,,Cd,,0
15,LMB,290,,,,,,900.067000151942,,pit,,,Cd,,0
16,LMB,364,,,,,,900.067000152132,,pit,,,CM,,0
17,LMB,362,,,,,,900.067000152343,,pit,,,CM,struggling could be a future mort,0
18,LMB,390,,,,,,,,,,,CD,no tag applied,0
19,LMB,388,,,,,,900.067000152282,,pit,,,CD,,0
20,LMB,352,,,,,,900.067000152313,,pit,,,CD,,0
21,LMB,410,,,,,,900.067000152031,,pit,,,CD,,0
22,LMB,293,,,,,,900.067000152167,,pit,,,CM,,0
23,LMB,416,,,,,,900.067000152186,,pit,,,CD,,0
24,LMB,369,,,,,,900.067000152016,,pit,,,CM,,0
25,LMB,374,,,,,,900.067000151982,,pit,,,CM,,0
26,LMB,305,,,,,,900.067000151904,,pit,,,CM,,0
27,LMB,369,,,,,,900.067000152374,,pit,,,CD,,0
