projectID,41,,,,,,,,,,,,,,
lakeID,CR,,,,,,,,,,,,,,
siteName,FN7,,,,,,,,,,,,,,
dataTimeSet,6/4/2020 11:00,,,,,,,,,,,,,,
dateTimeSample,6/5/2020 9:05,,,,,,,,,,,,,,
crew,"CM,CD",,,,,,,,,,,,,,
gear,FN,,,,,,,,,,,,,,
distanceShocked,,,,,,,,,,,,,,,
effort,22.08,,,,,,,,,,,,,,
effortUnits,trap_hours,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,
dataRecorder,CM,,,,,,,,,,,,,,
dataEnteredBy,CM,,,,,,,,,,,,,,
metadataID,JoneslakeExperiment.20200607,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,
sampleGroup,2020_JonesLake_Experiment,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,comments,dietSampled
1,BLG,210,,AF,,,,,,,,,,,0
2,BLG,181,,AF,,,,,,,,,,,0
3,BLG,190,,,AF,,,,,,,,,,0
4,BLG,209,,AF,,,,,,,,,,,0
5,BLG,205,,AF,,,,,,,,,,,0
6,BLG,190,,AF,,,,,,,,,,,0
7,BLG,168,,AF,,,,,,,,,,,0
8,BLG,181,,AF,,,,,,,,,,,0
9,BLG,211,,AF,,,,,,,,,,,0
10,BLG,177,,AF,,,,,,,,,,,0
11,BLG,188,,AF,,,,,,,,,,,0
