"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","DOC","TN_DOC","replicate","metadataID","comments","flag","updateID"
15,"MO_PML_20200706_0901_Surface_0_Limno.Sample.20160505","MO","Inlet1",2020-07-06,2020-07-06 09:01:00,"Surface",0,0,26.3774685918415,"NA",2,"NA",NA,"NA","NA"
15,"MO_PML_20200706_0901_Surface_0_Limno.Sample.20160505","MO","Inlet2",2020-07-06,2020-07-06 09:01:00,"Surface",0,0,11.916848784438,"NA",1,"NA",NA,"NA","NA"
3,"FE_DeepHole_20200707_1130_PML_0.25_Limno.Sample.20160505","FE","DeepHole",2020-07-07,2020-07-07 11:30:00,"PML",0,0.25,12.1668975143512,"NA",1,"NA",NA,"NA","NA"
3,"FE_DeepHole_20200707_1130_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-07-07,2020-07-07 11:30:00,"Hypo",8,8,18.6960804147189,"NA",2,"NA",NA,"NA","NA"
35,"NG_DeepHole_20200606_1135_point_5.5_Limno.Sample.20160505","NG","DeepHole",2020-06-06,2020-06-06 11:35:00,"point",5.5,5.5,50.5065950755955,"NA",1,"NA",NA,"NA","NA"
3,"WL_DeepHole_20200707_1000_PML_1_Limno.Sample.20160505","WL","DeepHole",2020-07-07,2020-07-07 10:00:00,"PML",0,1,6.74250616906518,"NA",2,"NA",NA,"NA","NA"
3,"WL_DeepHole_20200707_1000_Hypo_8_Limno.Sample.20160505","WL","DeepHole",2020-07-07,2020-07-07 10:00:00,"Hypo",8,8,7.14966366323194,"NA",2,"NA",NA,"NA","NA"
15,"HB_DeepHole_20200708_0945_PML_0.25_Limno.Sample.20160505","HB","DeepHole",2020-07-08,2020-07-08 09:45:00,"PML",0,0.25,24.7013566916565,"NA",1,"NA",NA,"NA","NA"
15,"HB_DeepHole_20200708_0945_Hypo_3.5_Limno.Sample.20160505","HB","DeepHole",2020-07-08,2020-07-08 09:45:00,"Hypo",3.5,3.5,26.0486562714795,"NA",1,"NA",NA,"NA","NA"
15,"HB_PML_20200708_0945_Surface_0_Limno.Sample.20160505","HB","Outlet",2020-07-08,2020-07-08 09:45:00,"Surface",0,0,26.4961734006365,"NA",2,"NA",NA,"NA","NA"
15,"CR_DeepHole_20200710_1025_PML_2.5_Limno.Sample.20160505","CR","DeepHole",2020-07-10,2020-07-10 10:25:00,"PML",0,2.5,5.26819244383163,"NA",2,"NA",NA,"NA","NA"
15,"CR_DeepHole_20200710_1025_Hypo_7.5_Limno.Sample.20160505","CR","DeepHole",2020-07-10,2020-07-10 10:25:00,"Hypo",7.5,7.5,4.99996817980467,"NA",2,"NA",NA,"NA","NA"
15,"CR_PML_20200710_1025_Surface_0_Limno.Sample.20160505","CR","Outlet",2020-07-10,2020-07-10 10:25:00,"Surface",0,0,5.80836911789572,"NA",1,"NA",NA,"NA","NA"
3,"FE_DeepHole_20200715_1015_PML_1.5_Limno.Sample.20160505","FE","DeepHole",2020-07-15,2020-07-15 10:15:00,"PML",0,1.5,12.276656341124,"NA",2,"NA",NA,"NA","NA"
3,"FE_DeepHole_20200715_1015_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-07-15,2020-07-15 10:15:00,"Hypo",8,8,16.9879182161592,"NA",1,"NA",NA,"NA","NA"
3,"FE_PML_20200715_1015_Surface_0_Limno.Sample.20160505","FE","Inlet1",2020-07-15,2020-07-15 10:15:00,"Surface",0,0,67.8433096542835,"NA",1,"NA",NA,"NA","NA"
35,"WA_DeepHole_20200606_1100_point_5.5_Limno.Sample.20160505","WA","DeepHole",2020-06-06,2020-06-06 11:00:00,"point",5.5,5.5,8.88248804408016,"NA",1,"NA",NA,"NA","NA"
3,"WL_DeepHole_20200715_0907_PML_2_Limno.Sample.20160505","WL","DeepHole",2020-07-15,2020-07-15 09:07:00,"PML",0,2,6.79980286836799,"NA",1,"NA",NA,"NA","NA"
3,"WL_DeepHole_20200715_0907_Hypo_8_Limno.Sample.20160505","WL","DeepHole",2020-07-15,2020-07-15 09:07:00,"Hypo",8,8,7.23513112556432,"NA",2,"NA",NA,"NA","NA"
41,"JO_DeepHole_20200716_1120_PML_2_Limno.Sample.20160505","JO","DeepHole",2020-07-16,2020-07-16 11:20:00,"PML",0,2,9.0038327766094,"NA",2,"NA",NA,"NA","NA"
41,"JO_DeepHole_20200716_1120_Hypo_4.5_Limno.Sample.20160505","JO","DeepHole",2020-07-16,2020-07-16 11:20:00,"Hypo",4.5,4.5,8.7842288803387,"NA",1,"NA",NA,"NA","NA"
15,"MO_DeepHole_20200720_0900_PML_1_Limno.Sample.20160505","MO","DeepHole",2020-07-20,2020-07-20 09:00:00,"PML",0,1,16.3718402585133,"NA",2,"NA",NA,"NA","NA"
15,"MO_DeepHole_20200720_0900_Hypo_4_Limno.Sample.20160505","MO","DeepHole",2020-07-20,2020-07-20 09:00:00,"Hypo",4,4,13.4149034714306,"NA",2,"NA",NA,"NA","NA"
15,"MO_PML_20200720_0900_Surface_0_Limno.Sample.20160505","MO","Inlet1",2020-07-20,2020-07-20 09:00:00,"Surface",0,0,12.7655881673221,"NA",1,"NA",NA,"NA","NA"
15,"MO_PML_20200720_0900_Surface_0_Limno.Sample.20160505","MO","Inlet2",2020-07-20,2020-07-20 09:00:00,"Surface",0,0,34.9277759693434,"NA",2,"NA",NA,"NA","NA"
15,"MO_PML_20200720_0900_Surface_0_Limno.Sample.20160505","MO","Inlet3",2020-07-20,2020-07-20 09:00:00,"Surface",0,0,65.3684371367261,"NA",2,"NA",NA,"NA","NA"
3,"WL_DeepHole_20200721_0957_PML_2_Limno.Sample.20160505","WL","DeepHole",2020-07-21,2020-07-21 09:57:00,"PML",0,2,7.03926819105261,"NA",1,"NA",NA,"NA","NA"
35,"MI_DeepHole_20200607_1047_point_10_Limno.Sample.20160505","MI","DeepHole",2020-06-07,2020-06-07 10:47:00,"point",10,10,20.7835704737524,"NA",1,"NA",NA,"NA","NA"
3,"WL_DeepHole_20200721_0957_Hypo_8_Limno.Sample.20160505","WL","DeepHole",2020-07-21,2020-07-21 09:57:00,"Hypo",8,8,6.72351339965799,"NA",1,"NA",NA,"NA","NA"
3,"FE_DeepHole_20200722_1145_PML_2_Limno.Sample.20160505","FE","DeepHole",2020-07-22,2020-07-22 11:45:00,"PML",0,2,12.861739062446,"NA",2,"NA",NA,"NA","NA"
3,"FE_DeepHole_20200722_1145_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-07-22,2020-07-22 11:45:00,"Hypo",8,8,17.4093202873814,"NA",1,"NA",NA,"NA","NA"
3,"FE_PML_20200722_1145_Surface_0_Limno.Sample.20160505","FE","Inlet1",2020-07-22,2020-07-22 11:45:00,"Surface",0,0,75.1022314579138,"NA",2,"NA",NA,"NA","NA"
15,"CR_DeepHole_20200723_1030_PML_3.5_Limno.Sample.20160505","CR","DeepHole",2020-07-23,2020-07-23 10:30:00,"PML",0,3.5,5.20527889517029,"NA",1,"NA",NA,"NA","NA"
15,"CR_DeepHole_20200723_1030_Hypo_8_Limno.Sample.20160505","CR","DeepHole",2020-07-23,2020-07-23 10:30:00,"Hypo",8,8,5.10794095195841,"NA",1,"NA",NA,"NA","NA"
