"docID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","replicate","comments","sampleID","DOC_mgL","runID"
"D14",35,"BR","DeepHole","6/6/2020","13:54","point",5.5,5.5,2,NA,"BR_DeepHole_20200606_1354_point_5.5_Limno.Sample.20160505",8.51316936244951,"5"
"D140",3,"FE","DeepHole","6/30/2020","11:30","Hypo",8,8,2,NA,"FE_DeepHole_20200630_1130_Hypo_8_Limno.Sample.20160505",15.9635551131763,"1"
"D141",3,"WL","DeepHole","6/30/2020","9:58","PML",0,1,1,NA,"WL_DeepHole_20200630_0958_PML_1_Limno.Sample.20160505",7.04639047958031,"4"
"D142",3,"WL","DeepHole","6/30/2020","9:58","PML",0,1,2,NA,"WL_DeepHole_20200630_0958_PML_1_Limno.Sample.20160505",6.90174977892319,"5"
"D143",3,"WL","DeepHole","6/30/2020","9:58","Hypo",8,8,1,NA,"WL_DeepHole_20200630_0958_Hypo_8_Limno.Sample.20160505",7.20350917022797,"5"
"D144",3,"WL","DeepHole","6/30/2020","9:58","Hypo",8,8,2,NA,"WL_DeepHole_20200630_0958_Hypo_8_Limno.Sample.20160505",7.52002266667225,"4"
"D145",17,"BO","DeepHole","7/1/2020","10:41","PML",0,0.25,1,NA,"BO_DeepHole_20200701_1041_PML_0.25_Limno.Sample.20160505",17.3104982478537,"6"
"D146",17,"BO","DeepHole","7/1/2020","10:41","PML",0,0.25,2,NA,"BO_DeepHole_20200701_1041_PML_0.25_Limno.Sample.20160505",18.103743418832,"4"
"D147",17,"BO","DeepHole","7/1/2020","10:41","Hypo",2,2,1,NA,"BO_DeepHole_20200701_1041_Hypo_2_Limno.Sample.20160505",19.4901592354497,"6"
"D148",17,"BO","DeepHole","7/1/2020","10:41","Hypo",2,2,2,NA,"BO_DeepHole_20200701_1041_Hypo_2_Limno.Sample.20160505",21.149708812511,"4"
"D149",17,"CB","DeepHole","7/1/2020","9:09","PML",0,0.5,1,NA,"CB_DeepHole_20200701_0909_PML_0.5_Limno.Sample.20160505",17.9313748879035,"3"
"D15",35,"CB","DeepHole","6/6/2020","10:10","point",5.5,5.5,1,NA,"CB_DeepHole_20200606_1010_point_5.5_Limno.Sample.20160505",25.2113368132741,"5"
"D150",17,"CB","DeepHole","7/1/2020","9:09","PML",0,0.5,2,NA,"CB_DeepHole_20200701_0909_PML_0.5_Limno.Sample.20160505",17.7847489564951,"6"
"D151",17,"CB","DeepHole","7/1/2020","9:09","Hypo",3,3,1,NA,"CB_DeepHole_20200701_0909_Hypo_3_Limno.Sample.20160505",21.3729700288586,"6"
"D152",17,"CB","DeepHole","7/1/2020","9:09","Hypo",3,3,2,NA,"CB_DeepHole_20200701_0909_Hypo_3_Limno.Sample.20160505",21.007263041957,"4"
