projectID,3,,,,,,,,,,,,,,,,
lakeID,WL,,,,,,,,,,,,,,,,
siteName,WholeShoreline,,,,,,,,,,,,,,,,
dataTimeSet,7/27/20 8:47,,,,,,,,,,,,,,,,
dateTimeSample,7/27/20 11:45,,,,,,,,,,,,,,,,
crew,"JB, AA",,,,,,,,,,,,,,,,
gear,AN,,,,,,,,,,,,,,,,
distanceShocked,NA,,,,,,,,,,,,,,,,
effort,1.53,,,,,,,,,,,,,,,,
effortUnits,angler_hours,,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,,
dataRecorder,AA,,,,,,,,,,,,,,,,
dataEnteredBy,AA,,,,,,,,,,,,,,,,
metadataID,MarkRecap.20120228,,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,,
sampleGroup,WL2020_markrecap,,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,comments,dietSampled
1,LMB,305,353,,,,,,,,900F224000125301,,,,,,1
2,LMB,285,281,,,,,,,,900F67000093056,,,,,,1
3,LMB,236,187,,,,,,,,900F226001139551,,,,,,1
4,LMB,234,177,,,,,,,,900F67000152178,,,,,,1
5,LMB,312,390,,,,,,,,900F224000125019,,,,,,1
6,LMB,323,437,,,,,,,,900F224000116972,,,,,,1
7,LMB,284,296,,,,,,,,900F224000119762,,,,,,1
8,LMB,260,234,,,,,,,,900F67000152030,,,,,,1
9,LMB,230,163,,,,,,,900F67000152182,,,,,,,1
10,LMB,225,138,,,,,,,,900F67000152328,,,,,,1
11,LMB,309,359,,,,,,,,900F224000125234,,,,,,0
12,LMB,234,161,,,,,,,900F226001139570,,,,,,,0
13,LMB,324,400,,,,,,,,900F224000116626,,,,,,0
14,LMB,320,376,,,,,,,,900F224000125062,,,,,,0
15,LMB,231,158,,,,,,,,900F67000152008,,,,,,0
16,LMB,304,351,,,,,,,,900F224000125372,,,,,,0
17,LMB,323,382,,,,,,,,900F224000104690,,,,,,0
18,LMB,316,381,,,,,,,,900F224000125289,,,,,,0
19,LMB,234,170,,,,,,,,900F67000152197,,,,,,0
20,LMB,330,393,,,,,,,,168273392,,,,,,0
21,LMB,286,272,,,,,,,,900F67000049840,,,,,,0
22,LMB,315,406,,,,,,,,900F67000093147,,,,,,0
23,LMB,290,293,,,,,,,,900F224000125397,,,,,,0
24,LMB,271,259,,,,,,,,900F67000152267,,,,,,0
25,LMB,277,269,,,,,,,,900F67000049836,,,,,,0
26,LMB,230,155,,,,,,,900F226001139593,,,,,,,0
