projectID,37,,,,,,,,,,,,,,,
lakeID,SV,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,
dataTimeSet,7/31/2019 22:05,,,,,,,,,,,,,,,
dateTimeSample,7/31/2019 23:05,,,,,,,,,,,,,,,
crew,"CM,MS,DS",,,,,,,,,,,,,,,
gear,BE,,,,,,,,,,,,,,,
distanceShocked,1.37,,,,,,,,,,,,,,,
effort,1,,,,,,,,,,,,,,,
effortUnits,electrofishing_hours,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,
dataRecorder,DS,,,,,,,,,,,,,,,
dataEnteredBy,AL,,,,,,,,,,,,,,,
metadataID,FishscapesSurvey.hotBassLap.20180607,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,dietSampled
1,LMB,265,,1,,,,,,,,,,,,0
2,LMB,311,,1,,,,,,,,,,,,0
3,LMB,48,,,,,,,,,,,,,,0
4,LMB,273,,1,,,,,,,,,,,,0
5,LMB,47,,,,,,,,,,,,,,0
6,LMB,244,,1,,,,,,,,,,,,0
7,LMB,314,,1,,,,,,,,,,,,0
8,LMB,245,,1,,,,,,,,,,,,0
9,LMB,243,,1,,,,,,,,,,,,0
10,LMB,373,,1,,,,,,,,,,,,0
11,LMB,256,,1,,,,,,,,,,,,0
12,LMB,166,,1,,,,,,,,,,,,0
13,LMB,234,,1,,,,,,,,,,,,0
14,LMB,420,,1,,,,,,,,,,,,0
15,LMB,257,,1,,,,,,,,,,,,0
