projectID,37,,,,,,,,,,,,,,,
lakeID,BY,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,
dataTimeSet,6/3/2019 23:40,,,,,,,,,,,,,,,
dateTimeSample,6/4/2019 0:25,,,,,,,,,,,,,,,
crew,"DS,MS,FF",,,,,,,,,,,,,,,
gear,BE,,,,,,,,,,,,,,,
distanceShocked,1.34,,,,,,,,,,,,,,,
effort,0.75,,,,,,,,,,,,,,,
effortUnits,electrofishing_hours,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,
dataRecorder,MS,,,,,,,,,,,,,,,
dataEnteredBy,MS,,,,,,,,,,,,,,,
metadataID,FishscapesSurvey.1.5mile.20180607,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,dietSampled
1,BLG,164,,,,,,,,,,,,,,0
2,BCP,185,,,,,,,,,,,,,,0
3,PKS,190,,,,,,,,,,,,,,0
4,BLG,145,,,,,,,,,,,,,,0
5,BLG,185,,,,,,,,,,,,,,0
6,PKS,200,,,,,,,,,,,,,,0
7,PKS,184,,,,,,,,,,,,,,0
8,BLG,166,,,,,,,,,,,,,,0
9,PKS,189,,,,,,,,,,,,,,0
10,BCP,236,,,,,,,,,,,,,,0
11,BLG,144,,,,,,,,,,,,,,0
12,PKS,170,,,,,,,,,,,,,,0
13,PKS,190,,,,,,,,,,,,,,0
14,PKS,190,,,,,,,,,,,,,,0
15,BLG,145,,,,,,,,,,,,,,0
16,BLG,186,,,,,,,,,,,,,,0
17,BLG,186,,,,,,,,,,,,,,0
18,BLG,142,,,,,,,,,,,,,,0
19,BCP,256,,,,,,,,,,,,,,0
20,BLG,176,,,,,,,,,,,,,,0
21,BCP,260,,,,,,,,,,,,,,0
22,PKS,195,,,,,,,,,,,,,,0
23,PKS,189,,,,,,,,,,,,,,0
24,BLG,159,,,,,,,,,,,,,,0
25,BLG,170,,,,,,,,,,,,,,0
26,BLG,182,,,,,,,,,,,,,,0
27,PKS,196,,,,,,,,,,,,,,0
28,BLG,162,,,,,,,,,,,,,,0
29,PKS,192,,,,,,,,,,,,,,0
30,BHD,279,,,,,,,,,,,,,,0
31,PKS,186,,,,,,,,,,,,,,0
32,BLG,194,,,,,,,,,,,,,,0
33,BLG,175,,,,,,,,,,,,,,0
34,BLG,182,,,,,,,,,,,,,,0
35,BCP,245,,,,,,,,,,,,,,0
36,WLY,550,,,,,,,,,,,,,,0
37,BLG,175,,,,,,,,,,,,,,0
38,PKS,207,,,,,,,,,,,,,,0
39,PKS,220,,,,,,,,,,,,,,0
40,BHD,245,,,,,,,,,,,,,,0
41,BCP,280,,,,,,,,,,,,,,0
42,BLG,205,,,,,,,,,,,,,,0
43,BCP,244,,,,,,,,,,,,,,0
44,PKS,198,,,,,,,,,,,,,,0
45,BCP,201,,,,,,,,,,,,,,0
46,PKS,201,,,,,,,,,,,,,,0
47,PKS,181,,,,,,,,,,,,,,0
48,PKS,185,,,,,,,,,,,,,,0
49,BLG,163,,,,,,,,,,,,,,0
50,BLG,162,,,,,,,,,,,,,,0
51,BLG,161,,,,,,,,,,,,,,0
52,BLG,131,,,,,,,,,,,,,,0
53,BLG,104,,,,,,,,,,,,,,0
54,BHD,220,,,,,,,,,,,,,,0
55,BHD,245,,,,,,,,,,,,,,0
56,BLG,169,,,,,,,,,,,,,,0
57,BLG,159,,,,,,,,,,,,,,0
58,NPK,490,,,,,,,,,,,,,,0
59,BCP,251,,,,,,,,,,,,,,0
60,BCP,231,,,,,,,,,,,,,,0
61,BCP,285,,,,,,,,,,,,,,0
62,RKB,195,,,,,,,,,,,,,,0
63,PKS,171,,,,,,,,,,,,,,0
64,BLG,166,,,,,,,,,,,,,,0
65,LMB,394,,AF,,,,1,1,,,,,,,0
66,LMB,371,,AF,,,,1,1,,,,,,,0
67,LMB,259,,AF,,,,1,1,,,,,,,0
68,LMB,320,,AF,,,,1,1,,,,,,,0
69,LMB,381,,AF,,,,1,1,,,,,,,0
70,LMB,240,,AF,,,,1,1,,,,,,,0
71,LMB,332,,AF,,,,1,1,,,,,,,0
72,LMB,345,,AF,,,,1,1,,,,,,,0
73,LMB,340,,AF,,,,1,1,,,,,,,0
74,BCP,216,,,,,,,,,,,,,,0
75,PKS,192,,,,,,,,,,,,,,0
76,BLG,174,,,,,,,,,,,,,,0
77,BLG,148,,,,,,,,,,,,,,0
78,BLG,153,,,,,,,,,,,,,,0
79,BLG,164,,,,,,,,,,,,,,0
80,BLG,166,,,,,,,,,,,,,,0
81,BLG,192,,,,,,,,,,,,,,0
82,LMB,286,,AF,,,,1,1,,,,,,,0
83,LMB,346,,AF,,,,1,1,,,,,,,0
84,LMB,415,,AF,,,,1,1,,,,,,,0
85,LMB,259,,AF,,,,1,1,,,,,,,0
86,LMB,374,,AF,,,,1,1,,,,,,,0
87,LMB,286,,AF,,,,1,1,,,,,,,0
