"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","abs440","g440","metadataID","comments","flag","updateID"
"15","CR_Outlet_20130619_0000_surface_0_Limno.Sample.20130416","CR","Outlet",2013-06-19,2013-06-19 00:00:00,"surface",0,0,0.06,1.56,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"15","HB_DeepHole_20130620_0755_PML_0.5_Limno.Sample.20130416","HB","DeepHole",2013-06-20,2013-06-20 07:55:00,"PML",0,0.5,0.94,21.69,"Color.20110601",NA,0,"originalDB.20160217"
"15","HB_DeepHole_20130620_0755_hypo_5_Limno.Sample.20130416","HB","DeepHole",2013-06-20,2013-06-20 07:55:00,"hypo",5,5,0.57,13.19,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"16","RB_DeepHole_20130620_1400_PML_1.5_Limno.Sample.20130416","RB","DeepHole",2013-06-20,2013-06-20 14:00:00,"PML",0,1.5,0.14,3.4,"Color.20110601",NA,0,"originalDB.20160217"
"16","RB_DeepHole_20130620_1400_meta_3_Limno.Sample.20130416","RB","DeepHole",2013-06-20,2013-06-20 14:00:00,"meta",3,3,0.13,3.06,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"16","RS_DeepHole_20130613_1230_PML_1_Limno.Sample.20130416","RS","DeepHole",2013-06-13,2013-06-13 12:30:00,"PML",0,1,0.67,15.59,"Color.20110601",NA,0,"originalDB.20160217"
"16","RS_DeepHole_20130613_1230_meta_4_Limno.Sample.20130416","RS","DeepHole",2013-06-13,2013-06-13 12:30:00,"meta",4,4,0.58,13.38,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"19","BV_DeepHole_20130617_1000_PML_5_Limno.Sample.20130416","BV","DeepHole",2013-06-17,2013-06-17 10:00:00,"PML",0,5,0.01,0.43,"Color.20110601",NA,0,"originalDB.20160217"
"19","AQ_DeepHole_20130618_1330_PML_3_Limno.Sample.20130416","AQ","DeepHole",2013-06-18,2013-06-18 13:30:00,"PML",0,3,0.06,1.54,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"16","TU_DeepHole_20130624_1230_PML_0.5_Limno.Sample.20130416","TU","DeepHole",2013-06-24,2013-06-24 12:30:00,"PML",0,0.5,0.27,6.33,"Color.20110601",NA,0,"originalDB.20160217"
