"siteID","lakeID","siteName","lat","long","updateID"
"HB_DeepHole","HB","DeepHole",46.243666,-89.505901,"sitecolor.20210505"
"HB_DeepHole","HB","DeepHole",46.243666,-89.505901,"sitecolor.20210505"
"HB_Outlet","HB","Outlet",46.243666,-89.505901,"sitecolor.20210505"
"HB_DeepHole","HB","DeepHole",46.243666,-89.505901,"sitecolor.20210505"
"HB_DeepHole","HB","DeepHole",46.243666,-89.505901,"sitecolor.20210505"
"HB_Outlet","HB","Outlet",46.243666,-89.505901,"sitecolor.20210505"
"HB_DeepHole","HB","DeepHole",46.243666,-89.505901,"sitecolor.20210505"
"HB_DeepHole","HB","DeepHole",46.243666,-89.505901,"sitecolor.20210505"
"HB_Outlet","HB","Outlet",46.243666,-89.505901,"sitecolor.20210505"
"JO_DeepHole","JO","DeepHole",46.18195,-89.51711,"sitecolor.20210505"
"JO_DeepHole","JO","DeepHole",46.18195,-89.51711,"sitecolor.20210505"
"JO_DeepHole","JO","DeepHole",46.18195,-89.51711,"sitecolor.20210505"
"JO_DeepHole","JO","DeepHole",46.18195,-89.51711,"sitecolor.20210505"
"ME_DeepHole","ME","DeepHole",46.236027,-89.497067,"sitecolor.20210505"
"ME_DeepHole","ME","DeepHole",46.236027,-89.497067,"sitecolor.20210505"
"ME_Outlet","ME","Outlet",46.236027,-89.497067,"sitecolor.20210505"
"ME_DeepHole","ME","DeepHole",46.236027,-89.497067,"sitecolor.20210505"
"ME_DeepHole","ME","DeepHole",46.236027,-89.497067,"sitecolor.20210505"
"ME_Outlet","ME","Outlet",46.236027,-89.497067,"sitecolor.20210505"
"ME_DeepHole","ME","DeepHole",46.236027,-89.497067,"sitecolor.20210505"
"ME_DeepHole","ME","DeepHole",46.236027,-89.497067,"sitecolor.20210505"
"ME_Outlet","ME","Outlet",46.236027,-89.497067,"sitecolor.20210505"
"MO_DeepHole","MO","DeepHole",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_DeepHole","MO","DeepHole",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_Inlet1","MO","Inlet1",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_Inlet2","MO","Inlet2",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_Inlet3","MO","Inlet3",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_DeepHole","MO","DeepHole",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_DeepHole","MO","DeepHole",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_Inlet1","MO","Inlet1",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_Inlet2","MO","Inlet2",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_Inlet3","MO","Inlet3",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_DeepHole","MO","DeepHole",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_DeepHole","MO","DeepHole",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_Inlet1","MO","Inlet1",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_Inlet2","MO","Inlet2",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_DeepHole","MO","DeepHole",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_DeepHole","MO","DeepHole",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_Inlet1","MO","Inlet1",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_Inlet2","MO","Inlet2",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_Inlet3","MO","Inlet3",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_DeepHole","MO","DeepHole",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_DeepHole","MO","DeepHole",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_Inlet1","MO","Inlet1",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_Inlet2","MO","Inlet2",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_Inlet3","MO","Inlet3",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_DeepHole","MO","DeepHole",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_DeepHole","MO","DeepHole",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_Inlet1","MO","Inlet1",46.25708691,-89.52119972,"sitecolor.20210505"
"MO_Inlet2","MO","Inlet2",46.25708691,-89.52119972,"sitecolor.20210505"
"NG_DeepHole","NG","DeepHole",46.258726,-89.497353,"sitecolor.20210505"
"NG_DeepHole","NG","DeepHole",46.258726,-89.497353,"sitecolor.20210505"
"NG_DeepHole","NG","DeepHole",46.258726,-89.497353,"sitecolor.20210505"
"NG_DeepHole","NG","DeepHole",46.258726,-89.497353,"sitecolor.20210505"
"PA_DeepHole","PA","DeepHole",46.25261288,-89.50357427,"sitecolor.20210505"
"PA_DeepHole","PA","DeepHole",46.25261288,-89.50357427,"sitecolor.20210505"
"PA_DeepHole","PA","DeepHole",46.25261288,-89.50357427,"sitecolor.20210505"
"PA_DeepHole","PA","DeepHole",46.25261288,-89.50357427,"sitecolor.20210505"
"PE_DeepHole","PE","DeepHole",46.252881,-89.503592,"sitecolor.20210505"
"PE_DeepHole","PE","DeepHole",46.252881,-89.503592,"sitecolor.20210505"
"PE_DeepHole","PE","DeepHole",46.252881,-89.503592,"sitecolor.20210505"
"PE_DeepHole","PE","DeepHole",46.252881,-89.503592,"sitecolor.20210505"
"TU_DeepHole","TU","DeepHole",46.25095651,-89.49686252,"sitecolor.20210505"
"TU_DeepHole","TU","DeepHole",46.25095651,-89.49686252,"sitecolor.20210505"
"TU_DeepHole","TU","DeepHole",46.25095651,-89.49686252,"sitecolor.20210505"
"TU_DeepHole","TU","DeepHole",46.25095651,-89.49686252,"sitecolor.20210505"
"WA_DeepHole","WA","DeepHole",46.25829,-89.517323,"sitecolor.20210505"
"WA_DeepHole","WA","DeepHole",46.25829,-89.517323,"sitecolor.20210505"
"WA_DeepHole","WA","DeepHole",46.25829,-89.517323,"sitecolor.20210505"
"WA_DeepHole","WA","DeepHole",46.25829,-89.517323,"sitecolor.20210505"
"WL_DeepHole","WL","DeepHole",46.235908,-89.501564,"sitecolor.20210505"
"WL_DeepHole","WL","DeepHole",46.235908,-89.501564,"sitecolor.20210505"
"WL_DeepHole","WL","DeepHole",46.235908,-89.501564,"sitecolor.20210505"
"WL_DeepHole","WL","DeepHole",46.235908,-89.501564,"sitecolor.20210505"
"WL_DeepHole","WL","DeepHole",46.235908,-89.501564,"sitecolor.20210505"
"WL_DeepHole","WL","DeepHole",46.235908,-89.501564,"sitecolor.20210505"
"WL_DeepHole","WL","DeepHole",46.235908,-89.501564,"sitecolor.20210505"
"WL_DeepHole","WL","DeepHole",46.235908,-89.501564,"sitecolor.20210505"
"WL_DeepHole","WL","DeepHole",46.235908,-89.501564,"sitecolor.20210505"
"WL_DeepHole","WL","DeepHole",46.235908,-89.501564,"sitecolor.20210505"
"WL_DeepHole","WL","DeepHole",46.235908,-89.501564,"sitecolor.20210505"
"WL_DeepHole","WL","DeepHole",46.235908,-89.501564,"sitecolor.20210505"
"WL_DeepHole","WL","DeepHole",46.235908,-89.501564,"sitecolor.20210505"
"WL_DeepHole","WL","DeepHole",46.235908,-89.501564,"sitecolor.20210505"
"WL_DeepHole","WL","DeepHole",46.235908,-89.501564,"sitecolor.20210505"
"WL_DeepHole","WL","DeepHole",46.235908,-89.501564,"sitecolor.20210505"
"WL_DeepHole","WL","DeepHole",46.235908,-89.501564,"sitecolor.20210505"
"WL_DeepHole","WL","DeepHole",46.235908,-89.501564,"sitecolor.20210505"
"WL_DeepHole","WL","DeepHole",46.235908,-89.501564,"sitecolor.20210505"
"WL_DeepHole","WL","DeepHole",46.235908,-89.501564,"sitecolor.20210505"
"WL_DeepHole","WL","DeepHole",46.235908,-89.501564,"sitecolor.20210505"
"WL_DeepHole","WL","DeepHole",46.235908,-89.501564,"sitecolor.20210505"
"WL_DeepHole","WL","DeepHole",46.235908,-89.501564,"sitecolor.20210505"
"WL_DeepHole","WL","DeepHole",46.235908,-89.501564,"sitecolor.20210505"
