bpID,projectID,lakeID,site,dateSample,timeSample,depthClass,depthTop,depthBottom,volFiltered,replicate,comments,sampleID
BP42,15,CR,DeepHole,6/11/2020,9:30,PML,0,2.5,250,2,,CR_DeepHole_20200611_0930_PML_2.5_Limno.Sample.20160505
BP43,15,CR,DeepHole,6/11/2020,9:30,Hypo,8,8,250,1,,CR_DeepHole_20200611_0930_Hypo_8_Limno.Sample.20160505
BP44,15,CR,DeepHole,6/11/2020,9:30,Hypo,8,8,250,2,,CR_DeepHole_20200611_0930_Hypo_8_Limno.Sample.20160505
BP45,15,MO,DeepHole,6/12/2020,9:25,PML,0,1.5,250,1,,MO_DeepHole_20200612_0925_PML_1.5_Limno.Sample.20160505
BP46,15,MO,DeepHole,6/12/2020,9:25,PML,0,1.5,250,2,,MO_DeepHole_20200612_0925_PML_1.5_Limno.Sample.20160505
BP47,15,MO,DeepHole,6/12/2020,9:25,Hypo,4.5,4.5,150,1,,MO_DeepHole_20200612_0925_Hypo_4.5_Limno.Sample.20160505
BP48,15,MO,DeepHole,6/12/2020,9:25,Hypo,4.5,4.5,150,2,,MO_DeepHole_20200612_0925_Hypo_4.5_Limno.Sample.20160505
BP49,17,BR,DeepHole,6/15/2020,11:42,PML,0,2,250,1,,BR_DeepHole_20200615_1142_PML_2_Limno.Sample.20160505
BP50,17,BR,DeepHole,6/15/2020,11:42,PML,0,2,250,2,,BR_DeepHole_20200615_1142_PML_2_Limno.Sample.20160505
BP51,17,BR,DeepHole,6/15/2020,11:42,Hypo,3.5,3.5,250,1,,BR_DeepHole_20200615_1142_Hypo_3.5_Limno.Sample.20160505
BP52,17,BR,DeepHole,6/15/2020,11:42,Hypo,3.5,3.5,250,2,,BR_DeepHole_20200615_1142_Hypo_3.5_Limno.Sample.20160505
BP53,17,BA,DeepHole,6/15/2020,14:00,PML,0,2.5,250,1,,BA_DeepHole_20200615_1400_PML_2.5_Limno.Sample.20160505
BP54,17,BA,DeepHole,6/15/2020,14:00,PML,0,2.5,250,2,,BA_DeepHole_20200615_1400_PML_2.5_Limno.Sample.20160505
BP55,17,BA,DeepHole,6/15/2020,14:00,Hypo,6.5,6.5,250,1,,BA_DeepHole_20200615_1400_Hypo_6.5_Limno.Sample.20160505
BP56,17,BA,DeepHole,6/15/2020,14:00,Hypo,6.5,6.5,250,2,,BA_DeepHole_20200615_1400_Hypo_6.5_Limno.Sample.20160505
BP57,3,FE,DeepHole,6/16/2020,10:35,PML,0,1.5,250,1,,FE_DeepHole_20200616_1035_PML_1.5_Limno.Sample.20160505
BP58,3,FE,DeepHole,6/16/2020,10:35,PML,0,1.5,250,2,,FE_DeepHole_20200616_1035_PML_1.5_Limno.Sample.20160505
BP59,3,FE,DeepHole,6/16/2020,10:35,Hypo,8,8,250,1,,FE_DeepHole_20200616_1035_Hypo_8_Limno.Sample.20160505
BP60,3,FE,DeepHole,6/16/2020,10:35,Hypo,8,8,250,2,,FE_DeepHole_20200616_1035_Hypo_8_Limno.Sample.20160505
BP61,3,WL,DeepHole,6/16/2020,8:56,PML,0,2,150,1,,WL_DeepHole_20200616_0856_PML_2_Limno.Sample.20160505
BP62,3,WL,DeepHole,6/16/2020,8:56,PML,0,2,150,2,,WL_DeepHole_20200616_0856_PML_2_Limno.Sample.20160505
BP63,3,WL,DeepHole,6/16/2020,8:56,Hypo,8,8,150,1,,WL_DeepHole_20200616_0856_Hypo_8_Limno.Sample.20160505
BP64,3,WL,DeepHole,6/16/2020,8:56,Hypo,8,8,150,2,,WL_DeepHole_20200616_0856_Hypo_8_Limno.Sample.20160505
