bpID,projectID,lakeID,site,dateSample,timeSample,depthClass,depthTop,depthBottom,volFiltered,replicate,comments,sampleID
BP180,17,BR,DeepHole,7/27/2020,9:25,Hypo,4,4,250,2,,BR_DeepHole_20200727_0925_Hypo_4_Limno.Sample.20160505
BP181,3,FE,DeepHole,7/28/2020,12:10,PML,0,1,250,1,,FE_DeepHole_20200728_1210_PML_1_Limno.Sample.20160505
BP182,3,FE,DeepHole,7/28/2020,12:10,PML,0,1,250,2,,FE_DeepHole_20200728_1210_PML_1_Limno.Sample.20160505
BP183,3,FE,DeepHole,7/28/2020,12:10,Hypo,8,8,150,1,,FE_DeepHole_20200728_1210_Hypo_8_Limno.Sample.20160505
BP184,3,FE,DeepHole,7/28/2020,12:10,Hypo,8,8,150,2,,FE_DeepHole_20200728_1210_Hypo_8_Limno.Sample.20160505
BP185,3,WL,DeepHole,7/28/2020,10:15,PML,0,1.5,200,1,,WL_DeepHole_20200728_1015_PML_1.5_Limno.Sample.20160505
BP186,3,WL,DeepHole,7/28/2020,10:15,PML,0,1.5,200,2,,WL_DeepHole_20200728_1015_PML_1.5_Limno.Sample.20160505
BP187,3,WL,DeepHole,7/28/2020,10:15,Hypo,8,8,150,1,,WL_DeepHole_20200728_1015_Hypo_8_Limno.Sample.20160505
BP188,3,WL,DeepHole,7/28/2020,10:15,Hypo,8,8,150,2,,WL_DeepHole_20200728_1015_Hypo_8_Limno.Sample.20160505
BP189,17,PA,DeepHole,7/29/2020,10:15,PML,0,2.5,250,1,,PA_DeepHole_20200729_1015_PML_2.5_Limno.Sample.20160505
BP190,17,PA,DeepHole,7/29/2020,10:15,PML,0,2.5,250,2,,PA_DeepHole_20200729_1015_PML_2.5_Limno.Sample.20160505
BP191,17,PA,DeepHole,7/29/2020,10:15,Hypo,7,7,150,1,,PA_DeepHole_20200729_1015_Hypo_7_Limno.Sample.20160505
BP192,17,PA,DeepHole,7/29/2020,10:15,Hypo,7,7,150,2,,PA_DeepHole_20200729_1015_Hypo_7_Limno.Sample.20160505
BP193,17,PE,DeepHole,7/29/2020,8:45,PML,0,2,250,1,,PE_DeepHole_20200729_0845_PML_2_Limno.Sample.20160505
BP194,17,PE,DeepHole,7/29/2020,8:45,PML,0,2,250,2,,PE_DeepHole_20200729_0845_PML_2_Limno.Sample.20160505
BP195,17,PE,DeepHole,7/29/2020,8:45,Hypo,10,10,250,1,,PE_DeepHole_20200729_0845_Hypo_10_Limno.Sample.20160505
BP196,17,PE,DeepHole,7/29/2020,8:45,Hypo,10,10,250,2,,PE_DeepHole_20200729_0845_Hypo_10_Limno.Sample.20160505
BP197,17,TU,DeepHole,7/29/2020,11:30,PML,0,1.5,150,1,,TU_DeepHole_20200729_1130_PML_1.5_Limno.Sample.20160505
BP198,17,TU,DeepHole,7/29/2020,11:30,PML,0,1.5,150,2,,TU_DeepHole_20200729_1130_PML_1.5_Limno.Sample.20160505
BP199,17,TU,DeepHole,7/29/2020,11:30,Hypo,6,6,150,1,,TU_DeepHole_20200729_1130_Hypo_6_Limno.Sample.20160505
BP200,17,TU,DeepHole,7/29/2020,11:30,Hypo,6,6,150,2,,TU_DeepHole_20200729_1130_Hypo_6_Limno.Sample.20160505
BP201,15,MO,DeepHole,8/3/2020,8:50,PML,0,1,250,1,,MO_DeepHole_20200803_0850_PML_1_Limno.Sample.20160505
BP202,15,MO,DeepHole,8/3/2020,8:50,PML,0,1,250,2,,MO_DeepHole_20200803_0850_PML_1_Limno.Sample.20160505
BP203,15,MO,DeepHole,8/3/2020,8:50,Hypo,4,4,150,1,,MO_DeepHole_20200803_0850_Hypo_4_Limno.Sample.20160505
BP204,15,MO,DeepHole,8/3/2020,8:50,Hypo,4,4,150,2,,MO_DeepHole_20200803_0850_Hypo_4_Limno.Sample.20160505
BP205,3,FE,DeepHole,8/4/2020,10:45,PML,0,2,250,1,,FE_DeepHole_20200804_1045_PML_2_Limno.Sample.20160505
BP206,3,FE,DeepHole,8/4/2020,10:45,PML,0,2,250,2,,FE_DeepHole_20200804_1045_PML_2_Limno.Sample.20160505
BP207,3,FE,DeepHole,8/4/2020,10:45,Hypo,8,8,200,1,,FE_DeepHole_20200804_1045_Hypo_8_Limno.Sample.20160505
BP208,3,FE,DeepHole,8/4/2020,10:45,Hypo,8,8,200,2,,FE_DeepHole_20200804_1045_Hypo_8_Limno.Sample.20160505
BP209,3,WL,DeepHole,8/4/2020,8:45,PML,0,2.5,200,1,,WL_DeepHole_20200804_0845_PML_2.5_Limno.Sample.20160505
BP210,3,WL,DeepHole,8/4/2020,8:45,PML,0,2.5,200,2,,WL_DeepHole_20200804_0845_PML_2.5_Limno.Sample.20160505
BP211,3,WL,DeepHole,8/4/2020,8:45,Hypo,8,8,150,1,,WL_DeepHole_20200804_0845_Hypo_8_Limno.Sample.20160505
BP212,3,WL,DeepHole,8/4/2020,8:45,Hypo,8,8,150,2,,WL_DeepHole_20200804_0845_Hypo_8_Limno.Sample.20160505
BP213,15,HB,DeepHole,8/5/2020,8:55,PML,0,1,250,1,,HB_DeepHole_20200805_0855_PML_1_Limno.Sample.20160505
BP214,15,HB,DeepHole,8/5/2020,8:55,PML,0,1,250,2,,HB_DeepHole_20200805_0855_PML_1_Limno.Sample.20160505
BP215,15,HB,DeepHole,8/5/2020,8:55,Hypo,4,4,200,1,,HB_DeepHole_20200805_0855_Hypo_4_Limno.Sample.20160505
BP216,15,HB,DeepHole,8/5/2020,8:55,Hypo,4,4,200,2,,HB_DeepHole_20200805_0855_Hypo_4_Limno.Sample.20160505
BP217,15,CR,DeepHole,8/6/2020,9:22,PML,0,3.5,200,1,,CR_DeepHole_20200806_0922_PML_3.5_Limno.Sample.20160505
BP218,15,CR,DeepHole,8/6/2020,9:22,PML,0,3.5,200,2,,CR_DeepHole_20200806_0922_PML_3.5_Limno.Sample.20160505
BP219,15,CR,DeepHole,8/6/2020,9:22,Hypo,8,8,150,1,,CR_DeepHole_20200806_0922_Hypo_8_Limno.Sample.20160505
BP220,15,CR,DeepHole,8/6/2020,9:22,Hypo,8,8,150,2,,CR_DeepHole_20200806_0922_Hypo_8_Limno.Sample.20160505
BP221,3,FE,DeepHole,8/11/2020,10:45,PML,0,1,250,1,,FE_DeepHole_20200811_1045_PML_1_Limno.Sample.20160505
BP222,3,FE,DeepHole,8/11/2020,10:45,PML,0,1,250,2,,FE_DeepHole_20200811_1045_PML_1_Limno.Sample.20160505
BP223,3,FE,DeepHole,8/11/2020,10:45,Hypo,8,8,150,1,,FE_DeepHole_20200811_1045_Hypo_8_Limno.Sample.20160505
BP224,3,FE,DeepHole,8/11/2020,10:45,Hypo,8,8,150,2,,FE_DeepHole_20200811_1045_Hypo_8_Limno.Sample.20160505
BP225,3,WL,DeepHole,8/11/2020,9:48,PML,0,1.5,250,1,,WL_DeepHole_20200811_0948_PML_1.5_Limno.Sample.20160505
BP226,3,WL,DeepHole,8/11/2020,9:48,PML,0,1.5,250,2,,WL_DeepHole_20200811_0948_PML_1.5_Limno.Sample.20160505
BP227,3,WL,DeepHole,8/11/2020,9:48,Hypo,8,8,150,1,,WL_DeepHole_20200811_0948_Hypo_8_Limno.Sample.20160505
BP228,3,WL,DeepHole,8/11/2020,9:48,Hypo,8,8,150,2,,WL_DeepHole_20200811_0948_Hypo_8_Limno.Sample.20160505
BP229,17,BO,DeepHole,8/12/2020,10:55,PML,0,0,200,1,,BO_DeepHole_20200812_1055_PML_0_Limno.Sample.20160505
BP230,17,BO,DeepHole,8/12/2020,10:55,PML,0,0,200,2,,BO_DeepHole_20200812_1055_PML_0_Limno.Sample.20160505
BP231,17,BO,DeepHole,8/12/2020,10:55,Hypo,2,2,150,1,,BO_DeepHole_20200812_1055_Hypo_2_Limno.Sample.20160505
BP232,17,BO,DeepHole,8/12/2020,10:55,Hypo,2,2,150,2,,BO_DeepHole_20200812_1055_Hypo_2_Limno.Sample.20160505
BP233,17,CB,DeepHole,8/12/2020,9:15,PML,0,0.5,250,1,,CB_DeepHole_20200812_0915_PML_0.5_Limno.Sample.20160505
BP234,17,CB,DeepHole,8/12/2020,9:15,PML,0,0.5,250,2,,CB_DeepHole_20200812_0915_PML_0.5_Limno.Sample.20160505
BP235,17,CB,DeepHole,8/12/2020,9:15,Hypo,3,3,250,1,,CB_DeepHole_20200812_0915_Hypo_3_Limno.Sample.20160505
BP236,17,CB,DeepHole,8/12/2020,9:15,Hypo,3,3,250,2,,CB_DeepHole_20200812_0915_Hypo_3_Limno.Sample.20160505
BP237,17,NG,DeepHole,8/14/2020,10:00,PML,0,0,250,1,,NG_DeepHole_20200814_1000_PML_0_Limno.Sample.20160505
BP238,17,NG,DeepHole,8/14/2020,10:00,PML,0,0,250,2,,NG_DeepHole_20200814_1000_PML_0_Limno.Sample.20160505
BP239,17,NG,DeepHole,8/14/2020,10:00,Hypo,3.5,3.5,250,1,,NG_DeepHole_20200814_1000_Hypo_3.5_Limno.Sample.20160505
BP240,17,NG,DeepHole,8/14/2020,10:00,Hypo,3.5,3.5,250,2,,NG_DeepHole_20200814_1000_Hypo_3.5_Limno.Sample.20160505
BP241,17,WA,DeepHole,8/14/2020,11:15,PML,0,0.5,250,1,,WA_DeepHole_20200814_1115_PML_0.5_Limno.Sample.20160505
BP242,17,WA,DeepHole,8/14/2020,11:15,PML,0,0.5,250,2,,WA_DeepHole_20200814_1115_PML_0.5_Limno.Sample.20160505
BP243,17,WA,DeepHole,8/14/2020,11:15,Hypo,4,4,75,1,,WA_DeepHole_20200814_1115_Hypo_4_Limno.Sample.20160505
BP244,17,WA,DeepHole,8/14/2020,11:15,Hypo,4,4,75,2,,WA_DeepHole_20200814_1115_Hypo_4_Limno.Sample.20160505
BP245,15,CR,DeepHole,8/17/2020,9:30,PML,0,3,250,1,,CR_DeepHole_20200817_0930_PML_3_Limno.Sample.20160505
BP246,15,CR,DeepHole,8/17/2020,9:30,PML,0,3,250,2,,CR_DeepHole_20200817_0930_PML_3_Limno.Sample.20160505
BP247,15,CR,DeepHole,8/17/2020,9:30,Hypo,8,8,250,1,,CR_DeepHole_20200817_0930_Hypo_8_Limno.Sample.20160505
BP248,15,CR,DeepHole,8/17/2020,9:30,Hypo,8,8,250,2,,CR_DeepHole_20200817_0930_Hypo_8_Limno.Sample.20160505
BP249,15,HB,DeepHole,8/18/2020,9:50,PML,0,0.5,150,1,,HB_DeepHole_20200818_0950_PML_0.5_Limno.Sample.20160505
BP250,15,HB,DeepHole,8/18/2020,9:50,PML,0,0.5,150,2,,HB_DeepHole_20200818_0950_PML_0.5_Limno.Sample.20160505
BP251,15,HB,DeepHole,8/18/2020,9:50,Hypo,4,4,250,1,,HB_DeepHole_20200818_0950_Hypo_4_Limno.Sample.20160505
BP252,15,HB,DeepHole,8/18/2020,9:50,Hypo,4,4,250,2,,HB_DeepHole_20200818_0950_Hypo_4_Limno.Sample.20160505
BP253,15,MO,DeepHole,8/19/2020,10:15,PML,0,1.5,250,1,,MO_DeepHole_20200819_1015_PML_1.5_Limno.Sample.20160505
BP254,15,MO,DeepHole,8/19/2020,10:15,PML,0,1.5,250,2,,MO_DeepHole_20200819_1015_PML_1.5_Limno.Sample.20160505
BP255,15,MO,DeepHole,8/19/2020,10:15,Hypo,4.5,4.5,250,1,,MO_DeepHole_20200819_1015_Hypo_4.5_Limno.Sample.20160505
BP256,15,MO,DeepHole,8/19/2020,10:15,Hypo,4.5,4.5,250,2,,MO_DeepHole_20200819_1015_Hypo_4.5_Limno.Sample.20160505
BP257,3,FE,DeepHole,8/20/2020,11:32,PML,0,1.5,250,1,,FE_DeepHole_20200820_1132_PML_1.5_Limno.Sample.20160505
BP258,3,FE,DeepHole,8/20/2020,11:32,PML,0,1.5,250,2,,FE_DeepHole_20200820_1132_PML_1.5_Limno.Sample.20160505
BP259,3,FE,DeepHole,8/20/2020,11:32,Hypo,8,8,250,1,,FE_DeepHole_20200820_1132_Hypo_8_Limno.Sample.20160505
BP260,3,FE,DeepHole,8/20/2020,11:32,Hypo,8,8,250,2,,FE_DeepHole_20200820_1132_Hypo_8_Limno.Sample.20160505
BP261,17,ME,DeepHole,8/20/2020,10:54,PML,0,2,250,1,,ME_DeepHole_20200820_1054_PML_2_Limno.Sample.20160505
BP262,17,ME,DeepHole,8/20/2020,10:54,PML,0,2,250,2,,ME_DeepHole_20200820_1054_PML_2_Limno.Sample.20160505
BP263,17,ME,DeepHole,8/20/2020,10:54,Hypo,3.5,3.5,250,1,,ME_DeepHole_20200820_1054_Hypo_3.5_Limno.Sample.20160505
BP264,17,ME,DeepHole,8/20/2020,10:54,Hypo,3.5,3.5,250,2,,ME_DeepHole_20200820_1054_Hypo_3.5_Limno.Sample.20160505
BP265,3,WL,DeepHole,8/20/2020,9:10,PML,0,2,250,1,,WL_DeepHole_20200820_0910_PML_2_Limno.Sample.20160505
BP266,3,WL,DeepHole,8/20/2020,9:10,PML,0,2,250,2,,WL_DeepHole_20200820_0910_PML_2_Limno.Sample.20160505
BP267,3,WL,DeepHole,8/20/2020,9:10,Hypo,8,8,250,1,,WL_DeepHole_20200820_0910_Hypo_8_Limno.Sample.20160505
BP268,3,WL,DeepHole,8/20/2020,9:10,Hypo,8,8,250,2,,WL_DeepHole_20200820_0910_Hypo_8_Limno.Sample.20160505
BP269,41,JO,DeepHole,9/1/2020,8:55,PML,0,3,200,1,,JO_DeepHole_20200901_0855_PML_3_Limno.Sample.20160505
BP270,41,JO,DeepHole,9/1/2020,8:55,PML,0,3,200,2,,JO_DeepHole_20200901_0855_PML_3_Limno.Sample.20160505
BP271,41,JO,DeepHole,9/1/2020,8:55,Hypo,4.5,4.5,150,1,,JO_DeepHole_20200901_0855_Hypo_4.5_Limno.Sample.20160505
BP272,41,JO,DeepHole,9/1/2020,8:55,Hypo,4.5,4.5,150,2,,JO_DeepHole_20200901_0855_Hypo_4.5_Limno.Sample.20160505
