"colorID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","abs440","g440","comments","sampleID"
"C38",15,"MO","DeepHole","6/22/2020","9:05","PML",0,3.5,"0.386",NA,"","MO_DeepHole_20200622_0905_PML_3.5_Limno.Sample.20160505"
"C39",15,"MO","DeepHole","6/22/2020","9:05","Hypo",7,7,"0.291",NA,"","MO_DeepHole_20200622_0905_Hypo_7_Limno.Sample.20160505"
"C40",15,"MO","Inlet1","6/22/2020","9:05","Surface",0,0,"0.231",NA,"","MO_PML_20200622_0905_Surface_0_Limno.Sample.20160505"
"C41",15,"MO","Inlet2","6/22/2020","9:05","Surface",0,0,"0.895",NA,"","MO_PML_20200622_0905_Surface_0_Limno.Sample.20160505"
"C42",15,"MO","Inlet3","6/22/2020","9:05","Surface",0,0,"1.662",NA,"","MO_PML_20200622_0905_Surface_0_Limno.Sample.20160505"
"C43",3,"FE","DeepHole","6/23/2020","11:25","PML",0,1.5,"0.423",NA,"","FE_DeepHole_20200623_1125_PML_1.5_Limno.Sample.20160505"
"C44",3,"FE","DeepHole","6/23/2020","11:25","Hypo",8,8,"0.683",NA,"","FE_DeepHole_20200623_1125_Hypo_8_Limno.Sample.20160505"
"C45",3,"FE","Inlet1","6/23/2020","11:25","Surface",0,0,"2.296",NA,"","FE_PML_20200623_1125_Surface_0_Limno.Sample.20160505"
"C46",3,"WL","DeepHole","6/23/2020","9:45","PML",0,1.5,"0.127",NA,"","WL_DeepHole_20200623_0945_PML_1.5_Limno.Sample.20160505"
"C47",3,"WL","DeepHole","6/23/2020","9:45","Hypo",8,8,"0.24",NA,"","WL_DeepHole_20200623_0945_Hypo_8_Limno.Sample.20160505"
"C48",15,"HB","DeepHole","6/24/2020","10:53","PML",0,0.5,"0.834",NA,"","HB_DeepHole_20200624_1053_PML_0.5_Limno.Sample.20160505"
"C49",15,"HB","DeepHole","6/24/2020","10:53","Hypo",4,4,"0.836",NA,"","HB_DeepHole_20200624_1053_Hypo_4_Limno.Sample.20160505"
"C50",15,"HB","Outlet","6/24/2020","10:53","Surface",0,0,"0.865",NA,"","HB_PML_20200624_1053_Surface_0_Limno.Sample.20160505"
"C51",17,"ME","DeepHole","6/24/2020","8:52","PML",0,1.5,"0.179",NA,"","ME_DeepHole_20200624_0852_PML_1.5_Limno.Sample.20160505"
"C52",17,"ME","DeepHole","6/24/2020","8:52","Hypo",3,3,"0.476",NA,"","ME_DeepHole_20200624_0852_Hypo_3_Limno.Sample.20160505"
"C53",17,"ME","Outlet","6/24/2020","8:52","Surface",0,0,"0.178",NA,"","ME_PML_20200624_0852_Surface_0_Limno.Sample.20160505"
"C54",15,"CR","DeepHole","6/25/2020","10:06","PML",0,2.5,"0.059",NA,"","CR_DeepHole_20200625_1006_PML_2.5_Limno.Sample.20160505"
"C55",15,"CR","DeepHole","6/25/2020","10:06","Hypo",11,11,"0.092",NA,"","CR_DeepHole_20200625_1006_Hypo_11_Limno.Sample.20160505"
"C56",15,"CR","Outlet","6/25/2020","10:06","Surface",0,0,"0.074",NA,"","CR_PML_20200625_1006_Surface_0_Limno.Sample.20160505"
"C57",17,"TU","DeepHole","6/25/2020","12:31","PML",0,1.5,"0.123",NA,"","TU_DeepHole_20200625_1231_PML_1.5_Limno.Sample.20160505"
"C58",17,"TU","DeepHole","6/25/2020","12:31","Hypo",7,7,"0.205",NA,"","TU_DeepHole_20200625_1231_Hypo_7_Limno.Sample.20160505"
"C59",17,"WA","DeepHole","6/29/2020","8:54","PML",0,1,"0.131",NA,"","WA_DeepHole_20200629_0854_PML_1_Limno.Sample.20160505"
"C60",17,"WA","DeepHole","6/29/2020","8:54","Hypo",3.5,3.5,"0.088",NA,"","WA_DeepHole_20200629_0854_Hypo_3.5_Limno.Sample.20160505"
"C61",3,"FE","DeepHole","6/30/2020","11:30","PML",0,1,"0.386",NA,"","FE_DeepHole_20200630_1130_PML_1_Limno.Sample.20160505"
