docID,projectID,lakeID,site,dateSample,timeSample,depthClass,depthTop,depthBottom,replicate,comments,sampleID
D44,17,ME,DeepHole,6/10/2020,9:36,PML,0,1,2,,ME_DeepHole_20200610_0936_PML_1_Limno.Sample.20160505
D45,17,ME,DeepHole,6/10/2020,9:36,Hypo,3.5,3.5,1,,ME_DeepHole_20200610_0936_Hypo_3.5_Limno.Sample.20160505
D46,17,ME,DeepHole,6/10/2020,9:36,Hypo,3.5,3.5,2,,ME_DeepHole_20200610_0936_Hypo_3.5_Limno.Sample.20160505
D47,17,ME,Outlet,6/10/2020,9:36,Surface,0,0,1,,ME_PML_20200610_0936_Surface_0_Limno.Sample.20160505
D48,17,ME,Outlet,6/10/2020,9:36,Surface,0,0,2,,ME_PML_20200610_0936_Surface_0_Limno.Sample.20160505
D49,15,CR,DeepHole,6/11/2020,9:30,PML,0,2.5,1,,CR_DeepHole_20200611_0930_PML_2.5_Limno.Sample.20160505
D50,15,CR,DeepHole,6/11/2020,9:30,PML,0,2.5,2,,CR_DeepHole_20200611_0930_PML_2.5_Limno.Sample.20160505
D51,15,CR,DeepHole,6/11/2020,9:30,Hypo,8,8,1,,CR_DeepHole_20200611_0930_Hypo_8_Limno.Sample.20160505
D52,15,CR,DeepHole,6/11/2020,9:30,Hypo,8,8,2,,CR_DeepHole_20200611_0930_Hypo_8_Limno.Sample.20160505
D53,15,CR,Outlet,6/11/2020,9:30,Surface,0,0,1,,CR_PML_20200611_0930_Surface_0_Limno.Sample.20160505
D54,15,CR,Outlet,6/11/2020,9:30,Surface,0,0,2,,CR_PML_20200611_0930_Surface_0_Limno.Sample.20160505
D55,15,MO,DeepHole,6/12/2020,9:25,PML,0,1.5,1,,MO_DeepHole_20200612_0925_PML_1.5_Limno.Sample.20160505
D56,15,MO,DeepHole,6/12/2020,9:25,PML,0,1.5,2,,MO_DeepHole_20200612_0925_PML_1.5_Limno.Sample.20160505
D57,15,MO,DeepHole,6/12/2020,9:25,Hypo,4.5,4.5,1,,MO_DeepHole_20200612_0925_Hypo_4.5_Limno.Sample.20160505
D58,15,MO,DeepHole,6/12/2020,9:25,Hypo,4.5,4.5,2,,MO_DeepHole_20200612_0925_Hypo_4.5_Limno.Sample.20160505
D59,15,MO,Inlet1,6/12/2020,9:25,Surface,0,0,1,,MO_PML_20200612_0925_Surface_0_Limno.Sample.20160505
D60,15,MO,Inlet1,6/12/2020,9:25,Surface,0,0,2,,MO_PML_20200612_0925_Surface_0_Limno.Sample.20160505
D61,15,MO,Inlet2,6/12/2020,9:25,Surface,0,0,1,,MO_PML_20200612_0925_Surface_0_Limno.Sample.20160505
D62,15,MO,Inlet2,6/12/2020,9:25,Surface,0,0,2,,MO_PML_20200612_0925_Surface_0_Limno.Sample.20160505
D63,15,MO,Inlet3,6/12/2020,9:25,Surface,0,0,1,,MO_PML_20200612_0925_Surface_0_Limno.Sample.20160505
D64,15,MO,Inlet3,6/12/2020,9:25,Surface,0,0,2,,MO_PML_20200612_0925_Surface_0_Limno.Sample.20160505
D65,17,BR,DeepHole,6/15/2020,11:42,PML,0,2,1,,BR_DeepHole_20200615_1142_PML_2_Limno.Sample.20160505
D66,17,BR,DeepHole,6/15/2020,11:42,PML,0,2,2,,BR_DeepHole_20200615_1142_PML_2_Limno.Sample.20160505
D67,17,BR,DeepHole,6/15/2020,11:42,Hypo,3.5,3.5,1,,BR_DeepHole_20200615_1142_Hypo_3.5_Limno.Sample.20160505
D68,17,BR,DeepHole,6/15/2020,11:42,Hypo,3.5,3.5,2,,BR_DeepHole_20200615_1142_Hypo_3.5_Limno.Sample.20160505
D69,17,BA,DeepHole,6/15/2020,14:00,PML,0,2.5,1,,BA_DeepHole_20200615_1400_PML_2.5_Limno.Sample.20160505
D70,17,BA,DeepHole,6/15/2020,14:00,PML,0,2.5,2,,BA_DeepHole_20200615_1400_PML_2.5_Limno.Sample.20160505
D71,17,BA,DeepHole,6/15/2020,14:00,Hypo,6.5,6.5,1,,BA_DeepHole_20200615_1400_Hypo_6.5_Limno.Sample.20160505
D72,17,BA,DeepHole,6/15/2020,14:00,Hypo,6.5,6.5,2,,BA_DeepHole_20200615_1400_Hypo_6.5_Limno.Sample.20160505
D73,3,FE,DeepHole,6/16/2020,10:35,PML,0,1.5,1,,FE_DeepHole_20200616_1035_PML_1.5_Limno.Sample.20160505
D74,3,FE,DeepHole,6/16/2020,10:35,PML,0,1.5,2,,FE_DeepHole_20200616_1035_PML_1.5_Limno.Sample.20160505
D75,3,FE,DeepHole,6/16/2020,10:35,Hypo,8,8,1,,FE_DeepHole_20200616_1035_Hypo_8_Limno.Sample.20160505
D76,3,FE,DeepHole,6/16/2020,10:35,Hypo,8,8,2,,FE_DeepHole_20200616_1035_Hypo_8_Limno.Sample.20160505
