lakeID,WL,,moeties,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
site,DeepHole,,unfiltered,1,1,0,0,0,0,0
date,20200721,,filtered,1,1,0,0,0,0,0
time,957,,chloro,2,2,0,0,0,0,0
projectID,3,,POC,1,1,0,0,0,0,0
weather,full cloud cold rainy,,DOC,2,2,0,0,0,0,0
crew,RN and CS,,DNA,2,2,0,0,0,0,0
metadataID,Limno.Sample.20160505,,color,1,1,0,0,0,0,0
zoop tow depth,8,,Volumes filtered,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
comments,Deck PAR 263.7,,chloro,450,450,0,0,0,0,0
,height,,POC,120,100,0,0,0,0,0
lake_staffGauge,2.01,ft,DNA,200,150,0,0,0,0,0
Inlet1_staffGauge,NA,cm,,,,,,,,
Inlet2_staffGauge,NA,cm,,,,,,,,
Inlet3_staffGauge,NA,cm,,,,,,,,
Outlet_staffGauge,NA,cm,,,,,,,,
depth,temp,DOmgL,Dosat,SpC,pH,ORP,PAR,PML,Hypo,point
0,23.3,7.41,86.9,12,6.24,249,164.33,1,NA,NA
0.25,,,,,,,94.86,NA,NA,NA
0.5,23.3,7.32,85.8,11.9,6.3,247.6,61.44,NA,NA,NA
0.75,,,,,,,41.52,NA,NA,NA
1,23.2,7.81,91.6,11.9,6.22,262,29.89,1,NA,NA
1.5,23.2,7.61,89.1,11.9,6.19,267.3,15.67,NA,NA,NA
2,23.2,7.25,84.5,11.9,6.14,271,8.17,1,NA,NA
2.5,19.2,6.65,71.9,13.1,5.74,295.4,4.76,NA,NA,NA
3,15.3,7.77,77.2,13.1,5.59,303.1,,NA,NA,NA
3.5,11.5,6.02,55.2,13.4,5.19,320.1,,NA,NA,NA
4,9.4,3.44,22.9,13.9,5.14,317.7,,NA,NA,NA
4.5,7.8,2.5,20.8,14.4,5.1,317.6,,NA,NA,NA
5,6.7,2.5,19.4,15,5.1,302.6,,NA,NA,NA
5.5,6,2.32,18.6,17.1,5.13,283.7,,NA,NA,NA
6,5.5,2.21,17.5,17.8,5.2,195.5,,NA,NA,NA
6.5,5.2,2.12,16.2,18.3,5.28,139.9,,NA,NA,NA
7,5.1,2.01,15.8,18.6,5.26,126.7,,NA,NA,NA
7.5,4.9,1.97,15.6,18.9,5.35,99.9,,NA,NA,NA
8,4.9,1.86,14.6,19,5.37,92,,NA,1,NA
9,4.8,1.81,14.1,19.3,5.4,86.7,,NA,NA,NA
10,4.8,1.63,12.9,19.6,5.42,84,,NA,NA,NA
11,4.8,1.63,12.6,20,5.43,81.5,,NA,NA,NA
12,4.8,1.62,12.4,22.2,5.46,78.3,,NA,NA,NA
