lakeID,FE,,moeties,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
site,DeepHole,,unfiltered,1,1,0,1,0,0,0
date,20200604,,filtered,1,1,0,1,0,0,0
time,1045,,chloro,2,2,0,0,0,0,0
projectID,3,,POC,1,1,0,1,0,0,0
weather,sunny and breezy,,DOC,2,2,0,2,0,0,0
crew,BB and RN,,DNA,2,2,0,0,0,0,0
metadataID,Limno.Sample.20160505,,color,1,1,0,1,0,0,0
zoop tow depth,8,,Volumes filtered,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
comments,Deck PAR 1143.9,,chloro,450,450,0,0,0,0,0
,height,units,POC,140,140,0,0,0,0,0
lake_staffGauge,NA,ft,DNA,250,250,0,0,0,0,0
Inlet1_staffGauge,0.9,cm,,,,,,,,
Inlet2_staffGauge,NA,cm,,,,,,,,
Inlet3_staffGauge,NA,cm,,,,,,,,
Outlet_staffGauge,NA,cm,,,,,,,,
depth,temp,DOmgL,Dosat,SpC,pH,ORP,PAR,PML,Hypo,point
0,21.1,8.1,92,12.9,5.12,229.3,884.2,1,NA,NA
0.25,,,,,,,340.7,1,NA,NA
0.5,20.9,8.05,90.9,12.9,5.31,219.3,137.83,1,NA,NA
0.75,,,,,,,74.98,NA,NA,NA
1,17.3,8.62,89,12.6,5.29,229.4,40.25,NA,NA,NA
1.5,15,8.73,87.5,12.7,5.28,232,13.42,NA,NA,NA
2,12.8,8.44,78.6,12.9,5.28,247.3,5.31,NA,NA,NA
2.5,9.8,7.19,62.7,13.6,5.08,261,,NA,NA,NA
3,6.7,2.69,24.2,14.9,4.98,260,,NA,NA,NA
3.5,5.5,1.57,12.1,15.4,4.98,261.2,,NA,NA,NA
4,4.9,1.91,14.9,15.8,4.82,266,,NA,NA,NA
4.5,4.5,1.91,15.3,16.2,4.81,261.7,,NA,NA,NA
5,4.2,2.57,20.2,16.7,4.75,269,,NA,NA,NA
5.5,4.1,2.1,15.1,17,4.76,267.7,,NA,NA,NA
6,4.1,0.98,7.8,16.8,4.78,267.4,,NA,NA,NA
6.5,4.1,0.46,3.5,16.8,4.92,259.2,,NA,NA,NA
7,4.1,0.52,3.9,17.2,4.97,254.7,,NA,NA,NA
7.5,4.1,0.46,3.6,17.5,5.01,252.1,,NA,NA,NA
8,4.2,0.42,3.2,18,5.03,250.3,,NA,1,NA
9,4.2,0.4,3.1,20,5.18,221.7,,NA,NA,NA
10,4.3,0.4,3,22.4,5.24,127.7,,NA,NA,NA
11,4.3,0.4,2.8,22.7,5.33,114.3,,NA,NA,NA
12,4.3,0.37,3,23.4,5.37,97.2,,NA,NA,NA
