lakeID,MO,,moeties,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
site,DeepHole,,unfiltered,1,1,0,1,1,0,0
date,20200819,,filtered,1,1,0,1,1,0,0
time,1015,,chloro,2,2,0,0,0,0,0
projectID,15,,POC,1,1,0,1,1,0,0
weather,full cloud rain,,DOC,2,2,0,2,2,0,0
crew,RN,,DNA,2,2,0,0,0,0,0
metadataID,Limno.Sample.20160505,,color,1,1,0,1,1,0,0
zoop tow depth,5,,Volumes filtered,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
comments,Deck PAR 253.4 Inlet 1 dry,,chloro,450,450,0,0,0,0,0
,height,units,POC,120,110,0,120,90,0,0
lake_staffGauge,NA,ft,DNA,250,250,0,0,0,0,0
Inlet1_staffGauge,20,cm,,,,,,,,
Inlet2_staffGauge,14.9,cm,,,,,,,,
Inlet3_staffGauge,NA,cm,,,,,,,,
Outlet_staffGauge,NA,cm,,,,,,,,
depth,temp,DOmgL,Dosat,SpC,pH,ORP,PAR,PML,Hypo,point
0,21.5,6.06,68.7,87.4,7.09,206.2,139.07,1,NA,NA
0.25,,,,,,,68.45,NA,NA,NA
0.5,21.5,6,68.1,87.4,7.17,211.7,23.02,1,NA,NA
0.75,,,,,,,12.12,NA,NA,NA
1,21,4.42,49,86.8,7.18,218.1,7.82,NA,NA,NA
1.5,20.5,1.88,20.8,87,7.14,226.4,2.43,1,NA,NA
2,17.8,0.11,1.1,87.3,6.99,234.4,,NA,NA,NA
2.5,15.1,0.1,1,93.3,6.94,238.2,,NA,NA,NA
3,11.7,0.08,0.6,107.5,6.66,251.7,,NA,NA,NA
3.5,9.8,0.07,0.7,133.7,6.62,104.3,,NA,NA,NA
4,8.3,0.07,0.6,149.5,6.63,32.1,,NA,NA,NA
4.5,7.6,0.07,0.6,159.6,6.65,16,,NA,1,NA
5,7.1,0.07,0.6,167.1,6.67,6.1,,NA,NA,NA
5.5,6.8,0.07,0.6,173.1,6.68,-1.3,,NA,NA,NA
6,6.5,0.06,0.5,178.7,6.71,-8.5,,NA,NA,NA
6.5,6.4,0.07,0.6,182.6,6.75,-18.6,,NA,NA,NA
