Run Number:,3,...3,Date:,20201113,...6,Initials:,RN,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56,...57,...58,...59,...60,...61,...62,...63,...64,...65,...66,...67,...68,...69,...70,...71,...72
ENTER SCAN DATA HERE,Sample Name,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
Wavelength,0,100,200,400,600,800,1000,179,186,178,182,177,187,167,184,173,163,175,166,181,169,176,164,188,168,171,180,189,190,191,170,165,172,183,174,185,156,193,160,151,147,158,192,149,148,143,161,162,152,155,136,153,144,145,146,139,150,157,154,131,140,141,142,135,132,133,134,130,159,137,138
c3,-2.211539717645155E-7,0.000000983161779193968,0.00000227968148579337,0.00000510931974946177,0.00000773551000982775,0.0000104988242663436,0.0000131131753638617,0.000000500593766413422,0.0000121813447950897,-0.00000118291520583289,-0.000000916413064602122,-0.00000126208681655689,0.000000244634195930013,0.00000276961066894158,0.00000473176555993379,0.00000017257367890011,0.0000017963713414412,0.000000550358313229838,0.00000676299173765834,-0.000000716264761473129,0.0000110752333133553,0.000000735947475217515,0.00000010049655297707,0.0000000946973911098366,0.00000397614677613175,0.00000213666702999021,0.000000809203618770314,0.000000780494740078454,0.00000173791977494805,0.00000661894462082598,0.000000545874526831776,-0.0000000212388873669026,0.000000623043453435338,0.00000337843824195508,0.00000018094808950476,0.0000119137253054743,-0.00000445253514341417,0.00000050727405767807,0.00000780389945862994,0.00000492630585923252,0.000000267522020599998,-0.000000455969932977297,0.00000963505541583125,0.0000031706289491189,0.000000301190815759198,-0.000000340640085987321,0.00000765351201082111,0.0000079160019040005,0.00000609470539071731,-0.00000159549197465214,0.0000000464229928424927,0.00000925342742859851,0.00000310399703763095,0.00000419326925096544,0.0000119305749484518,0.0000078087031659356,0.00000347284340211687,-0.000000455595021421927,0.0000124101248405736,0.00000735173195846732,0.0000080147600205476,-0.000000357055419808592,-0.00000036276384925979,0.000011369831159511,0.00000958464970630968,0.00000296547959416917,0.00000399944885802088,-0.000000101700799668869,-0.000000311209486735394,0.000000115084038842275,0.00000765289528577928
c2,1.5291247719791625E-4,-0.000627884781560267,-0.00147244941624873,-0.00332299738048224,-0.00503804883143864,-0.00684013129442967,-0.00854476944705274,-0.000263585674112654,-0.00820069660322413,0.000860931482380907,0.000688482764490728,0.000922704308681275,-0.00010969459113357,-0.00182837995325954,-0.00317763772594074,-0.0000584363294235179,-0.00112734328573337,-0.000295710332657765,-0.00448877844588304,0.000560984482499573,-0.0075203154093878,-0.000427829018951745,0.00000208358929883271,-0.0000203400598701764,-0.00265992727591636,-0.0014092642183181,-0.000483100187123408,-0.000475606384729421,-0.00112230094718083,-0.00446470406651592,-0.00031351199551155,0.000126088438300776,-0.000364453908427602,-0.00224400455707934,-0.000076824965795249,-0.00803233565059639,0.00315074784955822,-0.000288619725542796,-0.00525966410725468,-0.00331137997648115,-0.000125489845270614,0.00035526196687436,-0.00649781495879894,-0.00202146142623524,-0.000160654960822109,0.000291556491890478,-0.00514078343313308,-0.00533490143763477,-0.00409998515995096,0.00118393370505782,0.000023054954211964,-0.00626665698785808,-0.00205581821766785,-0.00280922346941759,-0.00808578155772988,-0.00525163959942574,-0.00222997569860724,0.000366682283570836,-0.00839865656909874,-0.00489238702347016,-0.0053955592294154,0.000298583666266261,0.000293840530848157,-0.00772394314332096,-0.0064455387479685,-0.00195992420540828,-0.00267549666293216,0.000181580672559331,0.000271542929939786,-0.0000359627221429171,-0.00515179457632581
c1,-3.5381100413756146E-2,0.130831019956771,0.311660172054864,0.710166083155709,1.07874173275245,1.46538516899278,1.83098996906522,0.0347894055963832,1.80556642638173,-0.210112106988732,-0.175098285133626,-0.225920417734164,0.00720560298256793,0.390900292145741,0.696558311982694,-0.00507142579950012,0.22194873064889,0.0422316940944797,0.969179573411879,-0.148489730344732,1.66950878070303,0.0731934906119215,-0.0241281297801616,-0.00944351691895248,0.579819982830972,0.300732408572533,0.0864319519193465,0.0872875773885403,0.230077759832809,0.985075879087432,0.0522216754074108,-0.0610603649408881,0.0634130786043966,0.484042917968162,0.00253902150410122,1.77431924337832,-0.745295316389456,0.0464153008942524,1.15895589126718,0.727426212532252,0.0106040800947466,-0.0938493025043623,1.4336031603635,0.411265183019871,0.0218839830610828,-0.0831376912382935,1.12863922031631,1.17562276869329,0.901941654478736,-0.296808172586336,-0.0224204126254778,1.39133654150395,0.441866669446149,0.61352406457949,1.79386404982412,1.15425646021662,0.457723130174025,-0.0992490139801441,1.86075388458324,1.05903080335109,1.18698445947126,-0.0837710313022839,-0.0804636871045096,1.71562707721738,1.41598713768164,0.419458135872083,0.582790176609136,-0.0739308703454302,-0.0785924048428331,-0.00568506683559635,1.13329800704455
b,2.7575085469245413,-8.80778833072608,-21.4826421381681,-49.6671943835449,-75.6530211475087,-102.856655921887,-128.564414770633,0.358519966638257,-127.462521368324,17.2962670068231,15.2961754356438,18.605680134108,1.4730127266212,-26.0787222227381,-48.576859595756,2.47743969492954,-12.4243760215614,-0.334600042724254,-66.1638751800118,13.4787809033206,-118.447567198052,-2.69428899567357,4.80563649319619,2.38715901752126,-40.0558519879166,-19.9778824447174,-3.62732349963077,-3.88350264209274,-13.9709628321238,-69.6408050603541,-1.68741780738019,8.00292667404772,-2.51607059123089,-32.7807751342447,1.59114714425356,-126.186938591052,59.1749393156989,-1.14561688084352,-81.6688574967663,-51.1090253269182,1.27182776032489,8.55370533690234,-101.43597260599,-25.2724255597744,0.131497598530268,8.02653205850243,-79.2285161609013,-82.8879148631644,-63.5788672295688,25.4471527172904,3.69048429128711,-99.4688964755374,-29.7920717962878,-42.5032439153437,-127.621824384686,-81.0724016619381,-28.4647958469895,9.15698516103094,-132.339513330422,-72.4230495379228,-83.419113227785,8.01700717767871,7.58573696049865,-121.826205796322,-99.316792041468,-28.0060462619254,-40.1453076345172,9.02153274567733,7.67829069849361,2.13028256220467,-79.6306974528585
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXIMUM OF DOUBLE DERIVATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THIS IS THE VALUE YOU USE FOR EACH SAMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAX,4.0440188278413895E-5,0.000218973105670417,0.00047462339619261,0.00101798486322818,0.00152716735186434,0.0020679738106561,0.00258022415168701,0.000223719301394824,0.00187062398618633,0.000302364717762342,0.00027726985145891,0.000330904437494287,0.00014756211162788,0.000497656096893293,0.000742372888019211,0.000141987859503129,0.000439870440695052,0.000234116804529228,0.00116693071472144,0.000262451251231392,0.00157221915125732,0.000248263174922782,0.00015491200806327,0.000101365966924402,0.000644365612364905,0.000386472108349109,0.000247605053908656,0.000219529340658839,0.000362277768060423,0.000999008798207123,0.000191787799224562,0.000226690211761269,0.000205657363297803,0.000579648248773937,0.000117772202666641,0.00180591665701869,0.000958453527019427,0.000183671635431514,0.00118652097343556,0.000766698835886491,0.00015030334035877,0.000163360014175964,0.001456953206149,0.000713020571207861,0.00013047630199458,0.00017434488059617,0.00119870114996551,0.00120419998073121,0.000942087766174049,0.000453277040533082,0.000115744397687667,0.00134682716718161,0.000544359121110721,0.000671456937612973,0.00172429930721792,0.00120977555005191,0.000749313705960817,0.000186650541435361,0.0018178741226629,0.00124282389076067,0.00123102157199061,0.000168700828762211,0.000152364442584566,0.00160686045262458,0.00148589706352753,0.000528370980437202,0.000648179961167006,0.00024112038551602,0.000169634475797099,0.000100700613977579,0.0011757537760173
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Aliquot],16.813396092804631,76.3243685568057,161.541132064203,342.661621076061,512.389117288113,692.657936885368,863.408050562336,77.9064337982747,626.874662062111,104.121572587447,95.7566171529701,113.634812498096,52.5207038759599,169.218698964431,250.79096267307,50.6626198343763,149.956813565017,81.3722681764095,392.310238240478,90.8170837437973,527.406383752441,86.0877249742605,54.9706693544233,37.1219889748007,218.121870788302,132.157369449703,85.8683513028852,76.509780219613,124.092589353474,336.336266069041,67.2625997415208,78.8967372537563,71.8857877659345,196.549416257979,42.5907342222138,605.305552339565,322.817842339809,64.5572118105046,398.840324478519,258.899611962164,53.4344467862565,57.786671391988,488.984402049668,241.006857069287,46.8254339981933,61.4482935320568,402.900383321836,404.733326910403,317.362588724683,154.425680177694,41.9147992292223,452.275722393871,184.786373703574,227.152312537658,578.09976907264,406.591850017302,253.104568653606,65.5501804784535,609.291374220968,417.607963586891,413.673857330203,59.5669429207371,54.121480861522,538.953484208193,498.632354509175,179.456993479067,219.393320389002,83.7067951720066,59.878158599033,36.900204659193,395.251258672433
Dilution factor,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
[Sample],16.813396092804631,76.3243685568057,161.541132064203,342.661621076061,512.389117288113,692.657936885368,863.408050562336,77.9064337982747,626.874662062111,104.121572587447,95.7566171529701,113.634812498096,52.5207038759599,169.218698964431,250.79096267307,50.6626198343763,149.956813565017,81.3722681764095,392.310238240478,90.8170837437973,1054.81276750488,86.0877249742605,54.9706693544233,37.1219889748007,218.121870788302,132.157369449703,85.8683513028852,76.509780219613,124.092589353474,336.336266069041,67.2625997415208,78.8967372537563,71.8857877659345,196.549416257979,42.5907342222138,605.305552339565,322.817842339809,64.5572118105046,398.840324478519,258.899611962164,53.4344467862565,57.786671391988,488.984402049668,241.006857069287,46.8254339981933,61.4482935320568,402.900383321836,404.733326910403,317.362588724683,154.425680177694,41.9147992292223,452.275722393871,184.786373703574,227.152312537658,1156.19953814528,406.591850017302,253.104568653606,65.5501804784535,609.291374220968,417.607963586891,413.673857330203,59.5669429207371,54.121480861522,1077.90696841639,997.26470901835,179.456993479067,219.393320389002,83.7067951720066,59.878158599033,36.900204659193,395.251258672433
Slope:,3.0000000000000001E-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intercept:,-1.0000000000000001E-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
