Run Number:,2,...3,Date:,20201111,...6,Initials:,RN,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56,...57,...58,...59,...60,...61,...62,...63,...64,...65,...66,...67,...68,...69,...70,...71,...72,...73
ENTER SCAN DATA HERE,Sample Name,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Wavelength,0,100,200,400,600,800,1000,77,63,71,72,64,57,67,85,70,62,78,68,69,89,73,80,86,87,92,75,74,88,83,103,93,79,99,84,97,102,94,98,95,96,104,100,108,115,110,106,105,107,101,109,125,116,112,111,113,194,114,120,90,118,91,119,117,127,121,126,123,122,128,129,124
200,0.03,0.121,0.188,0.314,0.447,0.586,0.724,2.295,0.374,0.486,0.497,0.351,2.089,0.658,0.475,1.219,0.345,3.536,0.525,0.989,2.096,1.426,1.002,0.492,1.952,0.4,1.312,1.67,2.008,0.895,2.88,0.942,1.132,0.648,1.391,0.497,0.902,1.334,0.653,2.441,0.547,2.853,1.339,1.412,0.698,0.333,0.497,0.513,1.016,0.906,2.936,0.578,0.724,0.364,0.356,0.403,0.68,0.399,0.521,0.332,1.401,0.372,3.048,1.265,0.708,0.513,0.559,0.275,0.3,1.338,0.903,0.401
205,2.7E-2,0.109,0.176,0.299,0.429,0.565,0.697,2.268,0.343,0.449,0.465,0.319,2.044,0.583,0.439,1.184,0.31,3.395,0.438,0.951,2.05,1.354,0.938,0.459,1.909,0.358,1.269,1.591,1.966,0.858,2.784,0.904,1.06,0.613,1.357,0.465,0.824,1.299,0.613,2.407,0.51,2.804,1.268,1.374,0.612,0.295,0.464,0.476,0.976,0.842,2.896,0.538,0.649,0.322,0.321,0.364,0.643,0.363,0.484,0.295,1.363,0.338,3.015,1.224,0.662,0.478,0.516,0.242,0.264,1.268,0.841,0.362
210,2.4E-2,0.094,0.153,0.259,0.37,0.487,0.603,2.194,0.312,0.412,0.433,0.287,1.962,0.527,0.402,1.131,0.279,3.305,0.384,0.901,1.964,1.263,0.879,0.428,1.829,0.32,1.214,1.489,1.887,0.811,2.661,0.855,0.992,0.579,1.302,0.433,0.76,1.244,0.573,2.331,0.471,2.706,1.193,1.316,0.549,0.262,0.431,0.437,0.924,0.789,2.809,0.5,0.596,0.285,0.29,0.328,0.606,0.331,0.446,0.263,1.306,0.307,2.917,1.164,0.618,0.444,0.473,0.215,0.233,1.195,0.789,0.326
215,2.1999999999999999E-2,0.075,0.119,0.196,0.278,0.362,0.446,2.08,0.285,0.378,0.403,0.258,1.85,0.481,0.37,1.066,0.253,3.122,0.346,0.844,1.852,1.161,0.82,0.399,1.724,0.288,1.143,1.374,1.779,0.759,2.502,0.8,0.924,0.543,1.231,0.404,0.7,1.175,0.533,2.206,0.434,2.558,1.113,1.244,0.498,0.236,0.401,0.401,0.865,0.737,2.667,0.467,0.551,0.255,0.265,0.298,0.567,0.303,0.411,0.237,1.235,0.282,2.774,1.092,0.573,0.414,0.434,0.195,0.209,1.116,0.74,0.296
220,2.1000000000000001E-2,0.057,0.086,0.132,0.184,0.238,0.291,1.964,0.263,0.351,0.378,0.234,1.742,0.445,0.343,1.006,0.232,2.943,0.318,0.794,1.746,1.075,0.769,0.374,1.628,0.261,1.075,1.276,1.676,0.713,2.351,0.752,0.865,0.511,1.163,0.379,0.648,1.109,0.499,2.082,0.404,2.412,1.043,1.175,0.458,0.216,0.376,0.372,0.812,0.692,2.521,0.439,0.514,0.231,0.245,0.274,0.533,0.281,0.382,0.218,1.167,0.261,2.623,1.028,0.535,0.389,0.402,0.179,0.191,1.045,0.697,0.272
225,0.02,0.041,0.057,0.077,0.103,0.13,0.157,1.843,0.242,0.325,0.354,0.211,1.634,0.413,0.317,0.946,0.213,2.762,0.291,0.745,1.64,0.995,0.719,0.35,1.53,0.237,1.006,1.184,1.572,0.668,2.203,0.704,0.807,0.483,1.095,0.355,0.6,1.043,0.468,1.955,0.375,2.263,0.974,1.105,0.424,0.197,0.352,0.345,0.761,0.649,2.369,0.413,0.482,0.209,0.226,0.251,0.501,0.259,0.355,0.199,1.098,0.241,2.465,0.965,0.499,0.364,0.372,0.164,0.174,0.977,0.655,0.25
238,1.7000000000000001E-2,0.023,0.027,0.023,0.025,0.027,0.029,1.548,0.199,0.267,0.298,0.169,1.376,0.339,0.261,0.803,0.174,2.303,0.238,0.631,1.384,0.816,0.606,0.294,1.292,0.191,0.838,0.975,1.324,0.565,1.857,0.594,0.678,0.41,0.932,0.298,0.495,0.886,0.392,1.642,0.31,1.908,0.819,0.941,0.351,0.159,0.296,0.285,0.642,0.549,1.994,0.353,0.406,0.167,0.186,0.204,0.426,0.213,0.294,0.161,0.935,0.199,2.082,0.816,0.412,0.307,0.302,0.134,0.14,0.821,0.558,0.203
250,1.4E-2,0.018,0.02,0.015,0.015,0.015,0.015,1.363,0.174,0.236,0.265,0.147,1.211,0.298,0.23,0.712,0.152,2.017,0.21,0.559,1.22,0.708,0.535,0.262,1.139,0.165,0.736,0.844,1.166,0.499,1.631,0.524,0.599,0.365,0.826,0.266,0.432,0.784,0.347,1.443,0.273,1.675,0.723,0.834,0.312,0.139,0.264,0.252,0.567,0.487,1.757,0.317,0.363,0.144,0.163,0.179,0.381,0.187,0.26,0.14,0.829,0.175,1.835,0.721,0.359,0.274,0.263,0.117,0.121,0.725,0.497,0.177
