"siteID","sampleID","dayOfYear","dateSet","dateSample","dateTimeSet","dateTimeSample","crew","gear","sampleGroup","effort","effortUnits","distanceShocked","useCPUE","useSampleMarkRecap","comments","metadataID","entryFile"
"JO_wholeShoreline","JO_wholeShoreline_20200619_1500_AN_JonesLakeExperiment_20200607",171,"2020-06-19","2020-06-19","6/19/2020 8:30:00","6/19/2020 15:00:00","GS, CM,CD, AL, SS, SJ","AN","2020_JonesLake_Experiment",6.5,"angler_hours",0,"yes","yes","Jones Lake Jam","JonesLakeExperiment_20200607","JonesLake2020_JO_2020-06-19_1500.csv"
"JO_wholeShoreline","JO_wholeShoreline_20200620_1130_AN_JonesLakeExperiment_20200607",172,"2020-06-20","2020-06-20","6/20/2020 9:30:00","6/20/2020 11:30:00","CM,GS","AN","2020_JonesLake_Experiment",2,"angler_hours",0,"yes","yes",NA,"JonesLakeExperiment_20200607","JonesLake2020_JO_2020-06-20_1130.csv"
"JO_wholeShoreline","JO_wholeShoreline_20200620_1200_AN_JoneslakeExperiment.20200607",172,"2020-06-20","2020-06-20","6/20/2020 9:30:00","6/20/2020 12:00:00","AL,CD","AN","2020_JonesLake_Experiment",2.5,"angler_hours",0,"no","yes",NA,"JoneslakeExperiment.20200607","JonesLake2020_JO_2020-06-20_1200.csv"
"JO_FN5","JO_FN5_20200624_1249_FN_JonesLakeExperiment.20200607",176,"2020-06-23","2020-06-24","6/23/2020 14:36:00","6/24/2020 12:49:00","CM, AL","FN","2020_JonesLake_Experiment",22.22,"trap_hours",0,"yes","yes",NA,"JonesLakeExperiment.20200607","JonesLake2020_JO_2020-06-24_1249.csv"
"JO_FN1","JO_FN1_20200624_1315_FN_JonesLakeExperiment.20200607",176,"2020-06-23","2020-06-24","6/23/2020 15:04:00","6/24/2020 13:15:00","CM, AL","FN","2020_JonesLake_Experiment",22.18,"trap_hours",0,"yes","yes","hoops fell   broken motor   SNAPPING TURTLE","JonesLakeExperiment.20200607","JonesLake2020_JO_2020-06-24_1315.csv"
"JO_wholeShoreline","JO_wholeShoreline_20200624_1600_AN_JonesLakeExperiment.20200607",176,"2020-06-24","2020-06-24","6/24/2020 14:00:00","6/24/2020 16:00:00","CM, AL","AN","2020_JonesLake_Experiment",2,"angler_hours",0,"yes","yes",NA,"JonesLakeExperiment.20200607","JonesLake2020_JO_2020-06-24_1600.csv"
"JO_wholeShoreline","JO_wholeShoreline_20200702_1534_AN_JonesLakeExperiment.20200607",184,"2020-07-02","2020-07-02","7/2/2020 15:08:00","7/2/2020 15:34:00","CM, AL","AN","2020_JonesLake_Experiment",0.43,"angler_hours",0,"yes","yes",NA,"JonesLakeExperiment.20200607","JonesLake2020_JO_2020-07-02_1534.csv"
"JO_wholeShoreline","JO_wholeShoreline_20200708_1630_AN_JonesLakeExperiment.20200607",190,"2020-07-08","2020-07-08","7/8/2020 15:16:00","7/8/2020 16:30:00","CM, AL","AN","2020_JonesLake_Experiment",1.23,"angler_hours",0,"yes","yes","im so tired bro","JonesLakeExperiment.20200607","JonesLake2020_JO_2020-07-08_1630.csv"
"JO_wholeShoreline","JO_wholeShoreline_20200710_1700_AN_JonesLakeExperiment.20200607",192,"2020-07-10","2020-07-10","7/10/2020 13:55:00","7/10/2020 17:00:00","CM, AL","AN","2020_JonesLake_Experiment",2,"angler_hours",0,"yes","yes","HOT","JonesLakeExperiment.20200607","JonesLake2020_JO_2020-07-10_1700.csv"
"JO_wholeShoreline","JO_wholeShoreline_20200713_1233_AN_JonesLakeExperiment.20200607",195,"2020-07-13","2020-07-13","7/13/2020 9:34:00","7/13/2020 12:33:00","CM, AL","AN","2020_JonesLake_Experiment",2.98,"angler_hours",0,"yes","yes","its still hot!","JonesLakeExperiment.20200607","JonesLake2020_JO_2020-07-13_1233.csv"
"JO_FN1","JO_FN1_20200714_0850_FN_JonesLakeExperiment.20200607",196,"2020-07-13","2020-07-14","7/13/2020 14:21:00","7/14/2020 8:50:00","CM, AL","FN","2020_JonesLake_Experiment",18.48,"trap_hours",0,"yes","yes","mini fyke","JonesLakeExperiment.20200607","JonesLake2020_JO_2020-07-14_0850.csv"
"JO_FN2","JO_FN2_20200714_0910_FN_JonesLakeExperiment.20200607",196,"2020-07-13","2020-07-14","7/13/2020 14:40:00","7/14/2020 9:10:00","CM, AL","FN","2020_JonesLake_Experiment",18.5,"trap_hours",0,"yes","yes","mini fyke","JonesLakeExperiment.20200607","JonesLake2020_JO_2020-07-14_0910.csv"
"JO_FN3","JO_FN3_20200714_0920_FN_JonesLakeExperiment.20200607",196,"2020-07-13","2020-07-14","7/13/2020 14:55:00","7/14/2020 9:20:00","CM, AL","FN","2020_JonesLake_Experiment",18.42,"trap_hours",0,"yes","yes","mini fyke","JonesLakeExperiment.20200607","JonesLake2020_JO_2020-07-14_0920.csv"
"JO_FN3","JO_FN3_20200715_0912_FN_JonesLakeExperiment.20200607",197,"2020-07-14","2020-07-15","7/14/2020 9:43:00","7/15/2020 9:12:00","CM, AL","FN","2020_JonesLake_Experiment",23.48,"trap_hours",0,"yes","yes","mini fykes","JonesLakeExperiment.20200607","JonesLake2020_JO_2020-07-15_0912.csv"
"JO_FN2","JO_FN2_20200715_0928_FN_JonesLakeExperiment.20200607",197,"2020-07-14","2020-07-15","7/14/2020 9:51:00","7/15/2020 9:28:00","CM, AL","FN","2020_JonesLake_Experiment",23.62,"trap_hours",0,"yes","yes","mini fykes","JonesLakeExperiment.20200607","JonesLake2020_JO_2020-07-15_0928.csv"
