chlID,projectID,lakeID,site,dateSample,timeSample,depthClass,depthTop,depthBottom,volFiltered,replicate,comments,sampleID
C17,35,WA,DeepHole,6/6/2020,11:00,point,5.5,5.5,450,1,,WA_DeepHole_20200606_1100_point_5.5_Limno.Sample.20160505
C18,35,WA,DeepHole,6/6/2020,11:00,point,5.5,5.5,450,2,,WA_DeepHole_20200606_1100_point_5.5_Limno.Sample.20160505
C19,35,MI,DeepHole,6/7/2020,10:47,point,10,10,450,1,,MI_DeepHole_20200607_1047_point_10_Limno.Sample.20160505
C20,35,MI,DeepHole,6/7/2020,10:47,point,10,10,450,2,,MI_DeepHole_20200607_1047_point_10_Limno.Sample.20160505
C21,35,PR,DeepHole,6/7/2020,15:00,point,2.5,2.5,450,1,,PR_DeepHole_20200607_1500_point_2.5_Limno.Sample.20160505
C22,35,PR,DeepHole,6/7/2020,15:00,point,2.5,2.5,450,2,,PR_DeepHole_20200607_1500_point_2.5_Limno.Sample.20160505
C23,35,TF,DeepHole,6/7/2020,11:45,point,7,7,450,1,,TF_DeepHole_20200607_1145_point_7_Limno.Sample.20160505
C24,35,TF,DeepHole,6/7/2020,11:45,point,7,7,450,2,,TF_DeepHole_20200607_1145_point_7_Limno.Sample.20160505
C25,3,FE,DeepHole,6/9/2020,11:48,PML,0,0.5,450,1,,FE_DeepHole_20200609_1148_PML_0.5_Limno.Sample.20160505
C26,3,FE,DeepHole,6/9/2020,11:48,PML,0,0.5,450,2,,FE_DeepHole_20200609_1148_PML_0.5_Limno.Sample.20160505
C27,3,FE,DeepHole,6/9/2020,11:48,Hypo,8,8,450,1,,FE_DeepHole_20200609_1148_Hypo_8_Limno.Sample.20160505
C28,3,FE,DeepHole,6/9/2020,11:48,Hypo,8,8,450,2,,FE_DeepHole_20200609_1148_Hypo_8_Limno.Sample.20160505
C29,3,WL,DeepHole,6/9/2020,10:20,PML,0,1,450,1,,WL_DeepHole_20200609_1020_PML_1_Limno.Sample.20160505
C30,3,WL,DeepHole,6/9/2020,10:20,PML,0,1,450,2,,WL_DeepHole_20200609_1020_PML_1_Limno.Sample.20160505
C31,3,WL,DeepHole,6/9/2020,10:20,Hypo,8,8,450,1,,WL_DeepHole_20200609_1020_Hypo_8_Limno.Sample.20160505
C32,3,WL,DeepHole,6/9/2020,10:20,Hypo,8,8,450,2,,WL_DeepHole_20200609_1020_Hypo_8_Limno.Sample.20160505
C33,15,HB,DeepHole,6/10/2020,11:40,PML,0,0.5,450,1,,HB_DeepHole_20200610_1140_PML_0.5_Limno.Sample.20160505
C34,15,HB,DeepHole,6/10/2020,11:40,PML,0,0.5,450,2,,HB_DeepHole_20200610_1140_PML_0.5_Limno.Sample.20160505
C35,15,HB,DeepHole,6/10/2020,11:40,Hypo,4,4,450,1,,HB_DeepHole_20200610_1140_Hypo_4_Limno.Sample.20160505
C36,15,HB,DeepHole,6/10/2020,11:40,Hypo,4,4,450,2,,HB_DeepHole_20200610_1140_Hypo_4_Limno.Sample.20160505
C37,17,ME,DeepHole,6/10/2020,9:36,PML,0,1,450,1,,ME_DeepHole_20200610_0936_PML_1_Limno.Sample.20160505
C38,17,ME,DeepHole,6/10/2020,9:36,PML,0,1,450,2,,ME_DeepHole_20200610_0936_PML_1_Limno.Sample.20160505
C39,17,ME,DeepHole,6/10/2020,9:36,Hypo,3.5,3.5,450,1,,ME_DeepHole_20200610_0936_Hypo_3.5_Limno.Sample.20160505
C40,17,ME,DeepHole,6/10/2020,9:36,Hypo,3.5,3.5,450,2,,ME_DeepHole_20200610_0936_Hypo_3.5_Limno.Sample.20160505
C41,15,CR,DeepHole,6/11/2020,9:30,PML,0,2.5,450,1,,CR_DeepHole_20200611_0930_PML_2.5_Limno.Sample.20160505
C42,15,CR,DeepHole,6/11/2020,9:30,PML,0,2.5,450,2,,CR_DeepHole_20200611_0930_PML_2.5_Limno.Sample.20160505
C43,15,CR,DeepHole,6/11/2020,9:30,Hypo,8,8,450,1,,CR_DeepHole_20200611_0930_Hypo_8_Limno.Sample.20160505
C44,15,CR,DeepHole,6/11/2020,9:30,Hypo,8,8,450,2,,CR_DeepHole_20200611_0930_Hypo_8_Limno.Sample.20160505
C45,15,MO,DeepHole,6/12/2020,9:25,PML,0,1.5,450,1,,MO_DeepHole_20200612_0925_PML_1.5_Limno.Sample.20160505
C46,15,MO,DeepHole,6/12/2020,9:25,PML,0,1.5,450,2,,MO_DeepHole_20200612_0925_PML_1.5_Limno.Sample.20160505
C47,15,MO,DeepHole,6/12/2020,9:25,Hypo,4.5,4.5,250,1,,MO_DeepHole_20200612_0925_Hypo_4.5_Limno.Sample.20160505
C48,15,MO,DeepHole,6/12/2020,9:25,Hypo,4.5,4.5,250,2,,MO_DeepHole_20200612_0925_Hypo_4.5_Limno.Sample.20160505
C49,17,BR,DeepHole,6/15/2020,11:42,PML,0,2,450,1,,BR_DeepHole_20200615_1142_PML_2_Limno.Sample.20160505
C50,17,BR,DeepHole,6/15/2020,11:42,PML,0,2,450,2,,BR_DeepHole_20200615_1142_PML_2_Limno.Sample.20160505
C51,17,BR,DeepHole,6/15/2020,11:42,Hypo,3.5,3.5,450,1,,BR_DeepHole_20200615_1142_Hypo_3.5_Limno.Sample.20160505
