zoopID,projectID,lakeID,site,dateSample,timeSample,depthClass,depthTop,depthBottom,comments,sampleID
Z852,15,CR,DeepHole,8/6/2020,9:22,tow,0,8,,CR_DeepHole_20200806_0922_tow_8_Limno.Sample.20160505
Z853,3,FE,DeepHole,8/11/2020,10:45,tow,0,8,,FE_DeepHole_20200811_1045_tow_8_Limno.Sample.20160505
Z854,3,WL,DeepHole,8/11/2020,9:48,tow,0,8,,WL_DeepHole_20200811_0948_tow_8_Limno.Sample.20160505
Z855,17,BO,DeepHole,8/12/2020,10:55,tow,0,2,,BO_DeepHole_20200812_1055_tow_2_Limno.Sample.20160505
Z856,17,CB,DeepHole,8/12/2020,9:15,tow,0,5,,CB_DeepHole_20200812_0915_tow_5_Limno.Sample.20160505
Z857,17,NG,DeepHole,8/14/2020,10:00,tow,0,6,,NG_DeepHole_20200814_1000_tow_6_Limno.Sample.20160505
Z858,17,WA,DeepHole,8/14/2020,11:15,tow,0,6,,WA_DeepHole_20200814_1115_tow_6_Limno.Sample.20160505
Z859,15,CR,DeepHole,8/17/2020,9:30,tow,0,8,,CR_DeepHole_20200817_0930_tow_8_Limno.Sample.20160505
Z860,15,HB,DeepHole,8/18/2020,9:50,tow,0,6,,HB_DeepHole_20200818_0950_tow_6_Limno.Sample.20160505
Z861,15,MO,DeepHole,8/19/2020,10:15,tow,0,5,,MO_DeepHole_20200819_1015_tow_5_Limno.Sample.20160505
Z862,3,FE,DeepHole,8/20/2020,11:32,tow,0,8,,FE_DeepHole_20200820_1132_tow_8_Limno.Sample.20160505
Z863,17,ME,DeepHole,8/20/2020,10:54,tow,0,2,,ME_DeepHole_20200820_1054_tow_2_Limno.Sample.20160505
Z864,3,WL,DeepHole,8/20/2020,9:10,tow,0,8,,WL_DeepHole_20200820_0910_tow_8_Limno.Sample.20160505
Z865,41,JO,DeepHole,9/1/2020,8:55,tow,0,4,,JO_DeepHole_20200901_0855_tow_4_Limno.Sample.20160505
