unfilteredID,projectID,lakeID,site,dateSample,timeSample,depthClass,depthTop,depthBottom,comments,sampleID
U45,17,PE,DeepHole,6/17/2020,10:38,Hypo,9,9,,PE_DeepHole_20200617_1038_Hypo_9_Limno.Sample.20160505
U46,15,MO,DeepHole,6/22/2020,9:05,PML,0,3.5,,MO_DeepHole_20200622_0905_PML_3.5_Limno.Sample.20160505
U47,15,MO,DeepHole,6/22/2020,9:05,Hypo,7,7,,MO_DeepHole_20200622_0905_Hypo_7_Limno.Sample.20160505
U48,15,MO,Inlet1,6/22/2020,9:05,Surface,0,0,,MO_Inlet1_20200622_0905_Surface_0_Limno.Sample.20160505
U49,15,MO,Inlet2,6/22/2020,9:05,Surface,0,0,,MO_Inlet2_20200622_0905_Surface_0_Limno.Sample.20160505
U50,15,MO,Inlet3,6/22/2020,9:05,Surface,0,0,,MO_Inlet3_20200622_0905_Surface_0_Limno.Sample.20160505
U51,3,FE,DeepHole,6/23/2020,11:25,PML,0,1.5,,FE_DeepHole_20200623_1125_PML_1.5_Limno.Sample.20160505
U52,3,FE,DeepHole,6/23/2020,11:25,Hypo,8,8,,FE_DeepHole_20200623_1125_Hypo_8_Limno.Sample.20160505
U53,3,FE,Inlet1,6/23/2020,11:25,Surface,0,0,,FE_Inlet1_20200623_1125_Surface_0_Limno.Sample.20160505
U54,3,WL,DeepHole,6/23/2020,9:45,PML,0,1.5,,WL_DeepHole_20200623_0945_PML_1.5_Limno.Sample.20160505
U55,3,WL,DeepHole,6/23/2020,9:45,Hypo,8,8,,WL_DeepHole_20200623_0945_Hypo_8_Limno.Sample.20160505
U56,15,HB,DeepHole,6/24/2020,10:53,PML,0,0.5,,HB_DeepHole_20200624_1053_PML_0.5_Limno.Sample.20160505
U57,15,HB,DeepHole,6/24/2020,10:53,Hypo,4,4,,HB_DeepHole_20200624_1053_Hypo_4_Limno.Sample.20160505
U58,15,HB,Outlet,6/24/2020,10:53,Surface,0,0,,HB_Outlet_20200624_1053_Surface_0_Limno.Sample.20160505
U59,17,ME,DeepHole,6/24/2020,8:52,PML,0,1.5,,ME_DeepHole_20200624_0852_PML_1.5_Limno.Sample.20160505
U60,17,ME,DeepHole,6/24/2020,8:52,Hypo,3,3,,ME_DeepHole_20200624_0852_Hypo_3_Limno.Sample.20160505
U61,17,ME,Outlet,6/24/2020,8:52,Surface,0,0,,ME_Outlet_20200624_0852_Surface_0_Limno.Sample.20160505
U62,15,CR,DeepHole,6/25/2020,10:06,PML,0,2.5,,CR_DeepHole_20200625_1006_PML_2.5_Limno.Sample.20160505
U63,15,CR,DeepHole,6/25/2020,10:06,Hypo,11,11,,CR_DeepHole_20200625_1006_Hypo_11_Limno.Sample.20160505
U64,15,CR,Outlet,6/25/2020,10:06,Surface,0,0,,CR_Outlet_20200625_1006_Surface_0_Limno.Sample.20160505
U65,17,TU,DeepHole,6/25/2020,12:31,PML,0,1.5,,TU_DeepHole_20200625_1231_PML_1.5_Limno.Sample.20160505
U66,17,TU,DeepHole,6/25/2020,12:31,Hypo,7,7,,TU_DeepHole_20200625_1231_Hypo_7_Limno.Sample.20160505
U67,17,WA,DeepHole,6/29/2020,8:54,PML,0,1,,WA_DeepHole_20200629_0854_PML_1_Limno.Sample.20160505
U68,17,WA,DeepHole,6/29/2020,8:54,Hypo,3.5,3.5,,WA_DeepHole_20200629_0854_Hypo_3.5_Limno.Sample.20160505
U69,3,FE,DeepHole,6/30/2020,11:30,PML,0,1,,FE_DeepHole_20200630_1130_PML_1_Limno.Sample.20160505
U70,3,FE,DeepHole,6/30/2020,11:30,Hypo,8,8,,FE_DeepHole_20200630_1130_Hypo_8_Limno.Sample.20160505
U71,3,WL,DeepHole,6/30/2020,9:58,PML,0,1,,WL_DeepHole_20200630_0958_PML_1_Limno.Sample.20160505
U72,3,WL,DeepHole,6/30/2020,9:58,Hypo,8,8,,WL_DeepHole_20200630_0958_Hypo_8_Limno.Sample.20160505
U73,17,BO,DeepHole,7/1/2020,10:41,PML,0,0.25,,BO_DeepHole_20200701_1041_PML_0.25_Limno.Sample.20160505
U74,17,BO,DeepHole,7/1/2020,10:41,Hypo,2,2,,BO_DeepHole_20200701_1041_Hypo_2_Limno.Sample.20160505
