unfilteredID,projectID,lakeID,site,dateSample,timeSample,depthClass,depthTop,depthBottom,comments,sampleID
U75,17,CB,DeepHole,7/1/2020,9:09,PML,0,0.5,,CB_DeepHole_20200701_0909_PML_0.5_Limno.Sample.20160505
U76,17,CB,DeepHole,7/1/2020,9:09,Hypo,3,3,,CB_DeepHole_20200701_0909_Hypo_3_Limno.Sample.20160505
U77,17,NG,DeepHole,7/3/2020,9:20,PML,0,0.25,,NG_DeepHole_20200703_0920_PML_0.25_Limno.Sample.20160505
U78,17,NG,DeepHole,7/3/2020,9:20,Hypo,4,4,,NG_DeepHole_20200703_0920_Hypo_4_Limno.Sample.20160505
U79,15,MO,DeepHole,7/6/2020,9:01,PML,0,0.5,,MO_DeepHole_20200706_0901_PML_0.5_Limno.Sample.20160505
U80,15,MO,DeepHole,7/6/2020,9:01,Hypo,3.5,3.5,,MO_DeepHole_20200706_0901_Hypo_3.5_Limno.Sample.20160505
U81,15,MO,Inlet1,7/6/2020,9:01,Surface,0,0,,MO_Inlet1_20200706_0901_Surface_0_Limno.Sample.20160505
U82,15,MO,Inlet2,7/6/2020,9:01,Surface,0,0,,MO_Inlet2_20200706_0901_Surface_0_Limno.Sample.20160505
U83,3,FE,DeepHole,7/7/2020,11:30,PML,0,0.25,,FE_DeepHole_20200707_1130_PML_0.25_Limno.Sample.20160505
U84,3,FE,DeepHole,7/7/2020,11:30,Hypo,8,8,,FE_DeepHole_20200707_1130_Hypo_8_Limno.Sample.20160505
U85,3,WL,DeepHole,7/7/2020,10:00,PML,0,1,,WL_DeepHole_20200707_1000_PML_1_Limno.Sample.20160505
U86,3,WL,DeepHole,7/7/2020,10:00,Hypo,8,8,,WL_DeepHole_20200707_1000_Hypo_8_Limno.Sample.20160505
U87,15,HB,DeepHole,7/8/2020,9:45,PML,0,0.25,,HB_DeepHole_20200708_0945_PML_0.25_Limno.Sample.20160505
U88,15,HB,DeepHole,7/8/2020,9:45,Hypo,3.5,3.5,,HB_DeepHole_20200708_0945_Hypo_3.5_Limno.Sample.20160505
U89,15,HB,Outlet,7/8/2020,9:45,Surface,0,0,,HB_Outlet_20200708_0945_Surface_0_Limno.Sample.20160505
U90,15,CR,DeepHole,7/10/2020,10:25,PML,0,2.5,,CR_DeepHole_20200710_1025_PML_2.5_Limno.Sample.20160505
U91,15,CR,DeepHole,7/10/2020,10:25,Hypo,7.5,7.5,,CR_DeepHole_20200710_1025_Hypo_7.5_Limno.Sample.20160505
U92,15,CR,Outlet,7/10/2020,10:25,Surface,0,0,,CR_Outlet_20200710_1025_Surface_0_Limno.Sample.20160505
U93,3,FE,DeepHole,7/15/2020,10:15,PML,0,1.5,,FE_DeepHole_20200715_1015_PML_1.5_Limno.Sample.20160505
U94,3,FE,DeepHole,7/15/2020,10:15,Hypo,8,8,,FE_DeepHole_20200715_1015_Hypo_8_Limno.Sample.20160505
U95,3,FE,Inlet1,7/15/2020,10:15,Surface,0,0,,FE_Inlet1_20200715_1015_Surface_0_Limno.Sample.20160505
U96,3,WL,DeepHole,7/15/2020,9:07,PML,0,2,,WL_DeepHole_20200715_0907_PML_2_Limno.Sample.20160505
U97,3,WL,DeepHole,7/15/2020,9:07,Hypo,8,8,,WL_DeepHole_20200715_0907_Hypo_8_Limno.Sample.20160505
U98,41,JO,DeepHole,7/16/2020,11:20,PML,0,2,,JO_DeepHole_20200716_1120_PML_2_Limno.Sample.20160505
U99,41,JO,DeepHole,7/16/2020,11:20,Hypo,4.5,4.5,,JO_DeepHole_20200716_1120_Hypo_4.5_Limno.Sample.20160505
U100,15,MO,DeepHole,7/20/2020,9:00,PML,0,1,,MO_DeepHole_20200720_0900_PML_1_Limno.Sample.20160505
U101,15,MO,DeepHole,7/20/2020,9:00,Hypo,4,4,,MO_DeepHole_20200720_0900_Hypo_4_Limno.Sample.20160505
