"lakeID","lakeName","state","county","city","surfaceArea","maxDepth","lat","long","latLongSource","WBIC","comments","updateID"
"TH","Thrush Lake","MI","Gogebic","Bessemer",7.5,NA,46.31972131,-89.79283915,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"TO","Towanda","WI","Vilas","Arbor Vitae",56.3,8.2,45.93843205,-89.70787813,"Lake finder app","1022900","NA","lakesLatLongUpdate.20201005"
"TR","Tender Bog","MI","Gogebic","UNDERC",0.06,10.05,46.229937,-89.527224,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
"TU","Tuesday","MI","Gogebic","UNDERC",0.91,14.93,46.25095651,-89.49686252,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"TW","South Twin","WI","Vilas","Phelps",254.142808,77.46272788,46.0312638,-89.1708418,"Google maps (approximate center)","1623700","lakeID is 'TW', but according to Colin in 2020, we have only ever sampled South Twin, so updating the lakeName accordingly. lat/long also refer to South Twin rather than North.","lakesLatLongUpdate.20201005"
"UB","Upper Buckatabon","WI","Vilas","Conover",199.510198,60.81070835,46.016996,-89.347829,"Google maps (approximate center)","1621800","NA","lakesLatLongUpdate.20201005"
"UF","Upper Fish","IN","LaPorte","Stillwell",56.25,7.31,41.56977139,-86.54298493,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"UG","Upper Gresham Lake","WI","Vilas","Boulder Junction",146.5,9.8,46.06800525,-89.73688537,"Lake finder app","2330800","NA","lakesLatLongUpdate.20201005"
"VA","Vance","WI","Vilas","Manitowish Waters",11.3,3.7,46.13905767,-89.88930325,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"VV","Van Vliet","WI","Vilas","Presque Isle",93,6.096,46.19579362,-89.7585143,"Lake finder app","2956800","NA","lakesLatLongUpdate.20201005"
"WA","Ward","MI","Gogebic","UNDERC",2.74,8.2,46.25829,-89.517323,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
"WB","White Birch Lake","WI","Vilas","Star Lake",45.7,8.2,46.06382547,-89.52251216,"Lake finder app","2340500","NA","lakesLatLongUpdate.20201005"
"WC","Wildcat Lake","WI","Vilas","Boulder Junction",118.6,11.6,46.17291,-89.616275,"Google maps (approximate center)","2336800","NA","lakesLatLongUpdate.20201005"
"WL","West Long","MI","Gogebic","UNDERC",4.86,14.02,46.235908,-89.501564,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
"WN","Whitney Lake","WI","Vilas","Boulder Junction",91.5,2.4,46.11828575,-89.73463625,"Lake finder app","2338100","NA","lakesLatLongUpdate.20201005"
"WO","Worster","IN","St Joseph","Potato Creek SP",132.33,7.62,41.54881952,-86.3647294,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"WS","Wabasso Lake","WI","Vilas","Lac du Flambeau",21,13.7,45.97490885,-90.00289959,"Lake finder app","2045000","NA","lakesLatLongUpdate.20201005"
"YB","Yellow Birch","WI","Vilas","Eagle River",77.7,7,45.933712,-89.238273,"Google maps (approximate center)","1599600","NA","lakesLatLongUpdate.20201005"
