"docID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","replicate","comments","sampleID","DOC_mgL"
"D13",35,"BR","DeepHole","6/6/2020","13:54","point",5.5,5.5,1,"","BR_DeepHole_20200606_1354_point_5.5_Limno.Sample.20160505",10.6589609056194
"D140",3,"FE","DeepHole","6/30/2020","11:30","Hypo",8,8,2,"","FE_DeepHole_20200630_1130_Hypo_8_Limno.Sample.20160505",15.9635551131763
"D165",3,"FE","DeepHole","7/7/2020","11:30","PML",0,0.25,1,"","FE_DeepHole_20200707_1130_PML_0.25_Limno.Sample.20160505",12.1668975143512
"D183",15,"CR","Outlet","7/10/2020","10:25","Surface",0,0,1,"","CR_Outlet_20200710_1025_Surface_0_Limno.Sample.20160505",5.80836911789572
"D186",3,"FE","DeepHole","7/15/2020","10:15","PML",0,1.5,2,"","FE_DeepHole_20200715_1015_PML_1.5_Limno.Sample.20160505",12.276656341124
"D189",3,"FE","Inlet1","7/15/2020","10:15","Surface",0,0,1,"","FE_Inlet1_20200715_1015_Surface_0_Limno.Sample.20160505",67.8433096542835
"D234",3,"FE","DeepHole","7/28/2020","12:10","PML",0,1,2,"","FE_DeepHole_20200728_1210_PML_1_Limno.Sample.20160505",15.5843882570518
"D236",3,"FE","DeepHole","7/28/2020","12:10","Hypo",8,8,2,"","FE_DeepHole_20200728_1210_Hypo_8_Limno.Sample.20160505",18.6389265157649
"D238",3,"FE","Inlet1","7/28/2020","12:10","Surface",0,0,2,"","FE_Inlet1_20200728_1210_Surface_0_Limno.Sample.20160505",78.1955626339972
"D239",3,"WL","DeepHole","7/28/2020","10:15","PML",0,1.5,1,"","WL_DeepHole_20200728_1015_PML_1.5_Limno.Sample.20160505",6.96582583659141
"D244",17,"PA","DeepHole","7/29/2020","10:15","PML",0,2.5,2,"","PA_DeepHole_20200729_1015_PML_2.5_Limno.Sample.20160505",4.63843980524856
"D247",17,"PE","DeepHole","7/29/2020","8:45","PML",0,2,1,"","PE_DeepHole_20200729_0845_PML_2_Limno.Sample.20160505",5.70359932870343
"D249",17,"PE","DeepHole","7/29/2020","8:45","Hypo",10,10,1,"","PE_DeepHole_20200729_0845_Hypo_10_Limno.Sample.20160505",6.11519492910169
"D252",17,"TU","DeepHole","7/29/2020","11:30","PML",0,1.5,2,"","TU_DeepHole_20200729_1130_PML_1.5_Limno.Sample.20160505",9.39299261954597
"D254",17,"TU","DeepHole","7/29/2020","11:30","Hypo",6,6,2,"","TU_DeepHole_20200729_1130_Hypo_6_Limno.Sample.20160505",10.6676917213854
"D255",15,"MO","DeepHole","8/3/2020","8:50","PML",0,1,1,"","MO_DeepHole_20200803_0850_PML_1_Limno.Sample.20160505",16.1469022442628
"D258",15,"MO","DeepHole","8/3/2020","8:50","Hypo",4,4,2,"","MO_DeepHole_20200803_0850_Hypo_4_Limno.Sample.20160505",12.8217086968029
"D260",15,"MO","Inlet1","8/3/2020","8:50","Surface",0,0,2,"","MO_Inlet1_20200803_0850_Surface_0_Limno.Sample.20160505",11.4484761027469
"D262",15,"MO","Inlet2","8/3/2020","8:50","Surface",0,0,2,"","MO_Inlet2_20200803_0850_Surface_0_Limno.Sample.20160505",32.1018444269733
"D265",3,"FE","DeepHole","8/4/2020","10:45","PML",0,2,1,"","FE_DeepHole_20200804_1045_PML_2_Limno.Sample.20160505",15.8600325833791
"D272",3,"WL","DeepHole","8/4/2020","8:45","PML",0,2.5,2,"","WL_DeepHole_20200804_0845_PML_2.5_Limno.Sample.20160505",7.18908526832259
"D276",15,"HB","DeepHole","8/5/2020","8:55","PML",0,1,2,"","HB_DeepHole_20200805_0855_PML_1_Limno.Sample.20160505",28.3363683130268
"D278",15,"HB","DeepHole","8/5/2020","8:55","Hypo",4,4,2,"","HB_DeepHole_20200805_0855_Hypo_4_Limno.Sample.20160505",28.2989505311724
