"docID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","replicate","comments","sampleID","DOC_mgL"
"D212",3,"WL","DeepHole","7/21/2020","9:57","Hypo",8,8,2,"","WL_DeepHole_20200721_0957_Hypo_8_Limno.Sample.20160505",6.48670152594484
"D213",3,"FE","DeepHole","7/22/2020","11:45","PML",0,2,1,"","FE_DeepHole_20200722_1145_PML_2_Limno.Sample.20160505",12.2616796064825
"D216",3,"FE","DeepHole","7/22/2020","11:45","Hypo",8,8,2,"","FE_DeepHole_20200722_1145_Hypo_8_Limno.Sample.20160505",16.7629219932379
"D217",3,"FE","Inlet1","7/22/2020","11:45","Surface",0,0,1,"","FE_Inlet1_20200722_1145_Surface_0_Limno.Sample.20160505",72.8096578598531
"D220",15,"CR","DeepHole","7/23/2020","10:30","PML",0,3.5,2,"","CR_DeepHole_20200723_1030_PML_3.5_Limno.Sample.20160505",4.94686506048097
"D222",15,"CR","DeepHole","7/23/2020","10:30","Hypo",8,8,2,"","CR_DeepHole_20200723_1030_Hypo_8_Limno.Sample.20160505",4.77774323670114
"D224",15,"CR","Outlet","7/23/2020","10:30","Surface",0,0,2,"","CR_Outlet_20200723_1030_Surface_0_Limno.Sample.20160505",4.90192359681919
"D225",17,"BA","DeepHole","7/27/2020","11:30","PML",0,2.5,1,"","BA_DeepHole_20200727_1130_PML_2.5_Limno.Sample.20160505",6.46068278382487
"D227",17,"BA","DeepHole","7/27/2020","11:30","Hypo",7,7,1,"","BA_DeepHole_20200727_1130_Hypo_7_Limno.Sample.20160505",5.74635004562196
"D230",17,"BR","DeepHole","7/27/2020","9:25","PML",0,2,2,"","BR_DeepHole_20200727_0925_PML_2_Limno.Sample.20160505",9.53799037455989
"D231",17,"BR","DeepHole","7/27/2020","9:25","Hypo",4,4,1,"","BR_DeepHole_20200727_0925_Hypo_4_Limno.Sample.20160505",8.75506277076796
"D233",3,"FE","DeepHole","7/28/2020","12:10","PML",0,1,1,"","FE_DeepHole_20200728_1210_PML_1_Limno.Sample.20160505",14.8186123548181
"D235",3,"FE","DeepHole","7/28/2020","12:10","Hypo",8,8,1,"","FE_DeepHole_20200728_1210_Hypo_8_Limno.Sample.20160505",16.9627932395232
"D240",3,"WL","DeepHole","7/28/2020","10:15","PML",0,1.5,2,"","WL_DeepHole_20200728_1015_PML_1.5_Limno.Sample.20160505",6.62034324683379
"D241",3,"WL","DeepHole","7/28/2020","10:15","Hypo",8,8,1,"","WL_DeepHole_20200728_1015_Hypo_8_Limno.Sample.20160505",6.41101063977764
"D243",17,"PA","DeepHole","7/29/2020","10:15","PML",0,2.5,1,"","PA_DeepHole_20200729_1015_PML_2.5_Limno.Sample.20160505",4.19823488948355
"D245",17,"PA","DeepHole","7/29/2020","10:15","Hypo",7,7,1,"","PA_DeepHole_20200729_1015_Hypo_7_Limno.Sample.20160505",4.71624439169029
"D248",17,"PE","DeepHole","7/29/2020","8:45","PML",0,2,2,"","PE_DeepHole_20200729_0845_PML_2_Limno.Sample.20160505",5.37853964565325
"D250",17,"PE","DeepHole","7/29/2020","8:45","Hypo",10,10,2,"","PE_DeepHole_20200729_0845_Hypo_10_Limno.Sample.20160505",5.61980434531119
"D251",17,"TU","DeepHole","7/29/2020","11:30","PML",0,1.5,1,"","TU_DeepHole_20200729_1130_PML_1.5_Limno.Sample.20160505",9.21985211863839
"D253",17,"TU","DeepHole","7/29/2020","11:30","Hypo",6,6,1,"","TU_DeepHole_20200729_1130_Hypo_6_Limno.Sample.20160505",9.64679602342523
"D256",15,"MO","DeepHole","8/3/2020","8:50","PML",0,1,2,"","MO_DeepHole_20200803_0850_PML_1_Limno.Sample.20160505",16.4980038916527
"D257",15,"MO","DeepHole","8/3/2020","8:50","Hypo",4,4,1,"","MO_DeepHole_20200803_0850_Hypo_4_Limno.Sample.20160505",10.6449695847551
"D259",15,"MO","Inlet1","8/3/2020","8:50","Surface",0,0,1,"","MO_Inlet1_20200803_0850_Surface_0_Limno.Sample.20160505",7.45530833486566
"D261",15,"MO","Inlet2","8/3/2020","8:50","Surface",0,0,1,"","MO_Inlet2_20200803_0850_Surface_0_Limno.Sample.20160505",29.6067192397338
"D264",15,"MO","Inlet3","8/3/2020","8:50","Surface",0,0,2,"","MO_Inlet3_20200803_0850_Surface_0_Limno.Sample.20160505",66.7307335645502
"D267",3,"FE","DeepHole","8/4/2020","10:45","Hypo",8,8,1,"","FE_DeepHole_20200804_1045_Hypo_8_Limno.Sample.20160505",17.1141750118576
"D274",3,"WL","DeepHole","8/4/2020","8:45","Hypo",8,8,2,"","WL_DeepHole_20200804_0845_Hypo_8_Limno.Sample.20160505",6.41455865006673
"D281",15,"CR","DeepHole","8/6/2020","9:22","PML",0,3.5,1,"","CR_DeepHole_20200806_0922_PML_3.5_Limno.Sample.20160505",5.17630305917528
"D297",17,"BO","DeepHole","8/12/2020","10:55","PML",0,0,1,"","BO_DeepHole_20200812_1055_PML_0_Limno.Sample.20160505",17.7469035134115
"D299",17,"BO","DeepHole","8/12/2020","10:55","Hypo",2,2,1,"","BO_DeepHole_20200812_1055_Hypo_2_Limno.Sample.20160505",22.4350077753921
"D305",17,"NG","DeepHole","8/14/2020","10:00","PML",0,0,1,"","NG_DeepHole_20200814_1000_PML_0_Limno.Sample.20160505",28.3708289890351
"D307",17,"NG","DeepHole","8/14/2020","10:00","Hypo",3.5,3.5,1,"","NG_DeepHole_20200814_1000_Hypo_3.5_Limno.Sample.20160505",41.7882212322668
"D309",17,"WA","DeepHole","8/14/2020","11:15","PML",0,0.5,1,"","WA_DeepHole_20200814_1115_PML_0.5_Limno.Sample.20160505",8.39907907176287
"D311",17,"WA","DeepHole","8/14/2020","11:15","Hypo",4,4,1,"","WA_DeepHole_20200814_1115_Hypo_4_Limno.Sample.20160505",5.77236878774194
"D314",15,"CR","DeepHole","8/17/2020","9:30","PML",0,3,2,"","CR_DeepHole_20200817_0930_PML_3_Limno.Sample.20160505",5.39154901671324
"D315",15,"CR","DeepHole","8/17/2020","9:30","Hypo",8,8,1,"","CR_DeepHole_20200817_0930_Hypo_8_Limno.Sample.20160505",5.44831718133863
"D318",15,"CR","Outlet","8/17/2020","9:30","Surface",0,0,2,"","CR_Outlet_20200817_0930_Surface_0_Limno.Sample.20160505",4.98707584375729
"D322",15,"HB","DeepHole","8/18/2020","9:50","Hypo",4,4,2,"","HB_DeepHole_20200818_0950_Hypo_4_Limno.Sample.20160505",26.4501727525425
"D345",3,"WL","DeepHole","8/20/2020","9:10","PML",0,2,1,"","WL_DeepHole_20200820_0910_PML_2_Limno.Sample.20160505",6.89354003909351
"D352",35,"NH","DeepHole","8/24/2020","10:50","Hypo",3,3,2,"","NH_DeepHole_20200824_1050_Hypo_3_Limno.Sample.20160505",9.21866944854203
"D378",35,"CYB","DeepHole","8/27/2020","10:15","PML",0,0.5,2,"","CYB_DeepHole_20200827_1015_PML_0.5_Limno.Sample.20160505",11.0801921802165
"D70",17,"BA","DeepHole","6/15/2020","14:00","PML",0,2.5,2,"","BA_DeepHole_20200615_1400_PML_2.5_Limno.Sample.20160505",0.0460339282676202
