"docID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","replicate","comments","sampleID","DOC_mgL"
"D111",15,"HB","DeepHole","6/24/2020","10:53","PML",0,0.5,1,"","HB_DeepHole_20200624_1053_PML_0.5_Limno.Sample.20160505",25.5202956281987
"D115",15,"HB","Outlet","6/24/2020","10:53","Surface",0,0,1,"","HB_Outlet_20200624_1053_Surface_0_Limno.Sample.20160505",26.1238773064593
"D120",17,"ME","DeepHole","6/24/2020","8:52","Hypo",3,3,2,"","ME_DeepHole_20200624_0852_Hypo_3_Limno.Sample.20160505",14.0764353916777
"D127",15,"CR","Outlet","6/25/2020","10:06","Surface",0,0,1,"","CR_Outlet_20200625_1006_Surface_0_Limno.Sample.20160505",4.88118906274508
"D137",3,"FE","DeepHole","6/30/2020","11:30","PML",0,1,1,"","FE_DeepHole_20200630_1130_PML_1_Limno.Sample.20160505",12.973296132011
"D149",17,"CB","DeepHole","7/1/2020","9:09","PML",0,0.5,1,"","CB_DeepHole_20200701_0909_PML_0.5_Limno.Sample.20160505",17.9313748879035
"D158",15,"MO","DeepHole","7/6/2020","9:01","PML",0,0.5,2,"","MO_DeepHole_20200706_0901_PML_0.5_Limno.Sample.20160505",16.3383547070032
"D16",35,"CB","DeepHole","6/6/2020","10:10","point",5.5,5.5,2,"","CB_DeepHole_20200606_1010_point_5.5_Limno.Sample.20160505",25.2928941141446
"D19",35,"WA","DeepHole","6/6/2020","11:00","point",5.5,5.5,1,"","WA_DeepHole_20200606_1100_point_5.5_Limno.Sample.20160505",8.88248804408016
"D21",35,"MI","DeepHole","6/7/2020","10:47","point",10,10,1,"","MI_DeepHole_20200607_1047_point_10_Limno.Sample.20160505",20.7835704737524
"D237",3,"FE","Inlet1","7/28/2020","12:10","Surface",0,0,1,"","FE_Inlet1_20200728_1210_Surface_0_Limno.Sample.20160505",75.2401851771039
"D25",35,"TF","DeepHole","6/7/2020","11:45","point",7,7,1,"","TF_DeepHole_20200607_1145_point_7_Limno.Sample.20160505",9.17399743177718
"D266",3,"FE","DeepHole","8/4/2020","10:45","PML",0,2,2,"","FE_DeepHole_20200804_1045_PML_2_Limno.Sample.20160505",15.264245427854
"D269",3,"FE","Inlet1","8/4/2020","10:45","Surface",0,0,1,"","FE_Inlet1_20200804_1045_Surface_0_Limno.Sample.20160505",83.6709753524078
"D271",3,"WL","DeepHole","8/4/2020","8:45","PML",0,2.5,1,"","WL_DeepHole_20200804_0845_PML_2.5_Limno.Sample.20160505",6.95199433966335
"D275",15,"HB","DeepHole","8/5/2020","8:55","PML",0,1,1,"","HB_DeepHole_20200805_0855_PML_1_Limno.Sample.20160505",27.4108731094038
"D277",15,"HB","DeepHole","8/5/2020","8:55","Hypo",4,4,1,"","HB_DeepHole_20200805_0855_Hypo_4_Limno.Sample.20160505",27.5245738664309
"D280",15,"HB","Outlet","8/5/2020","8:55","Surface",0,0,2,"","HB_Outlet_20200805_0855_Surface_0_Limno.Sample.20160505",28.7982642616382
"D284",15,"CR","DeepHole","8/6/2020","9:22","Hypo",8,8,2,"","CR_DeepHole_20200806_0922_Hypo_8_Limno.Sample.20160505",5.03722520802689
"D285",15,"CR","Outlet","8/6/2020","9:22","Surface",0,0,1,"","CR_Outlet_20200806_0922_Surface_0_Limno.Sample.20160505",5.03601562550532
"D288",3,"FE","DeepHole","8/11/2020","10:45","PML",0,1,2,"","FE_DeepHole_20200811_1045_PML_1_Limno.Sample.20160505",14.6243762739464
"D289",3,"FE","DeepHole","8/11/2020","10:45","Hypo",8,8,1,"","FE_DeepHole_20200811_1045_Hypo_8_Limno.Sample.20160505",17.7850154027942
"D291",3,"FE","Inlet1","8/11/2020","10:45","Surface",0,0,1,"","FE_Inlet1_20200811_1045_Surface_0_Limno.Sample.20160505",80.7195939997907
"D294",3,"WL","DeepHole","8/11/2020","9:48","PML",0,1.5,2,"","WL_DeepHole_20200811_0948_PML_1.5_Limno.Sample.20160505",7.18060543623903
"D295",3,"WL","DeepHole","8/11/2020","9:48","Hypo",8,8,1,"","WL_DeepHole_20200811_0948_Hypo_8_Limno.Sample.20160505",6.80442527203249
"D30",3,"FE","DeepHole","6/9/2020","11:48","Hypo",8,8,2,"","FE_DeepHole_20200609_1148_Hypo_8_Limno.Sample.20160505",18.1708722271733
"D302",17,"CB","DeepHole","8/12/2020","9:15","PML",0,0.5,2,"","CB_DeepHole_20200812_0915_PML_0.5_Limno.Sample.20160505",15.5666410582451
"D304",17,"CB","DeepHole","8/12/2020","9:15","Hypo",3,3,2,"","CB_DeepHole_20200812_0915_Hypo_3_Limno.Sample.20160505",20.9662174345086
"D32",3,"FE","Inlet1","6/9/2020","11:48","Surface",0,0,2,"","FE_Inlet1_20200609_1148_Surface_0_Limno.Sample.20160505",61.5356152077791
"D320",15,"HB","DeepHole","8/18/2020","9:50","PML",0,0.5,2,"","HB_DeepHole_20200818_0950_PML_0.5_Limno.Sample.20160505",27.8874486229002
"D324",15,"HB","Outlet","8/18/2020","9:50","Surface",0,0,2,"","HB_Outlet_20200818_0950_Surface_0_Limno.Sample.20160505",27.526993031474
"D325",15,"MO","DeepHole","8/19/2020","10:15","PML",0,1.5,1,"","MO_DeepHole_20200819_1015_PML_1.5_Limno.Sample.20160505",17.0641042199418
"D328",15,"MO","DeepHole","8/19/2020","10:15","Hypo",4.5,4.5,2,"","MO_DeepHole_20200819_1015_Hypo_4.5_Limno.Sample.20160505",12.1471512697825
"D329",15,"MO","Inlet1","8/19/2020","10:15","Surface",0,0,1,"","MO_Inlet1_20200819_1015_Surface_0_Limno.Sample.20160505",9.32519524697273
"D332",15,"MO","Inlet2","8/19/2020","10:15","Surface",0,0,2,"","MO_Inlet2_20200819_1015_Surface_0_Limno.Sample.20160505",27.799149098826
"D334",3,"FE","DeepHole","8/20/2020","11:32","PML",0,1.5,2,"","FE_DeepHole_20200820_1132_PML_1.5_Limno.Sample.20160505",14.7888794968792
"D335",3,"FE","DeepHole","8/20/2020","11:32","Hypo",8,8,1,"","FE_DeepHole_20200820_1132_Hypo_8_Limno.Sample.20160505",18.0499139750168
"D337",3,"FE","Inlet1","8/20/2020","11:32","Surface",0,0,1,"","FE_Inlet1_20200820_1132_Surface_0_Limno.Sample.20160505",73.3411406182477
"D340",17,"ME","DeepHole","8/20/2020","10:54","PML",0,2,2,"","ME_DeepHole_20200820_1054_PML_2_Limno.Sample.20160505",8.2147984921766
"D342",17,"ME","DeepHole","8/20/2020","10:54","Hypo",3.5,3.5,2,"","ME_DeepHole_20200820_1054_Hypo_3.5_Limno.Sample.20160505",11.9971630371085
"D344",17,"ME","Outlet","8/20/2020","10:54","Surface",0,0,2,"","ME_Outlet_20200820_1054_Surface_0_Limno.Sample.20160505",8.1809301815728
"D347",3,"WL","DeepHole","8/20/2020","9:10","Hypo",8,8,1,"","WL_DeepHole_20200820_0910_Hypo_8_Limno.Sample.20160505",6.66532328205259
"D350",35,"NH","DeepHole","8/24/2020","10:50","PML",0,2,2,"","NH_DeepHole_20200824_1050_PML_2_Limno.Sample.20160505",9.84652531376699
"D354",35,"SE","DeepHole","8/24/2020","11:55","PML",0,5,2,"","SE_DeepHole_20200824_1155_PML_5_Limno.Sample.20160505",4.19898452058275
"D355",35,"SE","DeepHole","8/24/2020","11:55","Hypo",5.5,5.5,1,"","SE_DeepHole_20200824_1155_Hypo_5.5_Limno.Sample.20160505",3.61233699762401
"D358",35,"BH","DeepHole","8/25/2020","9:50","PML",0,5,2,"","BH_DeepHole_20200825_0950_PML_5_Limno.Sample.20160505",11.5508270866513
"D36",3,"WL","DeepHole","6/9/2020","10:20","Hypo",8,8,2,"","WL_DeepHole_20200609_1020_Hypo_8_Limno.Sample.20160505",7.1781862711959
"D360",35,"BH","DeepHole","8/25/2020","9:50","Hypo",10,10,2,"","BH_DeepHole_20200825_0950_Hypo_10_Limno.Sample.20160505",10.0606214200839
"D362",35,"HH","DeepHole","8/25/2020","11:10","PML",0,4,2,"","HH_DeepHole_20200825_1110_PML_4_Limno.Sample.20160505",7.11649756259611
"D363",35,"HH","DeepHole","8/25/2020","11:10","Hypo",5.5,5.5,1,"","HH_DeepHole_20200825_1110_Hypo_5.5_Limno.Sample.20160505",7.94264242482461
"D366",35,"MI","DeepHole","8/26/2020","10:25","PML",0,0.5,2,"","MI_DeepHole_20200826_1025_PML_0.5_Limno.Sample.20160505",17.1620804041886
"D368",35,"MI","DeepHole","8/26/2020","10:25","Hypo",9,9,2,"","MI_DeepHole_20200826_1025_Hypo_9_Limno.Sample.20160505",20.0602401258569
"D37",15,"HB","DeepHole","6/10/2020","11:40","PML",0,0.5,1,"","HB_DeepHole_20200610_1140_PML_0.5_Limno.Sample.20160505",22.0669375291323
"D370",35,"TR","DeepHole","8/26/2020","9:15","PML",0,0.5,2,"","TR_DeepHole_20200826_0915_PML_0.5_Limno.Sample.20160505",33.86399586195
"D371",35,"TR","DeepHole","8/26/2020","9:15","Hypo",5,5,1,"","TR_DeepHole_20200826_0915_Hypo_5_Limno.Sample.20160505",41.2872037967908
"D374",35,"WL","DeepHole","8/26/2020","11:37","PML",0,1.5,2,"","WL_DeepHole_20200826_1137_PML_1.5_Limno.Sample.20160505",6.83345525255004
"D375",35,"WL","DeepHole","8/26/2020","11:37","Hypo",8,8,1,"","WL_DeepHole_20200826_1137_Hypo_8_Limno.Sample.20160505",6.93143143679676
"D380",35,"CYB","DeepHole","8/27/2020","10:15","Hypo",2,2,2,"","CYB_DeepHole_20200827_1015_Hypo_2_Limno.Sample.20160505",13.7462193632907
"D382",35,"TB","DeepHole","8/27/2020","11:15","PML",0,0.5,2,"","TB_DeepHole_20200827_1115_PML_0.5_Limno.Sample.20160505",22.9874298280428
"D383",35,"TB","DeepHole","8/27/2020","11:15","Hypo",3.5,3.5,1,"","TB_DeepHole_20200827_1115_Hypo_3.5_Limno.Sample.20160505",32.353227292516
